dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,12,     199.329552
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,13,     200.540818
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,14,     200.215096
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,15,     200.464156
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,16,     197.641143
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,17,     200.291141
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,18,     197.956192
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,19,     198.771561
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,0,     548.131699
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,1,     554.405846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,2,     551.664330
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,3,     546.621160
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,4,     543.383481
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,5,     539.436226
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,6,     552.927594
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,7,     541.089178
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,8,     552.184392
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,9,     556.871206
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,10,     540.332061
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,11,     545.244648
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,12,     541.631261
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,13,     532.757472
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,14,     559.001372
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,15,     539.365576
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,16,     543.260220
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,17,     546.054320
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,18,     533.887312
3,double,uniform,PoisFFT,"P | P | P | P | N | D",384,19,     554.619424
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,0,     811.081307
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,1,     814.360110
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,2,     811.155653
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,3,     808.117025
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,4,     819.474046
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,5,     811.904916
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,6,     815.181816
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,7,     812.587952
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,8,     810.832495
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,9,     817.980299
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,10,     808.579266
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,11,     812.754232
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,12,     808.993548
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,13,     808.264804
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,14,     811.760675
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,15,     819.657476
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,16,     814.175456
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,17,     821.051441
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,18,     810.992808
3,double,uniform,PoisFFT,"P | P | P | P | N | D",448,19,     823.365749
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,0,    1733.333539
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,1,    1739.311926
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,2,    1740.613448
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,3,    1769.929385
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,4,    1749.478140
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,5,    1778.844571
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,6,    1758.769735
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,7,    1768.182439
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,8,    1749.038243
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,9,    1735.471094
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,10,    1755.444228
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,11,    1735.672834
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,12,    1759.955981
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,13,    1775.609139
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,14,    1727.604538
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,15,    1751.925267
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,16,    1743.578665
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,17,    1773.365391
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,18,    1763.929661
3,double,uniform,PoisFFT,"P | P | P | P | N | D",512,19,    1799.628119
