dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ds | Ds",64,0,       0.004131
1,float,uniform,PoisFFT,"Ds | Ds",128,12,       0.001438
1,float,uniform,PoisFFT,"Ds | Ds",128,13,       0.001449
1,float,uniform,PoisFFT,"Ds | Ds",128,14,       0.001447
1,float,uniform,PoisFFT,"Ds | Ds",128,15,       0.001440
1,float,uniform,PoisFFT,"Ds | Ds",128,16,       0.001447
1,float,uniform,PoisFFT,"Ds | Ds",128,17,       0.001439
1,float,uniform,PoisFFT,"Ds | Ds",128,18,       0.001444
1,float,uniform,PoisFFT,"Ds | Ds",128,19,       0.001444
1,float,uniform,PoisFFT,"Ds | Ds",192,0,       0.002921
1,float,uniform,PoisFFT,"Ds | Ds",192,1,       0.002515
1,float,uniform,PoisFFT,"Ds | Ds",192,2,       0.002477
1,float,uniform,PoisFFT,"Ds | Ds",192,3,       0.002456
1,float,uniform,PoisFFT,"Ds | Ds",192,4,       0.002432
1,float,uniform,PoisFFT,"Ds | Ds",192,5,       0.002414
1,float,uniform,PoisFFT,"Ds | Ds",192,6,       0.002424
1,float,uniform,PoisFFT,"Ds | Ds",192,7,       0.002427
1,float,uniform,PoisFFT,"Ds | Ds",192,8,       0.002400
1,float,uniform,PoisFFT,"Ds | Ds",192,9,       0.002401
1,float,uniform,PoisFFT,"Ds | Ds",192,10,       0.002413
1,float,uniform,PoisFFT,"Ds | Ds",192,11,       0.002447
1,float,uniform,PoisFFT,"Ds | Ds",192,12,       0.002417
1,float,uniform,PoisFFT,"Ds | Ds",192,13,       0.002431
1,float,uniform,PoisFFT,"Ds | Ds",192,14,       0.002414
1,float,uniform,PoisFFT,"Ds | Ds",192,15,       0.002407
1,float,uniform,PoisFFT,"Ds | Ds",192,16,       0.002403
1,float,uniform,PoisFFT,"Ds | Ds",192,17,       0.002419
1,float,uniform,PoisFFT,"Ds | Ds",192,18,       0.002419
1,float,uniform,PoisFFT,"Ds | Ds",192,19,       0.002427
1,float,uniform,PoisFFT,"Ds | Ds",256,0,       0.003296
1,float,uniform,PoisFFT,"Ds | Ds",256,1,       0.003043
1,float,uniform,PoisFFT,"Ds | Ds",256,2,       0.003066
1,float,uniform,PoisFFT,"Ds | Ds",256,3,       0.003038
1,float,uniform,PoisFFT,"Ds | Ds",256,4,       0.003036
1,float,uniform,PoisFFT,"Ds | Ds",256,5,       0.003008
1,float,uniform,PoisFFT,"Ds | Ds",256,6,       0.003019
1,float,uniform,PoisFFT,"Ds | Ds",256,7,       0.003004
1,float,uniform,PoisFFT,"Ds | Ds",256,8,       0.003015
1,float,uniform,PoisFFT,"Ds | Ds",256,9,       0.003021
1,float,uniform,PoisFFT,"Ds | Ds",256,10,       0.003010
1,float,uniform,PoisFFT,"Ds | Ds",256,11,       0.003009
1,float,uniform,PoisFFT,"Ds | Ds",256,12,       0.003024
1,float,uniform,PoisFFT,"Ds | Ds",256,13,       0.004852
1,float,uniform,PoisFFT,"Ds | Ds",256,14,       0.004151
1,float,uniform,PoisFFT,"Ds | Ds",256,15,       0.004326
1,float,uniform,PoisFFT,"Ds | Ds",256,16,       0.003909
1,float,uniform,PoisFFT,"Ds | Ds",256,17,       0.004332
1,float,uniform,PoisFFT,"Ds | Ds",256,18,       0.004332
1,float,uniform,PoisFFT,"Ds | Ds",256,19,       0.002836
1,float,uniform,PoisFFT,"Ds | Ds",320,0,       0.005609
1,float,uniform,PoisFFT,"Ds | Ds",320,1,       0.004751
1,float,uniform,PoisFFT,"Ds | Ds",320,2,       0.004631
1,float,uniform,PoisFFT,"Ds | Ds",320,3,       0.004582
1,float,uniform,PoisFFT,"Ds | Ds",320,4,       0.004577
1,float,uniform,PoisFFT,"Ds | Ds",320,5,       0.004511
1,float,uniform,PoisFFT,"Ds | Ds",320,6,       0.004501
1,float,uniform,PoisFFT,"Ds | Ds",320,7,       0.004535
1,float,uniform,PoisFFT,"Ds | Ds",320,8,       0.004532
1,float,uniform,PoisFFT,"Ds | Ds",320,9,       0.004536
1,float,uniform,PoisFFT,"Ds | Ds",320,10,       0.004542
1,float,uniform,PoisFFT,"Ds | Ds",320,11,       0.004553
1,float,uniform,PoisFFT,"Ds | Ds",320,12,       0.004598
1,float,uniform,PoisFFT,"Ds | Ds",320,13,       0.004972
1,float,uniform,PoisFFT,"Ds | Ds",320,14,       0.004904
1,float,uniform,PoisFFT,"Ds | Ds",320,15,       0.004906
1,float,uniform,PoisFFT,"Ds | Ds",320,16,       0.004852
1,float,uniform,PoisFFT,"Ds | Ds",320,17,       0.004900
1,float,uniform,PoisFFT,"Ds | Ds",320,18,       0.004938
1,float,uniform,PoisFFT,"Ds | Ds",320,19,       0.004907
1,float,uniform,PoisFFT,"Ds | Ds",384,0,       0.007392
1,float,uniform,PoisFFT,"Ds | Ds",384,1,       0.006357
1,float,uniform,PoisFFT,"Ds | Ds",384,2,       0.006399
1,float,uniform,PoisFFT,"Ds | Ds",384,3,       0.006383
1,float,uniform,PoisFFT,"Ds | Ds",384,4,       0.006319
1,float,uniform,PoisFFT,"Ds | Ds",384,5,       0.006348
1,float,uniform,PoisFFT,"Ds | Ds",384,6,       0.006341
1,float,uniform,PoisFFT,"Ds | Ds",384,7,       0.006348
1,float,uniform,PoisFFT,"Ds | Ds",384,8,       0.006333
1,float,uniform,PoisFFT,"Ds | Ds",384,9,       0.006361
1,float,uniform,PoisFFT,"Ds | Ds",384,10,       0.006345
1,float,uniform,PoisFFT,"Ds | Ds",384,11,       0.006300
1,float,uniform,PoisFFT,"Ds | Ds",384,12,       0.006311
1,float,uniform,PoisFFT,"Ds | Ds",384,13,       0.006341
1,float,uniform,PoisFFT,"Ds | Ds",384,14,       0.006331
1,float,uniform,PoisFFT,"Ds | Ds",384,15,       0.006291
1,float,uniform,PoisFFT,"Ds | Ds",384,16,       0.006320
1,float,uniform,PoisFFT,"Ds | Ds",384,17,       0.006321
1,float,uniform,PoisFFT,"Ds | Ds",384,18,       0.006369
1,float,uniform,PoisFFT,"Ds | Ds",384,19,       0.006297
1,float,uniform,PoisFFT,"Ds | Ds",448,0,       0.007259
1,float,uniform,PoisFFT,"Ds | Ds",448,1,       0.006761
1,float,uniform,PoisFFT,"Ds | Ds",448,2,       0.006682
1,float,uniform,PoisFFT,"Ds | Ds",448,3,       0.006663
1,float,uniform,PoisFFT,"Ds | Ds",448,4,       0.006621
1,float,uniform,PoisFFT,"Ds | Ds",448,5,       0.006588
1,float,uniform,PoisFFT,"Ds | Ds",448,6,       0.006600
1,float,uniform,PoisFFT,"Ds | Ds",448,7,       0.006621
1,float,uniform,PoisFFT,"Ds | Ds",448,8,       0.006588
1,float,uniform,PoisFFT,"Ds | Ds",448,9,       0.006598
1,float,uniform,PoisFFT,"Ds | Ds",448,10,       0.007151
1,float,uniform,PoisFFT,"Ds | Ds",448,11,       0.007106
1,float,uniform,PoisFFT,"Ds | Ds",448,12,       0.007076
1,float,uniform,PoisFFT,"Ds | Ds",448,13,       0.007081
1,float,uniform,PoisFFT,"Ds | Ds",448,14,       0.007074
1,float,uniform,PoisFFT,"Ds | Ds",448,15,       0.007080
1,float,uniform,PoisFFT,"Ds | Ds",448,16,       0.007113
1,float,uniform,PoisFFT,"Ds | Ds",448,17,       0.007070
1,float,uniform,PoisFFT,"Ds | Ds",448,18,       0.007078
1,float,uniform,PoisFFT,"Ds | Ds",448,19,       0.016652
1,float,uniform,PoisFFT,"Ds | Ds",512,0,       0.007658
1,float,uniform,PoisFFT,"Ds | Ds",512,1,       0.007178
1,float,uniform,PoisFFT,"Ds | Ds",512,2,       0.007065
1,float,uniform,PoisFFT,"Ds | Ds",512,3,       0.007039
1,float,uniform,PoisFFT,"Ds | Ds",512,4,       0.007066
1,float,uniform,PoisFFT,"Ds | Ds",512,5,       0.007028
1,float,uniform,PoisFFT,"Ds | Ds",512,6,       0.007012
1,float,uniform,PoisFFT,"Ds | Ds",512,7,       0.008208
1,float,uniform,PoisFFT,"Ds | Ds",512,8,       0.007560
1,float,uniform,PoisFFT,"Ds | Ds",512,9,       0.007535
1,float,uniform,PoisFFT,"Ds | Ds",512,10,       0.007519
1,float,uniform,PoisFFT,"Ds | Ds",512,11,       0.007565
1,float,uniform,PoisFFT,"Ds | Ds",512,12,       0.024128
1,float,uniform,PoisFFT,"Ds | Ds",512,13,       0.007855
1,float,uniform,PoisFFT,"Ds | Ds",512,14,       0.007853
1,float,uniform,PoisFFT,"Ds | Ds",512,15,       0.007840
1,float,uniform,PoisFFT,"Ds | Ds",512,16,       0.007863
1,float,uniform,PoisFFT,"Ds | Ds",512,17,       0.007834
1,float,uniform,PoisFFT,"Ds | Ds",512,18,       0.007881
1,float,uniform,PoisFFT,"Ds | Ds",512,19,       0.007838
