dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,      34.750384
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,      34.718170
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,      34.474900
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,0,      85.063165
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,1,      85.654070
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,2,      85.648895
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,3,      84.726770
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,4,      84.683352
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,5,      85.610179
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,6,      84.906047
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,7,      84.664663
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,8,      84.903224
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,9,      85.440811
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,10,      85.374566
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,11,      85.006310
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,12,      85.147660
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,13,      84.983784
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,14,      85.814630
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,15,      84.692312
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,16,      84.712683
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,17,      85.113238
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,18,      85.563569
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,19,      84.849700
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,0,     153.635264
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,1,     154.128062
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,2,     154.011202
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,3,     153.440853
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,4,     151.921819
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,5,     152.324110
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,6,     157.281562
