dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",448,4,      71.946024
2,double,uniform,PoisFFT,"D | D | D | D",448,5,      71.945769
2,double,uniform,PoisFFT,"D | D | D | D",448,6,      71.700844
2,double,uniform,PoisFFT,"D | D | D | D",448,7,      71.875488
2,double,uniform,PoisFFT,"D | D | D | D",448,8,      72.694786
2,double,uniform,PoisFFT,"D | D | D | D",448,9,      71.989840
2,double,uniform,PoisFFT,"D | D | D | D",448,10,      71.929081
2,double,uniform,PoisFFT,"D | D | D | D",448,11,      72.295014
2,double,uniform,PoisFFT,"D | D | D | D",448,12,      71.953514
2,double,uniform,PoisFFT,"D | D | D | D",448,13,      72.149950
2,double,uniform,PoisFFT,"D | D | D | D",448,14,      72.504719
2,double,uniform,PoisFFT,"D | D | D | D",448,15,      72.812664
2,double,uniform,PoisFFT,"D | D | D | D",448,16,      71.950360
2,double,uniform,PoisFFT,"D | D | D | D",448,17,      71.880160
2,double,uniform,PoisFFT,"D | D | D | D",448,18,      70.153277
2,double,uniform,PoisFFT,"D | D | D | D",448,19,      70.915470
2,double,uniform,PoisFFT,"D | D | D | D",512,0,      22.060020
2,double,uniform,PoisFFT,"D | D | D | D",512,1,      22.044191
2,double,uniform,PoisFFT,"D | D | D | D",512,2,      22.046491
2,double,uniform,PoisFFT,"D | D | D | D",512,3,      22.192933
2,double,uniform,PoisFFT,"D | D | D | D",512,4,      22.135163
2,double,uniform,PoisFFT,"D | D | D | D",512,5,      22.037380
2,double,uniform,PoisFFT,"D | D | D | D",512,6,      22.106401
2,double,uniform,PoisFFT,"D | D | D | D",512,7,      22.037320
2,double,uniform,PoisFFT,"D | D | D | D",512,8,      22.036127
2,double,uniform,PoisFFT,"D | D | D | D",512,9,      22.033232
2,double,uniform,PoisFFT,"D | D | D | D",512,10,      22.039191
2,double,uniform,PoisFFT,"D | D | D | D",512,11,      22.038521
2,double,uniform,PoisFFT,"D | D | D | D",512,12,      22.038767
2,double,uniform,PoisFFT,"D | D | D | D",512,13,      22.040561
2,double,uniform,PoisFFT,"D | D | D | D",512,14,      22.038732
2,double,uniform,PoisFFT,"D | D | D | D",512,15,      22.040076
2,double,uniform,PoisFFT,"D | D | D | D",512,16,      22.036783
2,double,uniform,PoisFFT,"D | D | D | D",512,17,      22.036540
2,double,uniform,PoisFFT,"D | D | D | D",512,18,      22.036602
2,double,uniform,PoisFFT,"D | D | D | D",512,19,      22.035208
