dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,3,     524.688459
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,4,     512.517671
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,5,     519.591895
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,6,     530.540030
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,7,     518.623746
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,8,     529.588987
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,9,     534.598808
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,10,     511.863752
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,11,     521.567991
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,12,     513.697896
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,13,     518.617017
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,14,     517.159075
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,15,     513.429646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,16,     517.603862
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,17,     517.239001
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,18,     514.783657
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,19,     515.104411
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,0,    1364.175160
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,1,    1234.922922
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,2,    1245.074959
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,3,    1242.860175
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,4,    1215.243331
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,5,    1185.707911
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,6,    1192.074268
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,7,    1177.867997
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,8,    1206.876662
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,9,    1175.513044
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,10,    1093.413897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,11,    1106.000045
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,12,    1104.445714
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,13,    1135.120730
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,14,    1127.994624
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,15,    1139.495755
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,16,    1126.590679
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,17,    1125.057176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,18,    1140.987566
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,19,    1146.401525
