dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,      16.142876
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      12.917946
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      12.838297
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      12.791443
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      12.898638
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,5,      12.854676
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,6,      12.754048
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,7,      12.813144
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,8,      12.773815
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,9,      12.699978
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,10,      12.769078
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,11,      12.777998
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,12,      12.876683
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,13,      12.994963
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,14,      12.690233
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,15,      12.521578
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,16,      12.731546
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,17,      12.868155
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,18,      12.940544
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,19,      12.779634
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,0,      80.086232
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,1,      82.701723
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,2,      82.159693
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,3,      84.871993
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,4,      84.345364
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,5,      81.188029
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,6,      83.196551
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,7,      82.041420
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,8,      82.120304
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,9,      85.832655
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,10,      84.108896
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,11,      83.102033
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,12,      85.035351
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,13,      81.800749
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,14,      84.622952
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,15,      99.020242
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,16,      86.702802
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,17,      85.631473
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,18,      83.617742
3,float,uniform,PoisFFT,"P | P | P | P | N | D",256,19,      84.325626
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,0,      63.015931
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,1,      64.884535
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,2,      64.884790
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,3,      63.841826
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,4,      61.730892
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,5,      61.799450
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,6,      61.782035
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,7,      61.332960
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,8,      61.631781
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,9,      61.750968
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,10,      63.373076
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,11,      61.843988
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,12,      61.462998
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,13,      61.642716
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,14,      62.215935
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,15,      67.136275
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,16,      62.606162
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,17,      62.790001
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,18,      62.957123
3,float,uniform,PoisFFT,"P | P | P | P | N | D",320,19,      62.228211
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,0,     247.606623
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,1,     266.209119
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,2,     252.871794
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,3,     245.914916
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,4,     254.716517
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,5,     258.252755
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,6,     260.076285
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,7,     257.950924
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,8,     256.927575
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,9,     252.843547
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,10,     249.953357
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,11,     253.104361
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,12,     258.446479
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,13,     248.625953
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,14,     253.420603
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,15,     248.988073
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,16,     235.838394
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,17,     246.590895
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,18,     248.155762
3,float,uniform,PoisFFT,"P | P | P | P | N | D",384,19,     246.864188
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,0,     217.908607
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,1,     218.563997
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,2,     216.748241
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,3,     219.456331
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,4,     214.938507
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,5,     215.997766
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,6,     218.811886
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,7,     213.452934
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,8,     216.441740
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,9,     217.269921
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,10,     216.084449
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,11,     217.415006
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,12,     217.785195
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,13,     215.397876
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,14,     216.353019
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,15,     215.824429
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,16,     215.336905
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,17,     215.640364
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,18,     220.773632
3,float,uniform,PoisFFT,"P | P | P | P | N | D",448,19,     215.050379
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,0,     881.855515
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,1,     930.708946
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,2,     911.350789
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,3,     922.717269
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,4,     953.050853
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,5,     919.366936
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,6,     906.785518
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,7,     925.322612
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,8,     922.850060
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,9,     894.055154
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,10,     917.823378
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,11,     870.764589
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,12,     878.890684
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,13,     891.466036
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,14,     882.464404
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,15,     878.673267
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,16,     878.316742
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,17,     873.345157
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,18,     855.046448
3,float,uniform,PoisFFT,"P | P | P | P | N | D",512,19,     897.200765
