dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,7,    1260.232868
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,8,    1253.899465
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,9,    1249.779957
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,10,    1256.905412
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,11,    1222.956543
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,12,    1245.983413
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,13,    1242.474234
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,14,    1241.086421
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,15,    1240.051434
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,16,    1244.072222
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,17,    1173.214656
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,18,    1158.018380
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,19,    1165.618495
