dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,      14.976637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,15,      12.884539
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,16,      13.446760
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,17,      13.014402
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,18,      12.922796
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,19,      13.056821
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,0,      77.959072
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,1,      86.443972
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,2,      82.991961
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,3,      85.761030
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,4,      84.169120
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,5,      85.749407
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,6,      83.356259
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,7,      86.291343
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,8,      86.619676
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,9,      85.783756
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,10,      84.105514
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,11,      82.867006
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,12,      84.286551
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,13,      83.863888
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,14,      86.842154
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,15,      86.515156
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,16,      85.247502
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,17,      85.508202
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,18,      86.668516
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,19,      83.998209
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,0,      64.385165
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,1,      64.192013
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,2,      63.844926
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,3,      64.765937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,4,      63.472362
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,5,      64.007985
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,6,      63.820133
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,7,      63.746193
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,8,      63.959464
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,9,      63.752073
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,10,      63.787766
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,11,      63.943043
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,12,      63.997398
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,13,      63.975027
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,14,      64.084828
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,15,      64.277307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,16,      64.006746
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,17,      64.683639
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,18,      64.594867
3,float,uniform,PoisFFT,"P | P | P | P | D | N",320,19,      63.766423
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,0,     238.313048
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,1,     235.791789
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,2,     236.401928
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,3,     233.189153
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,4,     238.794536
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,5,     245.238761
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,6,     239.229416
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,7,     247.091192
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,8,     244.592798
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,9,     244.305854
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,10,     240.379000
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,11,     232.331536
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,12,     242.882331
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,13,     231.004495
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,14,     242.462089
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,15,     244.189988
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,16,     242.762950
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,17,     248.314663
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,18,     266.689044
3,float,uniform,PoisFFT,"P | P | P | P | D | N",384,19,     260.142612
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,0,     212.754413
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,1,     211.410629
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,2,     211.455269
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,3,     212.065815
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,4,     213.712056
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,5,     212.580449
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,6,     213.713298
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,7,     213.355840
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,8,     242.451072
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,9,     254.248302
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,10,     257.564300
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,11,     230.724873
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,12,     232.903332
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,13,     240.765552
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,14,     235.997829
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,15,     226.680476
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,16,     240.219740
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,17,     233.391360
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,18,     240.336981
3,float,uniform,PoisFFT,"P | P | P | P | D | N",448,19,     235.547776
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,0,     892.752973
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,1,     917.419861
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,2,     932.279014
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,3,     895.587908
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,4,     931.085244
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,5,     901.522146
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,6,     874.313104
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,7,     868.783653
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,8,     892.767245
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,9,     877.153603
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,10,     867.317082
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,11,     883.694861
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,12,     893.224609
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,13,     872.285104
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,14,     873.005294
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,15,     896.841983
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,16,     854.475662
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,17,     911.789483
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,18,     925.292723
3,float,uniform,PoisFFT,"P | P | P | P | D | N",512,19,     936.359702
