dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,3,      77.523994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,4,      77.404885
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,5,      77.514102
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,6,      76.984296
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,7,      78.022093
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,8,      78.188966
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,9,      77.119129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,10,      77.670050
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,11,      76.968741
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,12,      77.355728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,13,      77.207872
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,14,      77.502632
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,15,      76.935449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,16,      78.287314
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,17,      76.327300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,18,      76.580991
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,19,      76.368198
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,0,     170.077326
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,1,     170.330321
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,2,     172.258624
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,3,     175.655828
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,4,     176.973436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,5,     179.769655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,6,     173.135672
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,7,     179.167718
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,8,     168.579807
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,9,     173.224156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,10,     175.983123
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,11,     178.737790
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,12,     170.327972
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,13,     173.083269
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,14,     173.639891
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,15,     183.448696
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,16,     175.809950
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,17,     169.321913
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,18,     163.465761
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",384,19,     169.126356
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,0,     240.578423
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,1,     237.888264
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,2,     234.465412
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,3,     239.147126
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,4,     236.048444
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,5,     234.245285
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,6,     234.741669
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,7,     236.435111
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,8,     237.590655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,9,     235.207277
