dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,2,      94.970346
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,3,      94.607207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,4,      93.224655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,5,      93.821227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,6,      93.615988
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,7,      93.575052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,8,      94.357183
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,9,      94.936699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,10,      95.414447
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,11,      93.356889
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,12,      93.915139
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,13,      94.235351
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,14,      93.763806
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,15,      94.409238
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,16,      94.304843
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,17,      94.929159
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,18,      95.612480
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,19,      94.787652
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,0,     171.112725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,1,     169.825358
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,2,     169.596835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,3,     170.514628
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,4,     169.806865
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,5,     170.307994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,6,     169.432564
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,7,     169.401396
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,8,     169.499009
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,9,     169.452054
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,10,     169.843709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,11,     169.791426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,12,     169.372687
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,13,     169.161025
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,14,     168.773221
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,15,     170.624135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,16,     170.663700
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,17,     169.541635
