dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,      15.641803
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,16,      15.069132
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,17,      14.945427
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,18,      14.950189
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,19,      15.036201
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,0,      41.377401
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,1,      41.553145
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,2,      49.035318
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,3,      58.397473
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,4,      57.951188
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,5,      58.722639
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,6,      57.812843
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,7,      58.643935
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,8,      56.369233
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,9,      57.697608
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,10,      60.166303
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,11,      57.689983
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,12,      56.885486
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,13,      58.722538
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,14,      57.980448
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,15,      57.460492
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,16,      57.978484
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,17,      58.688960
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,18,      61.002505
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,19,      58.380848
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,0,      98.717431
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,1,      94.011826
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,2,      93.158348
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,3,      93.160818
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,4,      96.065372
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,5,      95.099223
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,6,      92.826232
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,7,      93.268750
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,8,      94.165968
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,9,      94.615020
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,10,      95.202892
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,11,      94.334189
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,12,      93.519024
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,13,      95.367852
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,14,      94.884855
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,15,      93.128862
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,16,      94.294100
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,17,      94.465435
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,18,      91.379104
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,19,      83.684139
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,0,     198.874646
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,1,     198.074643
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,2,     200.040048
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,3,     173.257542
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,4,     172.528745
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,5,     171.263025
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,6,     170.943769
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,7,     169.532298
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,8,     168.941363
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,9,     172.718112
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,10,     170.048038
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,11,     168.336217
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,12,     170.593906
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,13,     173.140465
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,14,     166.603758
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,15,     166.976084
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,16,     166.939175
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,17,     166.879877
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,18,     166.649172
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",384,19,     166.280033
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,0,     328.249464
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,1,     328.089070
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,2,     329.817535
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,3,     330.110419
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,4,     328.454501
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,5,     330.342599
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,6,     328.996203
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,7,     329.636937
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,8,     326.927483
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,9,     330.277313
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,10,     329.124969
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,11,     329.072748
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,12,     328.945511
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,13,     328.378217
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,14,     293.759072
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,15,     268.100136
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,16,     268.172605
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,17,     267.777934
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,18,     267.306429
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,19,     268.519571
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,0,     546.923591
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,1,     545.806955
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,2,     548.464118
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,3,     551.493126
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,4,     554.016528
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,5,     550.190621
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,6,     547.695354
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,7,     549.627772
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,8,     550.602763
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,9,     549.102738
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,10,     550.592905
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,11,     454.353719
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,12,     451.506023
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,13,     453.877741
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,14,     450.591478
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,15,     451.341231
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,16,     455.180605
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,17,     453.916156
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,18,     454.688563
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,19,     453.344758
