dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       6.649731
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       6.611088
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       6.516706
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       6.450096
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       6.517683
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       6.540694
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       6.461994
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       6.539718
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,      27.878681
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,      27.557918
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,      27.597112
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,      28.002404
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,      45.816321
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,5,      45.891921
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,6,      47.820619
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,7,      42.582612
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,8,      28.390308
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,9,      28.058181
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,10,      28.010626
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,11,      28.342998
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,12,      27.891602
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,13,      38.400941
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,14,      41.711507
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,15,      37.968716
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,16,      42.920039
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,17,      42.811805
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,18,      40.613373
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,19,      39.025901
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,0,      90.525712
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,1,      90.007620
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,2,      89.769203
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,3,      89.150557
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,4,      88.379552
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,5,      91.261740
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,6,      92.294681
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,7,      89.049695
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,8,      85.851474
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,9,      93.407265
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,10,      89.343916
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,11,      88.917382
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,12,      88.636344
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,13,      89.824902
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,14,      94.703917
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,15,      93.599560
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,16,      82.353421
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,17,      72.452852
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,18,      72.598196
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,19,      71.521899
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,0,     179.585345
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,1,     179.130866
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,2,     181.342254
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,3,     185.183768
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,4,     183.533309
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,5,     168.999930
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,6,     151.372627
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,7,     151.316699
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,8,     155.158959
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,9,     152.176966
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,10,     152.769677
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,11,     151.654222
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,12,     151.760073
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,13,     152.170857
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,14,     151.399513
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,15,     151.279527
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,16,     151.353423
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,17,     155.262283
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,18,     153.830305
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,19,     153.185323
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,0,     397.648327
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,1,     397.007334
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,2,     396.368011
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,3,     352.866965
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,4,     300.072456
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,5,     303.274348
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,6,     303.191719
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,7,     303.282094
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,8,     302.791655
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,9,     303.092209
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,10,     304.005831
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,11,     303.526723
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,12,     306.854930
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,13,     308.098098
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,14,     309.203167
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,15,     306.057124
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,16,     309.803857
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,17,     296.948366
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,18,     291.690391
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",384,19,     291.469457
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,0,     591.113742
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,1,     587.656411
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,2,     576.539502
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,3,     476.739033
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,4,     486.544560
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,5,     484.485392
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,6,     480.490388
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,7,     481.034725
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,8,     481.742909
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,9,     480.376053
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,10,     480.974994
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,11,     472.181910
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,12,     472.881170
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,13,     471.885372
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,14,     471.737730
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,15,     471.285659
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,16,     471.873544
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,17,     434.534497
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,18,     441.469961
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",448,19,     412.215742
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,0,     779.809730
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,1,     725.751074
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,2,     720.395267
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,3,     721.131589
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,4,     715.641310
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,5,     716.880826
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,6,     715.545040
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,7,     715.675432
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,8,     716.319808
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,9,     711.345150
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,10,     720.541089
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,11,     719.229492
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,12,     718.754892
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,13,     712.756288
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,14,     713.570083
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,15,     712.927491
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,16,     717.629994
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,17,     722.319767
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,18,     688.734289
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",512,19,     689.190240
