dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,       4.258914
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,       4.144956
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,       4.130586
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,       4.387223
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,       4.035787
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,       4.139076
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,20,       4.136425
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,21,       4.099316
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,22,       4.232195
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,23,       3.932628
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,24,       4.193685
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,25,       3.916668
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,26,       4.176715
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,27,       3.978837
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,28,       4.273404
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,29,       4.051207
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,30,       4.297684
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,31,       4.405413
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,32,       4.026287
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,33,       4.029857
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,34,       4.224345
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,35,       4.139006
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,36,       4.051866
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,37,       4.087536
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,38,       4.000967
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,39,       4.143496
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,40,       4.128016
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,41,       4.131586
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,42,       3.960578
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,43,       4.475902
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,44,       4.085136
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,45,       4.333714
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,46,       4.394703
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,47,       4.100046
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,48,       4.033577
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,49,       4.173716
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,50,       4.108186
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,51,       4.333484
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,52,       4.247235
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,53,       4.181946
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,54,       3.999247
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,55,       4.019257
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,56,       4.011557
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,57,       4.074816
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,58,       4.126725
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,59,       4.069486
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,60,       4.101856
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,61,       4.153655
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,62,       4.129786
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,63,       4.112336
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,64,       3.966568
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,65,       4.341024
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,66,       4.320084
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,67,       4.330874
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,68,       4.364233
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,69,       4.078246
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,70,       4.234945
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,71,       4.079966
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,72,       4.036997
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,73,       4.094286
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,74,       4.100857
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,      15.368926
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,      14.415925
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,      14.828641
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,      14.889711
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,      15.032049
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,      14.689163
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,      14.836912
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,      15.262996
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,      15.293276
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,      15.052589
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,      14.899820
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,      15.305606
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,      15.286696
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,      14.996650
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,      14.750052
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,      14.735012
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,      15.276926
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,      15.275616
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,      15.293356
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,      14.957270
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,20,      14.791942
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,21,      15.157728
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,22,      15.620232
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,23,      14.349226
