dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,22,       6.162345
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,23,       5.950986
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,24,       6.018926
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,25,       6.080025
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,26,       6.089085
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,27,       6.135325
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,28,       5.930418
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,29,       5.907717
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,30,       6.035736
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,31,       6.016636
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,32,       6.158305
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,33,       5.850258
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,34,       5.980057
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,35,       5.981466
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,36,       6.143645
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,37,       5.922227
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,38,       6.009686
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,39,       5.960746
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,40,       6.123735
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,41,       6.045926
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,42,       6.118056
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,43,       5.982257
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,44,       6.170904
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,45,       5.905947
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,46,       6.048665
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,47,       6.114406
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,48,       6.033476
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,49,       6.115555
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,50,       5.924157
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,51,       6.140955
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,52,       6.008236
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,53,       6.033666
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,54,       5.941077
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,55,       6.007147
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,56,       5.993436
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,57,       5.999717
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,58,       6.050416
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,59,       5.894878
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,60,       6.209344
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,61,       6.136735
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,62,       6.306063
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,63,       6.019687
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,64,       6.205494
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,65,       6.152615
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,66,       6.060406
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,67,       6.036785
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,68,       6.142335
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,69,       6.201955
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,70,       6.111425
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,71,       6.264353
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,72,       6.201455
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,73,       6.063456
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,74,       6.227594
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,0,       6.706958
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,1,       6.705789
