dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | N",320,25,       0.002250
1,float,uniform,PoisFFT,"D | N",320,26,       0.002270
1,float,uniform,PoisFFT,"D | N",320,27,       0.002279
1,float,uniform,PoisFFT,"D | N",320,28,       0.002300
1,float,uniform,PoisFFT,"D | N",320,29,       0.002309
1,float,uniform,PoisFFT,"D | N",320,30,       0.002279
1,float,uniform,PoisFFT,"D | N",320,31,       0.002260
1,float,uniform,PoisFFT,"D | N",320,32,       0.002330
1,float,uniform,PoisFFT,"D | N",320,33,       0.002270
1,float,uniform,PoisFFT,"D | N",320,34,       0.002280
1,float,uniform,PoisFFT,"D | N",320,35,       0.002280
1,float,uniform,PoisFFT,"D | N",320,36,       0.002290
1,float,uniform,PoisFFT,"D | N",320,37,       0.002280
1,float,uniform,PoisFFT,"D | N",320,38,       0.002260
1,float,uniform,PoisFFT,"D | N",320,39,       0.002260
1,float,uniform,PoisFFT,"D | N",320,40,       0.002530
1,float,uniform,PoisFFT,"D | N",320,41,       0.002270
1,float,uniform,PoisFFT,"D | N",320,42,       0.002260
1,float,uniform,PoisFFT,"D | N",320,43,       0.002309
1,float,uniform,PoisFFT,"D | N",320,44,       0.002249
1,float,uniform,PoisFFT,"D | N",320,45,       0.002300
1,float,uniform,PoisFFT,"D | N",320,46,       0.002270
1,float,uniform,PoisFFT,"D | N",320,47,       0.002270
1,float,uniform,PoisFFT,"D | N",320,48,       0.002280
1,float,uniform,PoisFFT,"D | N",320,49,       0.002260
1,float,uniform,PoisFFT,"D | N",320,50,       0.002310
1,float,uniform,PoisFFT,"D | N",320,51,       0.002290
1,float,uniform,PoisFFT,"D | N",320,52,       0.002270
1,float,uniform,PoisFFT,"D | N",320,53,       0.002270
1,float,uniform,PoisFFT,"D | N",320,54,       0.002280
1,float,uniform,PoisFFT,"D | N",320,55,       0.002340
1,float,uniform,PoisFFT,"D | N",320,56,       0.002260
1,float,uniform,PoisFFT,"D | N",320,57,       0.002260
1,float,uniform,PoisFFT,"D | N",320,58,       0.002251
1,float,uniform,PoisFFT,"D | N",320,59,       0.002240
1,float,uniform,PoisFFT,"D | N",320,60,       0.002280
1,float,uniform,PoisFFT,"D | N",320,61,       0.002270
1,float,uniform,PoisFFT,"D | N",320,62,       0.002270
1,float,uniform,PoisFFT,"D | N",320,63,       0.002260
1,float,uniform,PoisFFT,"D | N",320,64,       0.002240
1,float,uniform,PoisFFT,"D | N",320,65,       0.002230
1,float,uniform,PoisFFT,"D | N",320,66,       0.002280
