dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"P | P",320,13,       0.001830
1,double,uniform,PoisFFT,"P | P",320,14,       0.001810
1,double,uniform,PoisFFT,"P | P",320,15,       0.001789
1,double,uniform,PoisFFT,"P | P",320,16,       0.001800
1,double,uniform,PoisFFT,"P | P",320,17,       0.001800
1,double,uniform,PoisFFT,"P | P",320,18,       0.001800
1,double,uniform,PoisFFT,"P | P",320,19,       0.001760
1,double,uniform,PoisFFT,"P | P",320,20,       0.001810
1,double,uniform,PoisFFT,"P | P",320,21,       0.001780
1,double,uniform,PoisFFT,"P | P",320,22,       0.001820
1,double,uniform,PoisFFT,"P | P",320,23,       0.001780
1,double,uniform,PoisFFT,"P | P",320,24,       0.001850
1,double,uniform,PoisFFT,"P | P",320,25,       0.001800
1,double,uniform,PoisFFT,"P | P",320,26,       0.001780
1,double,uniform,PoisFFT,"P | P",320,27,       0.001800
1,double,uniform,PoisFFT,"P | P",320,28,       0.001800
1,double,uniform,PoisFFT,"P | P",320,29,       0.001791
1,double,uniform,PoisFFT,"P | P",320,30,       0.001790
1,double,uniform,PoisFFT,"P | P",320,31,       0.001840
1,double,uniform,PoisFFT,"P | P",320,32,       0.001800
1,double,uniform,PoisFFT,"P | P",320,33,       0.001790
1,double,uniform,PoisFFT,"P | P",320,34,       0.001790
1,double,uniform,PoisFFT,"P | P",320,35,       0.001790
1,double,uniform,PoisFFT,"P | P",320,36,       0.001790
1,double,uniform,PoisFFT,"P | P",320,37,       0.001820
1,double,uniform,PoisFFT,"P | P",320,38,       0.001810
1,double,uniform,PoisFFT,"P | P",320,39,       0.001810
1,double,uniform,PoisFFT,"P | P",320,40,       0.001820
1,double,uniform,PoisFFT,"P | P",320,41,       0.001830
1,double,uniform,PoisFFT,"P | P",320,42,       0.001780
1,double,uniform,PoisFFT,"P | P",320,43,       0.001780
1,double,uniform,PoisFFT,"P | P",320,44,       0.001830
1,double,uniform,PoisFFT,"P | P",320,45,       0.001810
1,double,uniform,PoisFFT,"P | P",320,46,       0.001780
1,double,uniform,PoisFFT,"P | P",320,47,       0.001830
1,double,uniform,PoisFFT,"P | P",320,48,       0.001780
1,double,uniform,PoisFFT,"P | P",320,49,       0.001780
1,double,uniform,PoisFFT,"P | P",320,50,       0.001820
1,double,uniform,PoisFFT,"P | P",320,51,       0.001820
