dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,4,      26.893751
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,5,      26.964061
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,6,      26.977181
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,7,      27.039911
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,8,      26.924161
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,9,      27.108689
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,10,      27.022340
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,11,      26.948251
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,12,      26.928672
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,13,      27.085210
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,14,      27.059030
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,15,      26.990661
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,16,      26.994990
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,17,      26.997351
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,18,      27.066390
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,19,      26.975871
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,20,      27.077020
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,21,      26.871561
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,22,      26.937501
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,23,      26.864702
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,24,      26.919032
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,25,      26.856092
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,26,      26.710804
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,27,      26.824942
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,28,      26.862472
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,29,      26.858272
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,30,      26.790333
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,31,      26.756793
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,32,      26.856642
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,33,      26.859782
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,34,      26.849642
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,35,      26.854652
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,36,      26.783423
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,37,      26.914111
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,38,      26.851332
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,39,      26.844693
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,40,      26.836902
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,41,      26.747243
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,42,      26.802822
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,43,      26.874332
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,44,      26.775643
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,45,      26.866262
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,46,      26.887062
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,47,      26.785453
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,48,      26.825933
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,49,      26.809393
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,50,      27.007481
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,51,      26.990880
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,52,      26.827742
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,53,      26.921601
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,54,      26.949331
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,55,      26.743984
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,56,      26.903192
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,57,      27.096650
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,58,      27.138749
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,59,      26.810732
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,60,      26.804913
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,61,      26.860382
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,62,      26.864732
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,63,      26.855022
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,64,      26.873141
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,65,      26.798862
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,66,      26.816393
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,67,      26.898732
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,68,      26.813602
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,69,      27.005561
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,70,      26.884162
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,71,      26.859122
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,72,      26.805663
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,73,      26.853002
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,74,      26.815743
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,0,      67.230694
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,1,      67.336853
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,2,      71.132207
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,3,      67.056646
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,4,      67.158835
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,5,      67.098846
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,6,      67.309164
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,7,      66.915968
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,8,      67.457772
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,9,      67.244464
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,10,      67.212984
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,11,      67.102685
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,12,      67.204314
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,13,      67.170255
