dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,33,       6.673049
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,34,       5.999826
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,35,       6.693539
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,36,       6.035796
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,37,       6.735728
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,38,       5.974666
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,39,       6.770408
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,40,       5.994396
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,41,       6.828657
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,42,       5.790818
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,43,       5.861957
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,44,       5.990426
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,45,       6.733858
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,46,       5.977056
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,47,       5.945547
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,48,       5.953086
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,49,       6.452541
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,50,       5.863837
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,51,       6.644799
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,52,       5.895728
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,53,       6.422552
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,54,       5.697380
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,55,       5.908147
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,56,       5.951406
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,57,       6.006786
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,58,       6.446051
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,59,       5.976176
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,60,       6.600410
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,61,       6.034095
