dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | D",320,7,0.025568,0,0.031008,0.013312,0.120906,0.069888
1,float,uniform,CPU,"D | D",320,8,0.026048,0,0.030591,0.012288,0.120176,0.068927
1,float,uniform,CPU,"D | D",320,9,0.025152,0,0.030801,0.012288,0.120472,0.068241
1,float,uniform,CPU,"D | D",320,10,0.026016,0,0.030418,0.012288,0.123416,0.068722
1,float,uniform,CPU,"D | D",320,11,0.028,0,0.030242,0.011264,0.121228,0.069506
1,float,uniform,CPU,"D | D",320,12,0.026208,0,0.030666,0.013312,0.121635,0.070186
1,float,uniform,CPU,"D | D",320,13,0.027104,0,0.030543,0.012288,0.122077,0.069935
1,float,uniform,CPU,"D | D",320,14,0.026112,0,0.030166,0.013312,0.120593,0.06959
1,float,uniform,CPU,"D | D",320,15,0.025632,0,0.030207,0.013312,0.119915,0.069151
1,float,uniform,CPU,"D | D",320,16,0.026336,0,0.030755,0.012288,0.120348,0.069379
1,float,uniform,CPU,"D | D",320,17,0.024832,0,0.030184,0.011264,0.119114,0.06628
1,float,uniform,CPU,"D | D",320,18,0.025376,0,0.03048,0.012288,0.120866,0.068144
1,float,uniform,CPU,"D | D",320,19,0.026176,0,0.030454,0.013312,0.120498,0.069942
1,float,uniform,CPU,"D | D",384,0,0.036384,0,0.042756,0.022528,0.163827,0.101668
1,float,uniform,CPU,"D | D",384,1,0.0288,0,0.028526,0.01536,0.127554,0.072686
1,float,uniform,CPU,"D | D",384,2,0.032032,0,0.026852,0.013312,0.125838,0.072196
1,float,uniform,CPU,"D | D",384,3,0.027648,0,0.026122,0.013312,0.117814,0.067082
1,float,uniform,CPU,"D | D",384,4,0.025952,0,0.025823,0.012288,0.115872,0.064063
1,float,uniform,CPU,"D | D",384,5,0.026848,0,0.025675,0.012288,0.11673,0.064811
1,float,uniform,CPU,"D | D",384,6,0.025472,0,0.026232,0.013312,0.117532,0.065016
1,float,uniform,CPU,"D | D",384,7,0.025952,0,0.025473,0.012288,0.114708,0.063713
1,float,uniform,CPU,"D | D",384,8,0.027136,0,0.025414,0.012288,0.116,0.064838
1,float,uniform,CPU,"D | D",384,9,0.02528,0,0.025394,0.011264,0.114964,0.061938
1,float,uniform,CPU,"D | D",384,10,0.027136,0,0.02747,0.013312,0.122384,0.067918
1,float,uniform,CPU,"D | D",384,11,0.026432,0,0.025492,0.012288,0.115114,0.064212
1,float,uniform,CPU,"D | D",384,12,0.027232,0,0.025071,0.012288,0.114826,0.064591
1,float,uniform,CPU,"D | D",384,13,0.026048,0,0.025418,0.011264,0.116016,0.06273
1,float,uniform,CPU,"D | D",384,14,0.029472,0,0.025752,0.013312,0.119053,0.068536
1,float,uniform,CPU,"D | D",384,15,0.025856,0,0.025643,0.013312,0.115641,0.064811
1,float,uniform,CPU,"D | D",384,16,0.026432,0,0.025328,0.013312,0.115974,0.065072
1,float,uniform,CPU,"D | D",384,17,0.02752,0,0.02557,0.012288,0.117807,0.065378
1,float,uniform,CPU,"D | D",384,18,0.02736,0,0.025526,0.013312,0.244537,0.066198
1,float,uniform,CPU,"D | D",384,19,0.02672,0,0.025926,0.013312,0.11663,0.065958
1,float,uniform,CPU,"D | D",448,0,0.043584,0,0.044714,0.021504,0.172471,0.109802
1,float,uniform,CPU,"D | D",448,1,0.028832,0,0.032026,0.014336,0.128876,0.075194
1,float,uniform,CPU,"D | D",448,2,0.029024,0,0.030057,0.014336,0.124311,0.073417
1,float,uniform,CPU,"D | D",448,3,0.027744,0,0.029761,0.012288,0.123213,0.069793
1,float,uniform,CPU,"D | D",448,4,0.026784,0,0.029855,0.013312,0.120725,0.069951
1,float,uniform,CPU,"D | D",448,5,0.025312,0,0.02955,0.012288,0.119104,0.06715
1,float,uniform,CPU,"D | D",448,6,0.027424,0,0.029455,0.013312,0.120561,0.070191
1,float,uniform,CPU,"D | D",448,7,0.032896,0,0.029424,0.012288,0.125617,0.074608
1,float,uniform,CPU,"D | D",448,8,0.026592,0,0.029784,0.013312,0.121318,0.069688
1,float,uniform,CPU,"D | D",448,9,0.027136,0,0.029153,0.013312,0.120365,0.069601
1,float,uniform,CPU,"D | D",448,10,0.029568,0,0.029804,0.013312,0.127386,0.072684
1,float,uniform,CPU,"D | D",448,11,0.026368,0,0.029169,0.011264,0.119073,0.066801
1,float,uniform,CPU,"D | D",448,12,0.025056,0,0.02935,0.012288,0.119054,0.066694
1,float,uniform,CPU,"D | D",448,13,0.026368,0,0.029917,0.012288,0.120216,0.068573
1,float,uniform,CPU,"D | D",448,14,0.026112,0,0.029524,0.011264,0.120268,0.0669
1,float,uniform,CPU,"D | D",448,15,0.027264,0,0.02958,0.012288,0.121961,0.069132
1,float,uniform,CPU,"D | D",448,16,0.02864,0,0.030471,0.013312,0.124535,0.072423
1,float,uniform,CPU,"D | D",448,17,0.025504,0,0.0295,0.014336,0.121817,0.06934
1,float,uniform,CPU,"D | D",448,18,0.025824,0,0.029308,0.012288,0.118777,0.06742
1,float,uniform,CPU,"D | D",448,19,0.0272,0,0.029218,0.013312,0.125465,0.06973
1,float,uniform,CPU,"D | D",512,0,0.034848,0,0.040444,0.02048,0.156877,0.095772
1,float,uniform,CPU,"D | D",512,1,0.027968,0,0.030056,0.016384,0.127428,0.074408
1,float,uniform,CPU,"D | D",512,2,0.027456,0,0.029161,0.014336,0.122861,0.070953
1,float,uniform,CPU,"D | D",512,3,0.026112,0,0.028868,0.012288,0.120612,0.067268
1,float,uniform,CPU,"D | D",512,4,0.02704,0,0.028152,0.013312,0.118992,0.068504
1,float,uniform,CPU,"D | D",512,5,0.025856,0,0.027708,0.012288,0.117465,0.065852
1,float,uniform,CPU,"D | D",512,6,0.026784,0,0.027453,0.013312,0.11723,0.067549
1,float,uniform,CPU,"D | D",512,7,0.026048,0,0.0275,0.012288,0.11688,0.065836
1,float,uniform,CPU,"D | D",512,8,0.113312,0,0.027511,0.012288,0.20533,0.153111
1,float,uniform,CPU,"D | D",512,9,0.025632,0,0.027312,0.013312,0.116023,0.066256
1,float,uniform,CPU,"D | D",512,10,0.026912,0,0.027679,0.012288,0.117588,0.066879
1,float,uniform,CPU,"D | D",512,11,0.026304,0,0.02786,0.013312,0.118219,0.067476
1,float,uniform,CPU,"D | D",512,12,0.027296,0,0.02752,0.013312,0.118167,0.068128
1,float,uniform,CPU,"D | D",512,13,0.02656,0,0.027657,0.012288,0.117396,0.066505
1,float,uniform,CPU,"D | D",512,14,0.026336,0,0.028011,0.012288,0.117939,0.066635
1,float,uniform,CPU,"D | D",512,15,0.026336,0,0.027712,0.012288,0.118802,0.066336
1,float,uniform,CPU,"D | D",512,16,0.026144,0,0.027826,0.012288,0.11678,0.066258
1,float,uniform,CPU,"D | D",512,17,0.025952,0,0.027185,0.017408,0.121656,0.070545
1,float,uniform,CPU,"D | D",512,18,0.027296,0,0.02771,0.013312,0.118409,0.068318
1,float,uniform,CPU,"D | D",512,19,0.026528,0,0.027487,0.012288,0.116024,0.066303
