dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,0,1.07699,0.004265,0.134312,0.45056,1.78079,1.66613
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,7,23.9656,0.004014,1.55445,0.754688,26.3671,26.2787
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,8,23.878,0.003828,1.55647,0.75264,26.2814,26.1909
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,9,24.0465,0.003944,1.55698,0.75264,26.4552,26.3601
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,10,23.9223,0.004073,1.55189,0.749568,26.3222,26.2279
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,11,23.9505,0.003827,1.56265,0.751616,26.3625,26.2686
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,12,23.8733,0.003726,1.55877,0.749568,26.276,26.1854
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,13,24.0466,0.004236,1.64655,0.755712,26.5507,26.4531
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,14,24.1713,0.004019,1.55689,0.750592,26.5759,26.4828
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,15,24.0494,0.004161,1.55933,0.75264,26.4594,26.3655
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,16,23.9634,0.003651,1.54945,0.749568,26.3614,26.266
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,17,24.1108,0.004308,1.55384,0.751616,26.517,26.4205
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,18,23.4677,0.003647,1.55449,0.751584,25.8668,25.7774
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,19,23.9511,0.004209,1.55347,0.754688,26.3573,26.2635
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,0,55.8686,0.003839,3.80703,1.76947,61.5719,61.4489
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,1,55.6003,0.002801,3.71872,1.75002,61.1571,61.0718
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,2,56.1357,0.002892,3.72648,1.75309,61.7062,61.6181
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,3,55.8681,0.002953,3.72085,1.75309,61.4391,61.345
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,4,55.5756,0.003253,3.71892,1.75104,61.1357,61.0488
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,5,55.5272,0.002691,3.71886,1.75411,61.086,61.0028
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,6,55.8724,0.002939,3.72309,1.75411,61.4398,61.3526
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,7,56.4416,0.002877,3.72601,1.75309,62.0095,61.9236
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,8,56.6078,0.002794,3.71532,1.75309,62.1611,62.079
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,9,56.6573,0.003234,3.72257,1.75206,62.235,62.1352
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,10,56.1998,0.003126,3.71733,1.75206,61.7596,61.6723
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,11,56.8796,0.002855,3.71802,1.75206,62.4466,62.3525
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,12,56.5965,0.002798,3.73082,1.75309,62.1683,62.0832
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,13,55.9041,0.002803,3.72171,1.75104,61.4627,61.3797
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,14,55.9477,0.00296,3.71718,1.75411,61.5116,61.4219
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,15,56.1764,0.002631,3.70568,1.75104,61.7238,61.6357
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,16,56.0465,0.003135,3.72013,1.75206,61.6127,61.5218
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,17,56.0328,0.00284,3.72333,1.75616,61.5992,61.5151
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,18,56.198,0.002831,3.71567,1.75206,61.7575,61.6686
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",256,19,55.9721,0.002691,3.7278,1.75411,61.5453,61.4567
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,0,107.236,0.002806,7.63751,3.43142,118.398,118.308
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,1,108.568,0.002797,7.63406,3.42528,119.721,119.63
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,2,107.637,0.002828,7.63416,3.43962,118.803,118.714
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,3,106.402,0.002751,7.63321,3.42221,117.547,117.46
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,4,107.931,0.002771,7.6285,3.43552,119.087,118.998
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,5,106.39,0.002763,7.62625,3.44269,117.55,117.462
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,6,107.046,0.002655,7.61884,3.42835,118.186,118.096
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,7,107.538,0.002777,7.61688,3.42528,118.671,118.583
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,8,107.931,0.002863,7.63194,3.43552,119.088,119.002
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,9,106.808,0.002785,7.63402,3.42835,117.962,117.873
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,10,107.489,0.002769,7.61989,3.42835,118.629,118.54
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,11,107.501,0.00281,7.64225,3.42835,118.665,118.575
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,12,107.053,0.002645,7.6303,3.4263,118.201,118.113
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,13,107.231,0.002752,7.63384,3.43552,118.393,118.303
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,14,107.33,0.002772,7.63635,3.42528,118.483,118.394
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,15,108.76,0.002842,7.63731,3.42835,119.927,119.829
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,16,107.164,0.003075,7.63016,3.4345,118.323,118.232
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,17,106.1,0.002802,7.62811,3.41709,117.236,117.148
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,18,106.626,0.002793,7.62338,3.42528,117.768,117.678
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",320,19,106.93,0.002828,7.62757,3.4304,118.079,117.991
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,0,229.031,0.002804,13.0998,5.92384,248.149,248.058
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,1,230.206,0.002885,13.0597,5.92077,249.279,249.19
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,2,229.325,0.002745,13.0538,5.92691,248.397,248.308
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,3,229.198,0.002815,13.0551,5.90643,248.25,248.162
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,4,230.431,0.002772,13.0552,5.93098,249.507,249.42
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,5,229.965,0.002795,13.0003,5.94125,249,248.91
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,6,229.297,0.002776,12.905,5.91872,248.212,248.124
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,7,229.58,0.002736,12.8494,5.9351,248.458,248.367
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,8,230.802,0.002799,12.788,5.9607,249.64,249.554
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,9,227.681,0.003051,12.7321,5.94842,246.452,246.365
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,10,228.96,0.002818,12.681,5.95251,247.683,247.596
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,11,230.534,0.002755,12.6826,5.98016,249.284,249.2
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,12,231.8,0.002767,12.6735,5.97197,250.538,250.449
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,13,229.891,0.002766,12.6829,5.96378,248.628,248.541
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,14,230.505,0.002821,12.6724,5.95968,249.23,249.14
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,15,232.822,0.002751,12.6832,5.95354,251.549,251.461
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,16,229.098,0.002749,12.6758,5.9648,247.828,247.741
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,17,230.878,0.00281,12.6699,5.9648,249.604,249.516
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,18,231.086,0.002753,12.6839,5.97709,249.836,249.749
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",384,19,228.606,0.002955,12.6874,5.9607,247.343,247.258
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,0,294.363,0.002762,29.6443,9.53446,333.633,333.544
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,1,295.619,0.002718,29.4942,9.53856,334.743,334.655
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,2,296.315,0.00276,29.6341,9.55085,335.594,335.503
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,3,296.216,0.002797,29.5243,9.53446,335.37,335.278
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,4,292.004,0.002698,29.6623,9.53958,331.296,331.209
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,5,295.668,0.002722,29.5668,9.5529,334.879,334.791
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,6,297.025,0.00271,29.5254,9.54266,336.184,336.096
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,7,295.223,0.00269,29.6684,9.5447,334.531,334.438
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,8,297.271,0.002755,29.472,9.53242,336.367,336.279
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,9,295.92,0.002694,29.5243,9.54163,335.078,334.989
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,10,298.19,0.002757,29.4837,9.54982,337.315,337.226
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,11,297.138,0.002692,29.471,9.54368,336.244,336.155
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,12,295.304,0.002677,29.5328,9.52627,334.455,334.365
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,13,294.551,0.002732,29.5218,9.54982,333.715,333.626
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,14,294.702,0.002699,29.5487,9.55904,333.901,333.812
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,15,295.279,0.002759,29.5068,9.56211,334.442,334.35
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,16,294.635,0.00272,29.5553,9.55904,333.839,333.752
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,17,295.403,0.00274,29.5505,9.54675,334.592,334.503
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,18,297.431,0.002736,29.5264,9.55494,336.604,336.515
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",448,19,294.548,0.002707,29.5279,9.55187,333.723,333.631
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,0,440.482,0.002714,41.2523,14.2633,496.087,496
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,1,443.475,0.002897,40.1723,14.2275,497.973,497.878
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,2,440.967,0.002872,41.0038,14.2234,496.29,496.198
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,3,443.716,0.002833,40.7649,14.2653,498.84,498.749
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,4,439.843,0.002682,41.6195,14.2592,495.813,495.725
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,5,443.066,0.002699,40.3064,14.2633,497.729,497.638
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,6,441.908,0.002734,40.5085,14.2991,496.804,496.718
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,7,436.039,0.00295,40.3074,14.2848,490.721,490.634
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,8,438.363,0.002716,40.351,14.2264,493.031,492.943
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,9,435.795,0.002727,41.5466,14.2162,491.651,491.56
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,10,439.338,0.003007,40.4065,14.3084,494.148,494.056
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,11,439.539,0.002741,40.3673,14.2807,494.28,494.19
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,12,445.661,0.002739,40.7345,14.2623,500.752,500.66
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,13,443.51,0.003385,40.7799,14.2612,498.646,498.555
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,14,440.612,0.002748,40.4057,14.2879,495.398,495.308
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,15,439.644,0.002748,40.5548,14.2797,494.571,494.481
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,16,444.823,0.002702,41.2399,14.2643,500.419,500.33
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,17,440.444,0.002706,40.5445,14.2428,495.323,495.234
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,18,440.913,0.003036,41.0904,14.2961,496.396,496.302
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",512,19,437.95,0.002688,40.5336,14.2643,492.843,492.75
