dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,12,0.107392,0,0.036495,0.012288,0.338951,0.156175
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,13,0.10656,0,0.03625,0.012288,0.211404,0.155098
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,14,0.107072,0,0.036322,0.012288,0.208318,0.155682
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,15,0.106752,0,0.036344,0.012288,0.207659,0.155384
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,16,0.106784,0,0.037253,0.019456,0.215121,0.163493
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,17,0.10624,0,0.036765,0.012288,0.208288,0.155293
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,18,0.106336,0,0.036469,0.013312,0.207999,0.156117
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,19,0.106624,0,0.037353,0.012288,0.209075,0.156265
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,0,0.186496,0,0.051915,0.026624,0.338682,0.265035
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,1,0.172256,0,0.037425,0.014336,0.277737,0.224017
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,2,0.17056,0,0.036594,0.014336,0.274068,0.22149
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,3,0.167968,0,0.035577,0.013312,0.269481,0.216857
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,4,0.168224,0,0.035926,0.012288,0.270359,0.216438
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,5,0.169312,0,0.03579,0.013312,0.274261,0.218414
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,6,0.174208,0,0.035214,0.013312,0.274763,0.222734
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,7,0.167456,0,0.036339,0.019456,0.276301,0.223251
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,8,0.169632,0,0.035468,0.013312,0.277163,0.218412
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,9,0.167424,0,0.035084,0.013312,0.268451,0.21582
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,10,0.16912,0,0.035092,0.014336,0.270219,0.218548
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,11,0.168192,0,0.035288,0.013312,0.269446,0.216792
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,12,0.167392,0,0.035549,0.013312,0.269256,0.216253
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,13,0.167584,0,0.035304,0.012288,0.273321,0.215176
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,14,0.168064,0,0.041304,0.013312,0.275412,0.22268
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,15,0.168608,0,0.035423,0.012288,0.286445,0.216319
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,16,0.16784,0,0.034939,0.012288,0.269046,0.215067
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,17,0.17088,0,0.036741,0.012288,0.274912,0.219909
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,18,0.16752,0,0.035547,0.012288,0.268511,0.215355
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",256,19,0.17232,0,0.035162,0.012288,0.273258,0.21977
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,0,0.262528,0,0.059903,0.018432,0.40338,0.340863
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,1,0.273152,0,0.040491,0.01536,0.383137,0.329003
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,2,0.258592,0,0.037701,0.013312,0.365154,0.309605
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,3,0.254464,0,0.037362,0.013312,0.3588,0.305138
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,4,0.254048,0,0.037698,0.013312,0.359091,0.305058
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,5,0.255424,0,0.037399,0.012288,0.358111,0.305111
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,6,0.253056,0,0.037419,0.013312,0.356333,0.303787
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,7,0.252128,0,0.037802,0.012288,0.35954,0.302218
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,8,0.252064,0,0.037646,0.014336,0.356446,0.304046
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,9,0.253056,0,0.03771,0.013312,0.35729,0.304078
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,10,0.25152,0,0.037653,0.013312,0.359944,0.302485
