dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",256,11,0.366592,0.003746,2.71344,0.489472,3.71255,3.57325
3,float,uniform,GPU,"D | D | D | D | N | D",256,12,0.362496,0.004059,2.7104,0.494592,3.71394,3.57155
3,float,uniform,GPU,"D | D | D | D | N | D",256,13,0.360096,0.003056,2.72275,0.487424,3.71723,3.57333
3,float,uniform,GPU,"D | D | D | D | N | D",256,14,0.358624,0.003357,2.70931,0.487424,3.69422,3.55872
3,float,uniform,GPU,"D | D | D | D | N | D",256,15,0.365568,0.003819,2.70975,0.493568,3.70902,3.57271
3,float,uniform,GPU,"D | D | D | D | N | D",256,16,0.358784,0.003325,2.71099,0.489472,3.69686,3.56257
3,float,uniform,GPU,"D | D | D | D | N | D",256,17,0.362688,0.003272,2.71003,0.487424,3.69786,3.56342
3,float,uniform,GPU,"D | D | D | D | N | D",256,18,0.36448,0.003483,2.7095,0.490496,3.70246,3.56796
3,float,uniform,GPU,"D | D | D | D | N | D",256,19,0.364736,0.003717,2.71416,0.4864,3.74617,3.56902
3,float,uniform,GPU,"D | D | D | D | N | D",320,0,0.68928,0.003028,13.184,0.894976,14.9045,14.7713
3,float,uniform,GPU,"D | D | D | D | N | D",320,1,0.690848,0.002989,13.1288,0.893952,14.852,14.7165
3,float,uniform,GPU,"D | D | D | D | N | D",320,2,0.691168,0.002811,13.1105,0.888832,14.8249,14.6933
3,float,uniform,GPU,"D | D | D | D | N | D",320,3,0.687424,0.003185,13.115,0.898048,14.8385,14.7036
3,float,uniform,GPU,"D | D | D | D | N | D",320,4,0.694048,0.002878,13.1092,0.891904,14.8304,14.6981
3,float,uniform,GPU,"D | D | D | D | N | D",320,5,0.690368,0.002812,13.1171,0.90112,14.8431,14.7114
3,float,uniform,GPU,"D | D | D | D | N | D",320,6,0.688,0.00283,13.1143,0.896,14.8333,14.7011
3,float,uniform,GPU,"D | D | D | D | N | D",320,7,0.686144,0.002838,13.1164,0.892928,14.8289,14.6983
3,float,uniform,GPU,"D | D | D | D | N | D",320,8,0.687232,0.002758,13.1612,0.891904,14.8754,14.7431
3,float,uniform,GPU,"D | D | D | D | N | D",320,9,0.694976,0.002739,13.1171,0.90112,14.8491,14.7159
3,float,uniform,GPU,"D | D | D | D | N | D",320,10,0.690656,0.002853,13.116,0.893952,14.8336,14.7035
3,float,uniform,GPU,"D | D | D | D | N | D",320,11,0.691392,0.002992,13.11,0.90112,14.8366,14.7055
3,float,uniform,GPU,"D | D | D | D | N | D",320,12,0.695904,0.002786,13.157,0.896,14.884,14.7517
3,float,uniform,GPU,"D | D | D | D | N | D",320,13,0.687072,0.002764,13.1456,0.894976,14.8628,14.7304
3,float,uniform,GPU,"D | D | D | D | N | D",320,14,0.69056,0.002706,13.1097,0.896,14.829,14.6989
3,float,uniform,GPU,"D | D | D | D | N | D",320,15,0.693152,0.00284,13.1121,0.893952,14.8347,14.7021
3,float,uniform,GPU,"D | D | D | D | N | D",320,16,0.694688,0.002769,13.1187,0.89088,14.8386,14.7071
3,float,uniform,GPU,"D | D | D | D | N | D",320,17,0.693024,0.002845,13.1152,0.896,14.8381,14.7071
3,float,uniform,GPU,"D | D | D | D | N | D",320,18,0.693312,0.002888,13.2101,0.893952,14.9317,14.8002
3,float,uniform,GPU,"D | D | D | D | N | D",320,19,0.690816,0.00278,13.1163,0.896,14.8377,14.7059
3,float,uniform,GPU,"D | D | D | D | N | D",384,0,1.18442,0.002691,8.46805,1.57082,11.354,11.226
3,float,uniform,GPU,"D | D | D | D | N | D",384,1,1.17898,0.002991,8.44282,1.55955,11.3152,11.1843
3,float,uniform,GPU,"D | D | D | D | N | D",384,2,1.1792,0.002785,8.4482,1.55341,11.3128,11.1836
3,float,uniform,GPU,"D | D | D | D | N | D",384,3,1.17978,0.002684,8.44448,1.55955,11.3152,11.1865
3,float,uniform,GPU,"D | D | D | D | N | D",384,4,1.18291,0.003049,8.44144,1.57082,11.3245,11.1982
3,float,uniform,GPU,"D | D | D | D | N | D",384,5,1.18144,0.002696,8.43918,1.55238,11.3028,11.1757
3,float,uniform,GPU,"D | D | D | D | N | D",384,6,1.18237,0.002889,8.44672,1.55034,11.3124,11.1823
3,float,uniform,GPU,"D | D | D | D | N | D",384,7,1.18106,0.002729,8.4381,1.55238,11.3052,11.1743
3,float,uniform,GPU,"D | D | D | D | N | D",384,8,1.18106,0.002987,8.44528,1.56058,11.3185,11.1899
3,float,uniform,GPU,"D | D | D | D | N | D",384,9,1.1777,0.002679,8.43324,1.55546,11.2976,11.1691
3,float,uniform,GPU,"D | D | D | D | N | D",384,10,1.18038,0.003007,8.45035,1.55341,11.317,11.1872
3,float,uniform,GPU,"D | D | D | D | N | D",384,11,1.18102,0.002849,8.44917,1.55853,11.3199,11.1916
3,float,uniform,GPU,"D | D | D | D | N | D",384,12,1.18192,0.002936,8.44753,1.5575,11.3185,11.1899
3,float,uniform,GPU,"D | D | D | D | N | D",384,13,1.18032,0.002647,8.44333,1.55955,11.3137,11.1859
3,float,uniform,GPU,"D | D | D | D | N | D",384,14,1.18061,0.002837,8.45344,1.5575,11.3234,11.1944
3,float,uniform,GPU,"D | D | D | D | N | D",384,15,1.18061,0.002843,8.44316,1.55853,11.3138,11.1851
3,float,uniform,GPU,"D | D | D | D | N | D",384,16,1.18266,0.002664,8.43053,1.55443,11.2985,11.1703
3,float,uniform,GPU,"D | D | D | D | N | D",384,17,1.17978,0.002691,8.43817,1.54522,11.2969,11.1658
3,float,uniform,GPU,"D | D | D | D | N | D",384,18,1.17792,0.00301,8.43526,1.55648,11.3017,11.1727
3,float,uniform,GPU,"D | D | D | D | N | D",384,19,1.18106,0.002703,8.44212,1.56262,11.3187,11.1885
3,float,uniform,GPU,"D | D | D | D | N | D",448,0,1.8737,0.003152,20.7498,2.58253,25.3396,25.2092
3,float,uniform,GPU,"D | D | D | D | N | D",448,1,1.86925,0.002679,20.7415,2.58765,25.3317,25.2011
3,float,uniform,GPU,"D | D | D | D | N | D",448,2,1.87178,0.002824,20.7325,2.59789,25.3325,25.205
3,float,uniform,GPU,"D | D | D | D | N | D",448,3,1.87456,0.002744,20.7346,2.5897,25.33,25.2016
3,float,uniform,GPU,"D | D | D | D | N | D",448,4,1.87395,0.002776,20.7383,2.58867,25.3304,25.2037
3,float,uniform,GPU,"D | D | D | D | N | D",448,5,1.87328,0.002796,20.7365,2.5856,25.3263,25.1981
3,float,uniform,GPU,"D | D | D | D | N | D",448,6,1.87389,0.002786,20.7407,2.58355,25.33,25.2009
3,float,uniform,GPU,"D | D | D | D | N | D",448,7,1.8776,0.002758,20.7329,2.5856,25.3286,25.1989
3,float,uniform,GPU,"D | D | D | D | N | D",448,8,1.8744,0.002758,20.7371,2.5815,25.3244,25.1958
3,float,uniform,GPU,"D | D | D | D | N | D",448,9,1.87206,0.002749,20.7331,2.58765,25.3238,25.1956
3,float,uniform,GPU,"D | D | D | D | N | D",448,10,1.87229,0.002773,20.7428,2.58867,25.3354,25.2065
3,float,uniform,GPU,"D | D | D | D | N | D",448,11,1.8744,0.002814,20.7332,2.5897,25.3288,25.2002
3,float,uniform,GPU,"D | D | D | D | N | D",448,12,1.87357,0.002973,20.7352,2.58355,25.3252,25.1953
3,float,uniform,GPU,"D | D | D | D | N | D",448,13,1.8712,0.002758,20.7407,2.58867,25.3329,25.2033
3,float,uniform,GPU,"D | D | D | D | N | D",448,14,1.87587,0.002723,20.7375,2.58765,25.3336,25.2037
3,float,uniform,GPU,"D | D | D | D | N | D",448,15,1.87181,0.002759,20.74,2.58355,25.328,25.1981
3,float,uniform,GPU,"D | D | D | D | N | D",448,16,1.87485,0.002776,20.7302,2.59174,25.3287,25.1995
3,float,uniform,GPU,"D | D | D | D | N | D",448,17,1.87235,0.002721,20.7348,2.59277,25.3329,25.2026
3,float,uniform,GPU,"D | D | D | D | N | D",448,18,1.87814,0.00375,20.7428,2.59379,25.345,25.2184
3,float,uniform,GPU,"D | D | D | D | N | D",448,19,1.8727,0.00277,20.7377,2.59584,25.3379,25.209
3,float,uniform,GPU,"D | D | D | D | N | D",512,0,2.76048,0.002692,29.9624,3.78778,36.6426,36.5134
3,float,uniform,GPU,"D | D | D | D | N | D",512,1,2.75603,0.002959,29.9561,3.78061,36.625,36.4957
3,float,uniform,GPU,"D | D | D | D | N | D",512,2,2.75894,0.002703,29.9453,3.77446,36.6089,36.4815
3,float,uniform,GPU,"D | D | D | D | N | D",512,3,2.75622,0.002684,29.9423,3.7847,36.6147,36.4859
3,float,uniform,GPU,"D | D | D | D | N | D",512,4,2.75622,0.002824,29.9756,3.79187,36.6553,36.5266
3,float,uniform,GPU,"D | D | D | D | N | D",512,5,2.7567,0.002775,29.9517,3.77037,36.6098,36.4815
3,float,uniform,GPU,"D | D | D | D | N | D",512,6,2.75632,0.002947,29.9548,3.78368,36.6265,36.4978
3,float,uniform,GPU,"D | D | D | D | N | D",512,7,2.75757,0.002755,29.9637,3.78266,36.6358,36.5067
3,float,uniform,GPU,"D | D | D | D | N | D",512,8,2.7545,0.002775,29.951,3.78778,36.6251,36.496
3,float,uniform,GPU,"D | D | D | D | N | D",512,9,2.75712,0.002629,29.9672,3.77856,36.6354,36.5055
3,float,uniform,GPU,"D | D | D | D | N | D",512,10,2.75626,0.002678,29.9412,3.7847,36.6127,36.4848
3,float,uniform,GPU,"D | D | D | D | N | D",512,11,2.75562,0.002776,29.9509,3.78573,36.6243,36.4951
3,float,uniform,GPU,"D | D | D | D | N | D",512,12,2.75702,0.00264,29.9422,3.77549,36.6066,36.4773
3,float,uniform,GPU,"D | D | D | D | N | D",512,13,2.75859,0.00313,29.9557,3.78778,36.6368,36.5052
3,float,uniform,GPU,"D | D | D | D | N | D",512,14,2.75635,0.002654,29.9394,3.78368,36.6093,36.4821
3,float,uniform,GPU,"D | D | D | D | N | D",512,15,2.75642,0.00271,29.946,3.7929,36.627,36.498
3,float,uniform,GPU,"D | D | D | D | N | D",512,16,2.75466,0.002665,29.9568,3.78061,36.6248,36.4947
3,float,uniform,GPU,"D | D | D | D | N | D",512,17,2.7567,0.002903,29.9515,3.77958,36.6213,36.4907
3,float,uniform,GPU,"D | D | D | D | N | D",512,18,2.75555,0.002629,29.9573,3.7847,36.6292,36.5002
3,float,uniform,GPU,"D | D | D | D | N | D",512,19,2.7552,0.002679,29.9366,3.78573,36.6098,36.4802
