dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,0,0.63568,0.004338,0.110178,0.442368,1.31662,1.19256
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,5,11.8648,0.003868,0.912872,0.439296,13.3129,13.2209
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,6,11.9084,0.003779,0.849713,0.438272,13.2916,13.2002
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,7,11.9301,0.003834,0.842575,0.442368,13.3377,13.2189
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,8,11.7922,0.003882,0.845593,0.438272,13.1706,13.08
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,9,11.9026,0.003985,0.843094,0.4352,13.2772,13.1849
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,10,11.9378,0.003833,0.845724,0.436224,13.3127,13.2236
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,11,11.8542,0.003786,0.851663,0.434176,13.234,13.1439
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,12,11.829,0.003814,0.84429,0.441344,13.2087,13.1184
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,13,11.8825,0.00377,0.846276,0.4352,13.2566,13.1677
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,14,11.8416,0.003793,0.846902,0.438272,13.2183,13.1306
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,15,11.786,0.00386,0.850144,0.443392,13.1728,13.0834
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,16,11.7703,0.003897,0.845194,0.437248,13.1456,13.0567
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,17,12.0307,0.003852,0.844148,0.439296,13.4098,13.318
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,18,11.8869,0.003873,0.844795,0.437248,13.2623,13.1728
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,19,11.9806,0.003813,0.847332,0.446464,13.3653,13.2782
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,0,28.2966,0.004678,2.12663,0.982016,31.511,31.41
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,1,28.1627,0.003572,2.08002,0.976896,31.3168,31.2231
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,2,28.348,0.00392,2.08153,0.984064,31.5176,31.4175
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,3,28.3873,0.004241,2.07829,0.975872,31.5436,31.4457
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,4,28.3174,0.004338,2.07908,0.975872,31.4756,31.3767
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,5,27.9417,0.003808,2.08304,0.973824,31.097,31.0023
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,6,28.2359,0.003927,2.08336,0.98304,31.4009,31.3062
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,7,28.2736,0.003494,2.07943,0.980992,31.4307,31.3375
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,8,28.4223,0.004022,2.08238,0.985088,31.5903,31.4938
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,9,28.2961,0.003982,2.08079,0.98304,31.4581,31.3639
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,10,28.3364,0.003955,2.08089,0.984064,31.5013,31.4053
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,11,28.3644,0.003952,2.08018,0.984064,31.5276,31.4325
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,12,28.0576,0.0036,2.08613,0.970752,31.2098,31.1181
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,13,28.522,0.004086,2.08269,0.980992,31.6854,31.5898
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,14,28.3962,0.004217,2.08489,0.982016,31.5631,31.4673
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,15,28.3082,0.003928,2.07901,0.986112,31.4704,31.3772
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,16,27.9838,0.004054,2.07959,0.978944,31.1415,31.0464
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,17,28.4125,0.003922,2.08144,0.980992,31.5767,31.4788
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,18,28.2735,0.003928,2.0839,0.980992,31.4381,31.3423
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",256,19,28.3909,0.004229,2.08249,0.978944,31.5542,31.4565
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,0,54.2513,0.002944,5.53022,1.90464,61.7798,61.6891
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,1,53.599,0.002941,5.49366,1.8944,61.0764,60.99
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,2,53.9982,0.003304,5.49839,1.89235,61.4802,61.3923
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,3,53.2055,0.002951,5.4905,1.8944,60.6814,60.5933
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,4,53.7317,0.003204,5.49723,1.88928,61.2096,61.1214
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,5,53.9593,0.002928,5.49842,1.90054,61.4463,61.3612
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,6,54.6518,0.003276,5.49198,1.90054,62.1457,62.0476
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,7,54.0732,0.002973,5.49323,1.89235,61.5488,61.4617
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,8,54.588,0.002917,5.49229,1.88928,62.0604,61.9725
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,9,54.1163,0.00328,5.49646,1.8903,61.5956,61.5063
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,10,54.3248,0.002938,5.49905,1.89747,61.809,61.7243
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,11,53.8471,0.002906,5.50011,1.89747,61.3377,61.2476
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,12,53.4211,0.002962,5.4985,1.89338,60.9036,60.816
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,13,53.3516,0.002953,5.49798,1.88826,60.8288,60.7408
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,14,54.09,0.003032,5.49592,1.89338,61.5701,61.4823
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,15,53.7107,0.002971,5.50482,1.89338,61.1984,61.1119
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,16,53.5558,0.003288,5.50055,1.89235,61.0366,60.952
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,17,54.7381,0.003077,5.50003,1.88826,62.2183,62.1295
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,18,54.2829,0.003301,5.49248,1.89133,61.7563,61.67
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",320,19,53.9303,0.003181,5.50139,1.8903,61.4263,61.3252
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,0,92.4803,0.00293,9.98988,3.27987,105.84,105.753
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,1,92.3562,0.002909,9.99316,3.28294,105.726,105.635
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,2,92.9471,0.003104,9.97063,3.26554,106.278,106.186
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,3,93.3961,0.002861,9.96522,3.26349,106.719,106.628
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,4,93.5641,0.002899,9.98488,3.2727,106.912,106.825
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,5,93.4261,0.002845,9.97421,3.2727,106.764,106.676
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,6,93.143,0.003199,9.97382,3.27066,106.482,106.391
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,7,93.6277,0.002939,9.96553,3.26963,106.96,106.866
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,8,94.1009,0.003047,9.9721,3.27373,107.44,107.35
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,9,92.041,0.003083,9.97908,3.26042,105.374,105.284
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,10,92.2652,0.002865,9.9697,3.26656,105.591,105.504
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,11,91.7426,0.003204,9.97318,3.26758,105.075,104.987
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,12,92.2192,0.003182,9.98299,3.27987,105.571,105.485
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,13,92.9644,0.002855,9.96953,3.26042,106.286,106.197
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,14,93.473,0.002786,9.97942,3.27168,106.82,106.727
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,15,93.5049,0.003774,9.98993,3.27373,106.866,106.772
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,16,93.0936,0.002882,9.9749,3.27885,106.438,106.35
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,17,92.7995,0.002917,9.97412,3.2809,106.149,106.057
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,18,93.1268,0.002868,9.98209,3.2768,106.474,106.389
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",384,19,93.7156,0.00342,9.9762,3.26758,107.055,106.963
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,0,145.841,0.003166,16.5277,5.35859,167.818,167.73
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,1,146.876,0.002826,15.3156,5.34938,167.631,167.544
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,2,146.766,0.002844,15.2909,5.33914,167.485,167.398
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,3,147.844,0.002819,15.2967,5.33914,168.572,168.483
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,4,145.684,0.00291,15.297,5.33299,166.405,166.317
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,5,147.765,0.00314,15.2797,5.33299,168.475,168.381
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,6,145.662,0.003111,15.2485,5.33504,166.335,166.249
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,7,147.811,0.002873,15.2023,5.3248,168.429,168.341
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,8,146.788,0.002923,15.2009,5.32582,167.406,167.317
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,9,148.27,0.002795,15.1988,5.34016,168.9,168.812
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,10,146.485,0.002871,15.1901,5.33094,167.095,167.009
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,11,147.158,0.002858,15.2246,5.33606,167.807,167.721
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,12,146.605,0.003046,15.2164,5.33914,167.252,167.163
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,13,146.736,0.002808,15.2113,5.33606,167.373,167.286
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,14,147.051,0.002806,15.2172,5.3289,167.688,167.6
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,15,146.388,0.002936,15.2205,5.33197,167.029,166.943
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,16,148.008,0.002888,15.224,5.34528,168.669,168.58
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,17,145.271,0.003158,15.2025,5.33402,165.898,165.811
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,18,147.449,0.002826,15.2087,5.32992,168.08,167.99
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",448,19,146.63,0.002802,15.2145,5.32992,167.264,167.177
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,0,220.303,0.002876,27.4231,7.4967,255.326,255.226
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,1,220.732,0.003021,27.368,7.49056,255.682,255.593
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,2,222.107,0.002833,27.0506,7.49158,256.739,256.652
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,3,220.078,0.003136,27.2824,7.50797,254.961,254.871
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,4,220.984,0.002843,27.1678,7.47725,255.722,255.632
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,5,222.426,0.002801,27.1727,7.49261,257.183,257.094
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,6,220.452,0.00282,27.2689,7.49056,255.3,255.214
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,7,222.269,0.003219,27.1559,7.48032,256.999,256.908
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,8,219.773,0.002796,27.1245,7.49568,254.482,254.396
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,9,220.7,0.002748,26.7208,7.48646,254.998,254.91
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,10,220.569,0.003068,27.3579,7.48646,255.506,255.417
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,11,221.086,0.002777,27.3378,7.49056,256.003,255.917
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,12,222.333,0.002738,27.3186,7.49261,257.233,257.147
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,13,217.663,0.002809,27.3037,7.50285,252.561,252.473
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,14,220.171,0.00282,27.2907,7.49056,255.042,254.955
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,15,222.148,0.002964,27.3421,7.46906,257.051,256.962
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,16,221.932,0.004286,27.382,7.49158,256.897,256.81
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,17,219.567,0.00299,27.3698,7.47622,254.502,254.416
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,18,220.333,0.002716,26.9664,7.4793,254.869,254.782
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",512,19,221.742,0.002811,27.3677,7.49158,256.692,256.604
