dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ns",320,5,0.019456,0,0.024895,0.012288,0.10349,0.056639
1,float,uniform,GPU,"Ds | Ns",320,6,0.019456,0,0.025388,0.012288,0.104283,0.057132
1,float,uniform,GPU,"Ds | Ns",320,7,0.021504,0,0.025267,0.013312,0.108386,0.060083
1,float,uniform,GPU,"Ds | Ns",320,8,0.019456,0,0.024969,0.012288,0.103506,0.056713
1,float,uniform,GPU,"Ds | Ns",320,9,0.019456,0,0.024828,0.012288,0.102664,0.056572
1,float,uniform,GPU,"Ds | Ns",320,10,0.019456,0,0.024964,0.011264,0.103136,0.055684
1,float,uniform,GPU,"Ds | Ns",320,11,0.018432,0,0.025144,0.012288,0.105448,0.055864
1,float,uniform,GPU,"Ds | Ns",320,12,0.018432,0,0.024949,0.012288,0.106611,0.055669
1,float,uniform,GPU,"Ds | Ns",320,13,0.018432,0,0.024786,0.012288,0.103311,0.055506
1,float,uniform,GPU,"Ds | Ns",320,14,0.019456,0,0.025191,0.012288,0.106003,0.056935
1,float,uniform,GPU,"Ds | Ns",320,15,0.019456,0,0.024636,0.012288,0.102502,0.05638
1,float,uniform,GPU,"Ds | Ns",320,16,0.022528,0,0.025226,0.012288,0.107333,0.060042
1,float,uniform,GPU,"Ds | Ns",320,17,0.018432,0,0.025337,0.012288,0.11044,0.056057
1,float,uniform,GPU,"Ds | Ns",320,18,0.019456,0,0.024857,0.013312,0.103652,0.057625
1,float,uniform,GPU,"Ds | Ns",320,19,0.019456,0,0.025109,0.012288,0.103171,0.056853
1,float,uniform,GPU,"Ds | Ns",384,0,0.029696,0,0.050857,0.018432,0.154129,0.098985
1,float,uniform,GPU,"Ds | Ns",384,1,0.022528,0,0.029831,0.013312,0.118902,0.065671
1,float,uniform,GPU,"Ds | Ns",384,2,0.018432,0,0.028932,0.012288,0.108725,0.059652
1,float,uniform,GPU,"Ds | Ns",384,3,0.018432,0,0.02781,0.012288,0.106584,0.05853
1,float,uniform,GPU,"Ds | Ns",384,4,0.019456,0,0.028053,0.013312,0.106497,0.060821
1,float,uniform,GPU,"Ds | Ns",384,5,0.023552,0,0.028177,0.013312,0.110845,0.065041
1,float,uniform,GPU,"Ds | Ns",384,6,0.019456,0,0.027826,0.012288,0.10591,0.05957
1,float,uniform,GPU,"Ds | Ns",384,7,0.018432,0,0.027642,0.011264,0.105398,0.057338
1,float,uniform,GPU,"Ds | Ns",384,8,0.018432,0,0.027985,0.011264,0.106172,0.057681
1,float,uniform,GPU,"Ds | Ns",384,9,0.019456,0,0.027708,0.011264,0.105782,0.058428
