dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,0.634528,0,0.098845,0.37376,1.20793,1.10713
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,3.51165,0,0.195254,0.062464,3.82895,3.76937
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,3.50694,0,0.19757,0.06144,3.82538,3.76595
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,3.35421,0,0.289559,0.067584,3.76856,3.71135
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,3.42797,0,0.195735,0.063488,3.75425,3.68719
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,3.4753,0,0.195277,0.062464,3.79068,3.73304
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,3.4792,0,0.196694,0.062464,3.79734,3.73836
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,3.39539,0,0.199295,0.060416,3.71384,3.6551
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,3.35728,0,0.19779,0.06144,3.67374,3.61651
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,11.8767,0,0.635586,0.222208,12.8162,12.7345
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,11.8187,0,0.583099,0.217088,12.6969,12.6188
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,11.9285,0,0.584015,0.216064,12.8047,12.7286
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,11.9619,0,0.58469,0.216064,12.8374,12.7626
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,11.9382,0,0.581685,0.216064,12.8094,12.736
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,12.0636,0,0.583116,0.217088,12.9378,12.8638
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,12.0473,0,0.581467,0.216064,12.9164,12.8448
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,11.8895,0,0.585818,0.212992,12.7618,12.6883
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,11.9859,0,0.581709,0.216064,12.8546,12.7837
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,11.9468,0,0.581253,0.216064,12.8173,12.7441
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,11.8803,0,0.588213,0.216064,12.7581,12.6845
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,11.9439,0,0.579673,0.214016,12.8148,12.7376
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,11.9377,0,0.582558,0.21504,12.8074,12.7353
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,12.0256,0,0.581913,0.214016,12.8931,12.8216
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,11.9896,0,0.584509,0.216064,12.8633,12.7902
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,11.925,0,0.583835,0.211968,12.801,12.7208
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,12.0059,0,0.581312,0.214016,12.8696,12.8012
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,11.8551,0,0.581644,0.216064,12.7266,12.6528
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,11.9112,0,0.580991,0.21504,12.7792,12.7073
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,11.913,0,0.588282,0.21504,12.787,12.7163
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,28.3091,0,1.46581,0.502784,30.3628,30.2777
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,28.2895,0,1.42118,0.487424,30.2825,30.1981
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,28.5342,0,1.42082,0.49152,30.5235,30.4466
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,28.4828,0,1.4319,0.488448,30.4816,30.4032
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,28.4943,0,1.42303,0.493568,30.4889,30.4109
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,28.996,0,1.42271,0.49152,30.9929,30.9102
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,28.7642,0,1.42491,0.488448,30.7592,30.6775
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,28.5137,0,1.42644,0.487424,30.5053,30.4276
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,28.5018,0,1.42735,0.49664,30.5032,30.4258
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,27.7022,0,1.42646,0.493568,29.6984,29.6223
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,27.8856,0,1.42754,0.490496,29.8789,29.8036
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,28.1333,0,1.43191,0.493568,30.1436,30.0588
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,28.046,0,1.42828,0.488448,30.0379,29.9627
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,28.482,0,1.42861,0.485376,30.4775,30.396
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,28.4167,0,1.42836,0.497664,30.4192,30.3427
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,28.2986,0,1.42828,0.489472,30.2955,30.2163
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,28.4782,0,1.42106,0.490496,30.47,30.3898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,28.1428,0,1.4308,0.493568,30.1458,30.0672
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,28.3391,0,1.43054,0.495616,30.3439,30.2653
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,28.332,0,1.43026,0.495616,30.3313,30.2579
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,0,53.914,0,4.15569,0.893952,59.0373,58.9636
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,1,53.8621,0,4.13215,0.891904,58.9568,58.8862
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,2,54.4682,0,4.13754,0.893952,59.5738,59.4996
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,3,53.8899,0,4.14426,0.898048,59.007,58.9322
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,4,53.9091,0,4.13877,0.89088,59.0141,58.9388
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,5,54.5932,0,4.13842,0.893952,59.6998,59.6255
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,6,55.3562,0,4.13755,0.892928,60.4631,60.3866
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,7,55.2411,0,4.1413,0.89088,60.348,60.2732
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,8,55.892,0,4.13928,0.894976,61.0098,60.9262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,9,54.3551,0,4.15588,0.910336,59.4952,59.4213
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,10,54.0931,0,4.14001,0.896,59.2042,59.1291
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,11,54.0688,0,4.15296,0.894976,59.1906,59.1167
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,12,54.436,0,4.13831,0.897024,59.5444,59.4713
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,13,54.4961,0,4.14443,0.89088,59.606,59.5314
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,14,54.4151,0,4.14144,0.899072,59.5253,59.4556
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,15,54.4545,0,4.15069,0.889856,59.5724,59.4951
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,16,54.2576,0,4.14753,0.894976,59.3741,59.3001
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,17,54.2996,0,4.13824,0.893952,59.4061,59.3318
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,18,54.4167,0,4.13499,0.889856,59.5135,59.4415
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",320,19,54.9726,0,4.1395,0.89088,60.076,60.003
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,0,93.8914,0,7.52447,1.55955,103.064,102.975
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,1,93.4315,0,7.49778,1.56058,102.57,102.49
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,2,93.0813,0,7.49359,1.5575,102.21,102.132
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,3,93.5349,0,7.50107,1.56262,102.674,102.599
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,4,93.3751,0,7.5,1.5575,102.511,102.433
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,5,93.4654,0,7.49949,1.56262,102.617,102.528
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,6,92.7182,0,7.49784,1.5575,101.853,101.774
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,7,92.5952,0,7.49692,1.55853,101.727,101.651
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,8,92.57,0,7.49542,1.56058,101.701,101.626
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,9,93.8965,0,7.49727,1.56058,103.031,102.954
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,10,92.6139,0,7.49846,1.55136,101.741,101.664
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,11,91.9938,0,7.49504,1.55853,101.124,101.047
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,12,93.3541,0,7.50033,1.55238,102.485,102.407
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,13,93.6288,0,7.49428,1.5575,102.759,102.681
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,14,93.5335,0,7.49439,1.55546,102.661,102.583
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,15,92.8009,0,7.49584,1.55136,101.925,101.848
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,16,93.1168,0,7.49564,1.55546,102.245,102.168
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,17,94.3318,0,7.50118,1.55853,103.47,103.391
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,18,93.0816,0,7.49344,1.56058,102.211,102.136
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",384,19,92.8725,0,7.49546,1.56467,102.01,101.933
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,0,146.979,0,12.3044,2.59174,161.96,161.875
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,1,147.086,0,12.2773,2.59174,162.031,161.955
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,2,146.111,0,12.2675,2.59379,161.044,160.972
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,3,147.075,0,12.2817,2.58867,162.019,161.946
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,4,146.992,0,12.2711,2.5856,161.925,161.848
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,5,147.72,0,12.278,2.59584,162.669,162.593
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,6,147.577,0,12.2716,2.58765,162.513,162.436
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,7,147.482,0,12.2648,2.57843,162.398,162.325
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,8,147.573,0,12.2577,2.59174,162.498,162.423
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,9,146.72,0,12.2684,2.58765,161.65,161.576
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,10,149.39,0,12.2832,2.59277,164.341,164.266
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,11,145.755,0,12.2621,2.59072,160.683,160.608
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,12,146.056,0,12.266,2.58458,160.979,160.907
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,13,147.617,0,12.2691,2.60301,162.563,162.489
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,14,146.244,0,12.2777,2.58662,161.182,161.108
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,15,146.512,0,12.2677,2.58765,161.439,161.368
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,16,147.867,0,12.2716,2.57331,162.788,162.712
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,17,146.754,0,12.2791,2.59482,161.703,161.628
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,18,146.931,0,12.2572,2.57843,161.842,161.767
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",448,19,148.299,0,12.2657,2.59277,163.232,163.157
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,0,225.66,0,21.3403,3.5113,250.59,250.512
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,1,217.602,0,21.3188,3.50618,242.502,242.427
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,2,223.008,0,21.3139,3.51437,247.914,247.837
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,3,222.647,0,21.3087,3.50413,247.536,247.459
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,4,221.924,0,21.3255,3.50413,246.831,246.753
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,5,221.794,0,21.3138,3.50106,246.687,246.609
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,6,218.398,0,21.3164,3.49491,243.283,243.21
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,7,222.255,0,21.3199,3.50413,247.163,247.079
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,8,219.318,0,21.3155,3.50208,244.211,244.135
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,9,219.738,0,21.3252,3.50822,244.653,244.571
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,10,222.496,0,21.3272,3.49901,247.402,247.322
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,11,219.265,0,21.3096,3.51539,244.166,244.09
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,12,220.391,0,21.3273,3.50413,245.3,245.223
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,13,225.098,0,21.3184,3.50618,250,249.923
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,14,222.495,0,21.3193,3.51027,247.402,247.325
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,15,219.401,0,21.3171,3.5072,244.3,244.226
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,16,219.518,0,21.3287,3.5072,244.431,244.354
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,17,224.398,0,21.3254,3.50413,249.302,249.228
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,18,218.915,0,21.3251,3.50413,243.821,243.744
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",512,19,224.028,0,21.3132,3.5072,248.924,248.848
