dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,15,0.361888,0.003659,1.91469,0.9728,3.39459,3.25304
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,16,0.360576,0.00416,1.89547,0.971776,3.37778,3.23198
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,17,0.393504,0.003274,1.92666,0.992256,3.46779,3.3157
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,18,0.359008,0.003325,1.89194,0.966656,3.36089,3.22093
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,19,0.363136,0.003411,1.89331,0.9728,3.3782,3.23266
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,0,0.69328,0.003031,5.39468,1.8985,8.12837,7.98949
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,1,0.686464,0.003059,5.35597,1.89645,8.08585,7.94195
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,2,0.686368,0.003021,5.3582,1.89338,8.08253,7.94096
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,3,0.688256,0.003102,5.37604,1.91488,8.12323,7.98228
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,4,0.689856,0.003059,5.37294,1.88826,8.09204,7.95412
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,5,0.690624,0.003052,5.36077,1.90976,8.10525,7.9642
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,6,0.686272,0.003029,5.35639,1.8903,8.07809,7.93599
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,7,0.688768,0.00306,5.37745,1.8903,8.10328,7.95958
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,8,0.687104,0.003082,5.36699,1.88928,8.08608,7.94645
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,9,0.691392,0.003083,5.3506,1.8944,8.08272,7.93947
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,10,0.688256,0.003047,5.35804,1.89645,8.08925,7.94579
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,11,0.686784,0.003067,5.37001,1.89542,8.09926,7.95529
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,12,0.687232,0.003124,5.35885,1.89133,8.08387,7.94054
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,13,0.689824,0.003014,5.36031,1.8903,8.08467,7.94345
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,14,0.68672,0.003063,5.35791,1.89542,8.08609,7.94311
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,15,0.687296,0.00303,5.35768,1.88928,8.08229,7.93729
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,16,0.688864,0.003095,5.37555,1.88928,8.09825,7.95679
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,17,0.68912,0.004925,5.41805,1.89952,8.15347,8.01161
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,18,0.68784,0.00309,5.41785,1.8903,8.14176,7.99908
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",320,19,0.687264,0.003045,5.40949,1.89338,8.13408,7.99317
