dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,2,106.037,0.003121,8.98026,3.4345,118.548,118.455
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,3,108.252,0.003467,8.9899,3.42835,120.769,120.674
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,4,107.485,0.00314,8.98897,3.4304,120.001,119.908
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,5,106.744,0.003431,9.00132,3.42938,119.273,119.178
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,6,107.076,0.003153,8.98962,3.42426,119.592,119.493
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,7,109.079,0.003227,8.98362,3.43245,121.591,121.498
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,8,107.193,0.003173,8.98418,3.43245,119.707,119.613
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,9,107.992,0.003176,8.97654,3.43142,120.499,120.404
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,10,107.77,0.003156,8.98986,3.42835,120.281,120.191
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,11,108.779,0.003173,8.9934,3.4304,121.298,121.206
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,12,107.386,0.003239,8.99036,3.42528,119.898,119.805
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,13,107.211,0.002983,8.98692,3.42016,119.709,119.621
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,14,107.264,0.003193,8.98193,3.43552,119.779,119.685
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,15,107.855,0.003226,8.97722,3.44064,120.365,120.276
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,16,107.399,0.00322,8.98947,3.42426,119.909,119.816
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,17,107.676,0.003168,8.98514,3.44064,120.198,120.105
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,18,106.7,0.003124,8.9888,3.43654,119.222,119.129
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,19,107.707,0.003354,8.98413,3.42736,120.214,120.122
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,0,228.628,0.003203,15.2334,5.96787,249.935,249.833
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,1,231.181,0.003109,14.9308,5.98221,252.189,252.097
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,2,228.653,0.00316,14.9227,5.98323,249.651,249.562
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,3,230.458,0.003118,14.9279,5.96685,251.445,251.356
