dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,16,0.365408,0.00382,1.96346,0.97792,3.45253,3.3106
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,17,0.36496,0.004089,1.96411,0.979968,3.46011,3.31312
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,18,0.363616,0.003531,1.95772,0.979968,3.44645,3.30483
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,19,0.362688,0.004425,1.96379,0.98304,3.45619,3.31394
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,0,0.691904,0.003037,5.11278,1.8985,7.84324,7.70622
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,1,0.69088,0.003022,5.09817,1.89235,7.82007,7.68442
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,2,0.693536,0.003158,5.09809,1.89747,7.83012,7.69226
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,3,0.69232,0.00343,5.09889,1.90157,7.83544,7.69621
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,4,0.691232,0.003094,5.09586,1.8903,7.81881,7.68049
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,5,0.692768,0.003166,5.09914,1.89952,7.83319,7.6946
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,6,0.689376,0.0035,5.10499,1.8903,7.82834,7.68817
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,7,0.691904,0.003201,5.10346,1.89645,7.83263,7.69501
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,8,0.690688,0.003073,5.10339,1.90362,7.84065,7.70076
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,9,0.68976,0.00306,5.09693,1.8944,7.82184,7.68415
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,10,0.690848,0.003054,5.11459,1.89235,7.83834,7.70084
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,11,0.692448,0.00304,5.10573,1.89338,7.83037,7.6946
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,12,0.689376,0.003295,5.10749,1.8944,7.83619,7.69456
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,13,0.69184,0.00341,5.10316,1.89542,7.83526,7.69384
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,14,0.688768,0.003089,5.09437,1.90157,7.82561,7.6878
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,15,0.716064,0.004388,5.12707,1.91181,7.89332,7.75933
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,16,0.689728,0.003283,5.1082,1.8944,7.83368,7.69562
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,17,0.688064,0.003037,5.10359,1.90054,7.83181,7.69523
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,18,0.69216,0.003148,5.10052,1.90566,7.83783,7.70149
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",320,19,0.689504,0.003085,5.09936,1.89747,7.82898,7.68942
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,0,1.18406,0.003053,9.23406,3.28294,13.8423,13.7041
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,1,1.18051,0.003422,9.21342,3.27475,13.8092,13.6721
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,2,1.18125,0.003076,9.21649,3.27373,13.8129,13.6745
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,3,1.17878,0.00306,9.22928,3.26861,13.8186,13.6797
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,4,1.18163,0.003024,9.23442,3.27168,13.828,13.6908
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,5,1.18285,0.003372,9.22155,3.27578,13.8194,13.6835
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,6,1.17744,0.002996,9.19446,3.27373,13.7834,13.6486
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,7,1.17494,0.003042,9.2102,3.2768,13.8034,13.665
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,8,1.17914,0.003013,9.21601,3.26451,13.7974,13.6627
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,9,1.18269,0.00309,9.20436,3.27782,13.8031,13.668
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,10,1.18122,0.00327,9.18545,3.2809,13.7879,13.6508
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,11,1.18131,0.003215,9.19838,3.27475,13.795,13.6577
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,12,1.17565,0.003328,9.1806,3.26861,13.7638,13.6282
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,13,1.18134,0.003291,9.21936,3.2768,13.8176,13.6808
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,14,1.17981,0.003069,9.22183,3.27782,13.8196,13.6825
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,15,1.18019,0.003281,9.22896,3.26963,13.8214,13.6821
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,16,1.18371,0.003327,9.23202,3.27066,13.8342,13.6897
