dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,14,229.671,0.002788,10.3491,2.67366,242.78,242.696
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,15,229.816,0.002702,10.3356,2.68493,242.922,242.839
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,16,230.367,0.002799,10.3352,2.67469,243.465,243.38
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,17,229.774,0.002826,10.3451,2.68083,242.888,242.803
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,18,231.429,0.002708,10.3414,2.68288,244.539,244.456
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,19,229.642,0.003057,10.3501,2.68493,242.762,242.68
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,0,297.421,0.003127,25.6595,4.36122,327.529,327.445
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,1,296.532,0.002918,25.0302,4.32947,325.975,325.895
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,2,299.697,0.003082,24.7227,4.29056,328.793,328.714
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,3,297.397,0.002805,24.6897,4.2967,326.467,326.386
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,4,291.557,0.002983,24.8309,4.29363,320.766,320.684
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,5,292.035,0.002891,24.6195,4.29466,321.03,320.952
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,6,296.976,0.002976,24.7785,4.29568,326.132,326.053
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,7,293.446,0.002823,24.8407,4.29568,322.667,322.585
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,8,293.869,0.003158,24.7076,4.29158,322.949,322.872
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,9,296.064,0.002907,24.6936,4.29875,325.137,325.059
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,10,295.541,0.002718,24.7175,4.28851,324.628,324.55
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,11,292.807,0.002959,24.7488,4.2967,321.932,321.855
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,12,295.467,0.003074,24.767,4.30285,324.617,324.54
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,13,296.727,0.00265,24.766,4.29363,325.868,325.79
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,14,299.326,0.002718,24.6253,4.29978,328.333,328.254
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,15,294.513,0.002667,24.746,4.29363,323.635,323.555
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,16,294.569,0.002753,24.7724,4.30387,323.728,323.648
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,17,294.887,0.002738,24.6781,4.3008,323.948,323.869
