dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",64,0,1.14134,0.004143,0.125487,0.451584,1.83564,1.72256
3,double,uniform,CPU,"P | P | P | P | N | D",192,1,23.9455,0.004305,1.59754,0.74752,26.3918,26.2948
3,double,uniform,CPU,"P | P | P | P | N | D",192,2,23.7709,0.004037,1.59645,0.748544,26.2113,26.1199
3,double,uniform,CPU,"P | P | P | P | N | D",192,3,23.8228,0.004337,1.61265,0.748544,26.2865,26.1883
3,double,uniform,CPU,"P | P | P | P | N | D",192,4,24.0455,0.004092,1.59685,0.749568,26.4964,26.396
3,double,uniform,CPU,"P | P | P | P | N | D",192,5,23.5636,0.004277,1.59885,0.75264,26.0129,25.9193
3,double,uniform,CPU,"P | P | P | P | N | D",192,6,23.8372,0.004631,1.59718,0.75264,26.2884,26.1917
3,double,uniform,CPU,"P | P | P | P | N | D",192,7,23.9635,0.004193,1.59693,0.751616,26.4145,26.3162
3,double,uniform,CPU,"P | P | P | P | N | D",192,8,24.1224,0.004172,1.5967,0.753664,26.5753,26.4769
3,double,uniform,CPU,"P | P | P | P | N | D",192,9,23.8726,0.003933,1.59857,0.751616,26.3225,26.2268
3,double,uniform,CPU,"P | P | P | P | N | D",192,10,24.0764,0.004204,1.5945,0.74752,26.5178,26.4226
3,double,uniform,CPU,"P | P | P | P | N | D",192,11,23.967,0.004063,1.59521,0.751616,26.4144,26.3179
3,double,uniform,CPU,"P | P | P | P | N | D",192,12,23.8459,0.004122,1.59564,0.754688,26.2962,26.2004
3,double,uniform,CPU,"P | P | P | P | N | D",192,13,24.0311,0.004158,1.60509,0.750592,26.4875,26.3909
3,double,uniform,CPU,"P | P | P | P | N | D",192,14,23.7615,0.003969,1.59429,0.749568,26.2041,26.1093
3,double,uniform,CPU,"P | P | P | P | N | D",192,15,24.0972,0.004228,1.59441,0.750592,26.5422,26.4464
3,double,uniform,CPU,"P | P | P | P | N | D",192,16,24.015,0.004262,1.59684,0.75776,26.4673,26.3738
3,double,uniform,CPU,"P | P | P | P | N | D",192,17,23.8214,0.004027,1.59609,0.754688,26.2723,26.1762
3,double,uniform,CPU,"P | P | P | P | N | D",192,18,24.0686,0.004232,1.59723,0.749568,26.5163,26.4197
3,double,uniform,CPU,"P | P | P | P | N | D",192,19,24.0087,0.004199,1.60678,0.749568,26.4644,26.3692
3,double,uniform,CPU,"P | P | P | P | N | D",256,0,55.7503,0.003404,3.84337,1.76128,61.4506,61.3584
3,double,uniform,CPU,"P | P | P | P | N | D",256,1,55.7996,0.003027,3.7985,1.75514,61.4501,61.3563
3,double,uniform,CPU,"P | P | P | P | N | D",256,2,55.895,0.003009,3.80597,1.75309,61.5514,61.4571
3,double,uniform,CPU,"P | P | P | P | N | D",256,3,56.0199,0.002983,3.80293,1.75514,61.6716,61.581
3,double,uniform,CPU,"P | P | P | P | N | D",256,4,55.8337,0.002971,3.79653,1.75309,61.4819,61.3863
3,double,uniform,CPU,"P | P | P | P | N | D",256,5,55.8956,0.003142,3.80222,1.75002,61.5407,61.451
3,double,uniform,CPU,"P | P | P | P | N | D",256,6,56.6358,0.003008,3.80525,1.75514,62.2907,62.1992
3,double,uniform,CPU,"P | P | P | P | N | D",256,7,56.0635,0.003004,3.79775,1.75411,61.7108,61.6183
3,double,uniform,CPU,"P | P | P | P | N | D",256,8,56.1742,0.003002,3.80011,1.75206,61.8244,61.7294
3,double,uniform,CPU,"P | P | P | P | N | D",256,9,56.2687,0.003104,3.79753,1.75514,61.9195,61.8245
3,double,uniform,CPU,"P | P | P | P | N | D",256,10,56.0542,0.002917,3.80333,1.75411,61.7054,61.6146
3,double,uniform,CPU,"P | P | P | P | N | D",256,11,56.186,0.002977,3.78814,1.75411,61.8217,61.7312
3,double,uniform,CPU,"P | P | P | P | N | D",256,12,56.7075,0.003104,3.79415,1.75104,62.3511,62.2557
3,double,uniform,CPU,"P | P | P | P | N | D",256,13,56.6481,0.003118,3.79666,1.75309,62.2942,62.201
3,double,uniform,CPU,"P | P | P | P | N | D",256,14,56.0399,0.003044,3.80006,1.75002,61.6875,61.593
3,double,uniform,CPU,"P | P | P | P | N | D",256,15,55.9356,0.003058,3.79605,1.75411,61.5833,61.4888
3,double,uniform,CPU,"P | P | P | P | N | D",256,16,55.4732,0.003209,3.80461,1.75514,61.1317,61.0362
3,double,uniform,CPU,"P | P | P | P | N | D",256,17,55.4704,0.003059,3.79822,1.75309,61.1186,61.0248
3,double,uniform,CPU,"P | P | P | P | N | D",256,18,55.7485,0.002993,3.80239,1.75309,61.402,61.3069
3,double,uniform,CPU,"P | P | P | P | N | D",256,19,56.6061,0.003016,3.80528,1.75104,62.2586,62.1655
3,double,uniform,CPU,"P | P | P | P | N | D",320,0,107.142,0.003147,8.96936,3.44474,119.664,119.559
3,double,uniform,CPU,"P | P | P | P | N | D",320,1,107.002,0.003054,8.94747,3.4345,119.478,119.387
3,double,uniform,CPU,"P | P | P | P | N | D",320,2,107.663,0.003008,8.94816,3.43654,120.144,120.051
3,double,uniform,CPU,"P | P | P | P | N | D",320,3,106.726,0.003263,8.94614,3.43245,119.203,119.108
3,double,uniform,CPU,"P | P | P | P | N | D",320,4,106.547,0.003043,8.94945,3.42426,119.014,118.924
3,double,uniform,CPU,"P | P | P | P | N | D",320,5,107.194,0.002991,8.94981,3.43347,119.671,119.581
3,double,uniform,CPU,"P | P | P | P | N | D",320,6,107.813,0.003026,8.95076,3.44064,120.302,120.207
3,double,uniform,CPU,"P | P | P | P | N | D",320,7,107.873,0.003092,8.95197,3.43962,120.362,120.267
3,double,uniform,CPU,"P | P | P | P | N | D",320,8,108.32,0.003129,8.94732,3.43859,120.797,120.709
3,double,uniform,CPU,"P | P | P | P | N | D",320,9,108.099,0.00322,8.94682,3.4304,120.574,120.479
3,double,uniform,CPU,"P | P | P | P | N | D",320,10,108.147,0.0032,8.9583,3.43654,120.641,120.545
3,double,uniform,CPU,"P | P | P | P | N | D",320,11,108.151,0.003015,8.94571,3.42835,120.62,120.528
3,double,uniform,CPU,"P | P | P | P | N | D",320,12,106.842,0.003099,8.94563,3.43962,119.321,119.231
3,double,uniform,CPU,"P | P | P | P | N | D",320,13,108.266,0.002909,8.94373,3.42528,120.733,120.638
3,double,uniform,CPU,"P | P | P | P | N | D",320,14,106.946,0.003118,8.95128,3.4304,119.422,119.331
3,double,uniform,CPU,"P | P | P | P | N | D",320,15,108.464,0.002946,8.94791,3.44576,120.954,120.861
3,double,uniform,CPU,"P | P | P | P | N | D",320,16,107.798,0.003092,8.95251,3.44269,120.29,120.196
3,double,uniform,CPU,"P | P | P | P | N | D",320,17,108.54,0.003113,8.94977,3.42528,121.013,120.919
3,double,uniform,CPU,"P | P | P | P | N | D",320,18,107.975,0.003101,8.95486,3.4263,120.456,120.359
3,double,uniform,CPU,"P | P | P | P | N | D",320,19,108.309,0.003013,8.94975,3.41914,120.777,120.681
3,double,uniform,CPU,"P | P | P | P | N | D",384,0,230.763,0.003175,15.8748,5.93101,252.677,252.572
3,double,uniform,CPU,"P | P | P | P | N | D",384,1,231.618,0.003162,15.5693,5.94739,253.229,253.138
3,double,uniform,CPU,"P | P | P | P | N | D",384,2,228.823,0.003196,15.3695,5.94944,250.234,250.145
3,double,uniform,CPU,"P | P | P | P | N | D",384,3,228.899,0.003303,15.0817,5.96378,250.038,249.948
3,double,uniform,CPU,"P | P | P | P | N | D",384,4,230.071,0.00318,14.9625,5.95866,251.088,250.995
3,double,uniform,CPU,"P | P | P | P | N | D",384,5,230.46,0.003347,14.8769,5.96685,251.4,251.307
3,double,uniform,CPU,"P | P | P | P | N | D",384,6,229.887,0.003123,14.877,5.98221,250.838,250.749
3,double,uniform,CPU,"P | P | P | P | N | D",384,7,230.477,0.003126,14.8813,5.97914,251.435,251.34
3,double,uniform,CPU,"P | P | P | P | N | D",384,8,231.795,0.003165,14.8802,5.96582,252.734,252.644
3,double,uniform,CPU,"P | P | P | P | N | D",384,9,231.762,0.003263,14.8726,5.98323,252.712,252.621
3,double,uniform,CPU,"P | P | P | P | N | D",384,10,229.377,0.002994,14.8748,5.97197,250.317,250.226
3,double,uniform,CPU,"P | P | P | P | N | D",384,11,227.511,0.003374,14.8793,5.94944,248.433,248.343
3,double,uniform,CPU,"P | P | P | P | N | D",384,12,229.26,0.003596,14.8821,5.96582,250.201,250.111
3,double,uniform,CPU,"P | P | P | P | N | D",384,13,228.443,0.002896,14.8672,5.96685,249.369,249.28
3,double,uniform,CPU,"P | P | P | P | N | D",384,14,228.943,0.002937,14.8713,5.95968,249.867,249.777
3,double,uniform,CPU,"P | P | P | P | N | D",384,15,229.871,0.003305,14.8703,5.96992,250.804,250.714
3,double,uniform,CPU,"P | P | P | P | N | D",384,16,227.242,0.002968,14.8732,5.9689,248.178,248.087
3,double,uniform,CPU,"P | P | P | P | N | D",384,17,231.277,0.002987,14.8828,5.96787,252.22,252.131
3,double,uniform,CPU,"P | P | P | P | N | D",384,18,229.232,0.002937,14.8615,5.97504,250.163,250.072
3,double,uniform,CPU,"P | P | P | P | N | D",384,19,230.788,0.00299,14.8521,5.98528,251.721,251.629
3,double,uniform,CPU,"P | P | P | P | N | D",448,0,292.559,0.003219,33.272,9.5232,335.449,335.357
3,double,uniform,CPU,"P | P | P | P | N | D",448,1,293.336,0.002925,33.2601,9.52627,336.213,336.125
3,double,uniform,CPU,"P | P | P | P | N | D",448,2,297.213,0.00314,33.2521,9.52627,340.085,339.994
3,double,uniform,CPU,"P | P | P | P | N | D",448,3,292.86,0.003571,33.2515,9.54266,335.752,335.657
3,double,uniform,CPU,"P | P | P | P | N | D",448,4,293.926,0.00306,33.2496,9.52115,336.789,336.7
3,double,uniform,CPU,"P | P | P | P | N | D",448,5,292.679,0.002952,33.2548,9.53549,335.56,335.472
3,double,uniform,CPU,"P | P | P | P | N | D",448,6,294.377,0.002944,33.2433,9.50886,337.221,337.132
3,double,uniform,CPU,"P | P | P | P | N | D",448,7,295.632,0.003668,33.2512,9.53446,338.516,338.421
3,double,uniform,CPU,"P | P | P | P | N | D",448,8,293.463,0.007256,33.2766,9.53549,336.37,336.282
3,double,uniform,CPU,"P | P | P | P | N | D",448,9,292.199,0.003373,33.245,9.54266,335.079,334.99
3,double,uniform,CPU,"P | P | P | P | N | D",448,10,292.318,0.002841,33.2496,9.52525,335.181,335.096
3,double,uniform,CPU,"P | P | P | P | N | D",448,11,300.766,0.002783,33.2476,9.51706,343.621,343.533
3,double,uniform,CPU,"P | P | P | P | N | D",448,12,294.95,0.00282,33.2444,9.55392,337.84,337.751
3,double,uniform,CPU,"P | P | P | P | N | D",448,13,295.666,0.002838,33.2548,9.51706,338.531,338.441
3,double,uniform,CPU,"P | P | P | P | N | D",448,14,297.128,0.002933,33.2622,9.51706,339.999,339.91
3,double,uniform,CPU,"P | P | P | P | N | D",448,15,293.613,0.002863,33.2475,9.52218,336.473,336.385
3,double,uniform,CPU,"P | P | P | P | N | D",448,16,297.55,0.003374,33.26,9.53037,340.432,340.344
3,double,uniform,CPU,"P | P | P | P | N | D",448,17,293.88,0.002777,33.2546,9.5232,336.749,336.661
3,double,uniform,CPU,"P | P | P | P | N | D",448,18,292.222,0.003115,33.2512,9.55699,335.119,335.033
3,double,uniform,CPU,"P | P | P | P | N | D",448,19,295.318,0.002758,33.2486,9.5191,338.178,338.088
3,double,uniform,CPU,"P | P | P | P | N | D",512,0,445.644,0.002696,55.5848,14.0872,515.407,515.318
3,double,uniform,CPU,"P | P | P | P | N | D",512,1,442.629,0.00285,55.6862,14.1005,512.508,512.419
3,double,uniform,CPU,"P | P | P | P | N | D",512,2,436.956,0.002781,55.6307,14.0933,506.774,506.683
3,double,uniform,CPU,"P | P | P | P | N | D",512,3,445.422,0.002829,55.2067,14.0872,514.808,514.719
3,double,uniform,CPU,"P | P | P | P | N | D",512,4,444.388,0.002868,55.5732,14.0442,514.1,514.009
3,double,uniform,CPU,"P | P | P | P | N | D",512,5,443.27,0.002722,55.311,14.1036,512.78,512.687
3,double,uniform,CPU,"P | P | P | P | N | D",512,6,438.162,0.002746,55.2028,14.0605,507.518,507.428
3,double,uniform,CPU,"P | P | P | P | N | D",512,7,447.584,0.002807,55.3436,14.0708,517.093,517.002
3,double,uniform,CPU,"P | P | P | P | N | D",512,8,441.89,0.002673,55.0581,14.0636,511.102,511.014
3,double,uniform,CPU,"P | P | P | P | N | D",512,9,439.287,0.002731,55.1311,14.0974,508.609,508.519
3,double,uniform,CPU,"P | P | P | P | N | D",512,10,444.089,0.002749,55.0521,14.0964,513.329,513.241
3,double,uniform,CPU,"P | P | P | P | N | D",512,11,439.448,0.002786,55.2006,14.0851,508.827,508.736
3,double,uniform,CPU,"P | P | P | P | N | D",512,12,441.585,0.002784,55.1698,14.0974,510.946,510.855
3,double,uniform,CPU,"P | P | P | P | N | D",512,13,447.719,0.002785,55.4787,14.0872,517.38,517.288
3,double,uniform,CPU,"P | P | P | P | N | D",512,14,439.185,0.002772,55.2939,14.0964,508.67,508.578
3,double,uniform,CPU,"P | P | P | P | N | D",512,15,442.547,0.002742,55.5111,14.0595,512.21,512.12
3,double,uniform,CPU,"P | P | P | P | N | D",512,16,442.163,0.002711,55.4926,14.1005,511.848,511.759
3,double,uniform,CPU,"P | P | P | P | N | D",512,17,439.125,0.003011,55.2632,14.0974,508.582,508.489
3,double,uniform,CPU,"P | P | P | P | N | D",512,18,438.365,0.002753,55.5435,14.0513,508.051,507.963
3,double,uniform,CPU,"P | P | P | P | N | D",512,19,445.477,0.002988,55.7109,14.1169,515.399,515.308
