dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | D",256,8,0.019456,0,0.030336,0.013312,0.108258,0.063104
1,float,uniform,GPU,"D | D",256,9,0.022528,0,0.030299,0.011264,0.110842,0.064091
1,float,uniform,GPU,"D | D",256,10,0.018432,0,0.030545,0.012288,0.107946,0.061265
1,float,uniform,GPU,"D | D",256,11,0.018432,0,0.030379,0.013312,0.107653,0.062123
1,float,uniform,GPU,"D | D",256,12,0.019456,0,0.030111,0.012288,0.107884,0.061855
1,float,uniform,GPU,"D | D",256,13,0.018432,0,0.030568,0.012288,0.10805,0.061288
1,float,uniform,GPU,"D | D",256,14,0.019456,0,0.029941,0.012288,0.109761,0.061685
1,float,uniform,GPU,"D | D",256,15,0.018432,0,0.03043,0.012288,0.107722,0.06115
1,float,uniform,GPU,"D | D",256,16,0.019456,0,0.030908,0.012288,0.108275,0.062652
1,float,uniform,GPU,"D | D",256,17,0.02048,0,0.030219,0.013312,0.109837,0.064011
1,float,uniform,GPU,"D | D",256,18,0.018432,0,0.029941,0.013312,0.10777,0.061685
1,float,uniform,GPU,"D | D",256,19,0.019456,0,0.029995,0.013312,0.108113,0.062763
1,float,uniform,GPU,"D | D",320,0,0.028672,0,0.034394,0.017408,0.133612,0.080474
1,float,uniform,GPU,"D | D",320,1,0.022528,0,0.039827,0.012288,0.122772,0.074643
1,float,uniform,GPU,"D | D",320,2,0.019456,0,0.026657,0.016384,0.109534,0.062497
1,float,uniform,GPU,"D | D",320,3,0.019456,0,0.027128,0.011264,0.104807,0.057848
1,float,uniform,GPU,"D | D",320,4,0.02048,0,0.026156,0.013312,0.105765,0.059948
1,float,uniform,GPU,"D | D",320,5,0.018432,0,0.026555,0.014336,0.110836,0.059323
1,float,uniform,GPU,"D | D",320,6,0.019456,0,0.026277,0.013312,0.103678,0.059045
1,float,uniform,GPU,"D | D",320,7,0.02048,0,0.026619,0.012288,0.108895,0.059387
1,float,uniform,GPU,"D | D",320,8,0.019456,0,0.026174,0.012288,0.103408,0.057918
1,float,uniform,GPU,"D | D",320,9,0.018432,0,0.026812,0.012288,0.103514,0.057532
1,float,uniform,GPU,"D | D",320,10,0.021504,0,0.026131,0.011264,0.104024,0.058899
1,float,uniform,GPU,"D | D",320,11,0.024576,0,0.026241,0.013312,0.109292,0.064129
1,float,uniform,GPU,"D | D",320,12,0.022528,0,0.026579,0.011264,0.108127,0.060371
1,float,uniform,GPU,"D | D",320,13,0.019456,0,0.026307,0.013312,0.104997,0.059075
1,float,uniform,GPU,"D | D",320,14,0.019456,0,0.026282,0.012288,0.104887,0.058026
1,float,uniform,GPU,"D | D",320,15,0.019456,0,0.026729,0.012288,0.103361,0.058473
1,float,uniform,GPU,"D | D",320,16,0.019456,0,0.026223,0.013312,0.105231,0.058991
1,float,uniform,GPU,"D | D",320,17,0.017408,0,0.026513,0.012288,0.106195,0.056209
1,float,uniform,GPU,"D | D",320,18,0.017408,0,0.026396,0.012288,0.103407,0.056092
1,float,uniform,GPU,"D | D",320,19,0.018432,0,0.025916,0.013312,0.103398,0.05766
1,float,uniform,GPU,"D | D",384,0,0.03072,0,0.030856,0.019456,0.134158,0.081032
1,float,uniform,GPU,"D | D",384,1,0.022528,0,0.024631,0.013312,0.112705,0.060471
1,float,uniform,GPU,"D | D",384,2,0.021504,0,0.021994,0.012288,0.107869,0.055786
1,float,uniform,GPU,"D | D",384,3,0.019456,0,0.022293,0.013312,0.101116,0.055061
1,float,uniform,GPU,"D | D",384,4,0.019456,0,0.021443,0.012288,0.100286,0.053187
1,float,uniform,GPU,"D | D",384,5,0.018432,0,0.021552,0.013312,0.100406,0.053296
1,float,uniform,GPU,"D | D",384,6,0.023552,0,0.021756,0.012288,0.103496,0.057596
1,float,uniform,GPU,"D | D",384,7,0.019456,0,0.02204,0.012288,0.099177,0.053784
1,float,uniform,GPU,"D | D",384,8,0.019456,0,0.022258,0.013312,0.099599,0.055026
1,float,uniform,GPU,"D | D",384,9,0.0256,0,0.024144,0.016384,0.127718,0.066128
1,float,uniform,GPU,"D | D",384,10,0.019456,0,0.022156,0.012288,0.100411,0.0539
1,float,uniform,GPU,"D | D",384,11,0.022528,0,0.021926,0.013312,0.103772,0.057766
1,float,uniform,GPU,"D | D",384,12,0.018432,0,0.021999,0.011264,0.099254,0.051695
1,float,uniform,GPU,"D | D",384,13,0.019456,0,0.021652,0.011264,0.098661,0.052372
1,float,uniform,GPU,"D | D",384,14,0.018432,0,0.02187,0.012288,0.098524,0.05259
1,float,uniform,GPU,"D | D",384,15,0.018432,0,0.021357,0.011264,0.098616,0.051053
1,float,uniform,GPU,"D | D",384,16,0.018432,0,0.021339,0.012288,0.098347,0.052059
1,float,uniform,GPU,"D | D",384,17,0.019456,0,0.021737,0.011264,0.101207,0.052457
1,float,uniform,GPU,"D | D",384,18,0.019456,0,0.021824,0.011264,0.100237,0.052544
1,float,uniform,GPU,"D | D",384,19,0.024576,0,0.022265,0.012288,0.104735,0.059129
1,float,uniform,GPU,"D | D",448,0,0.031744,0,0.034831,0.019456,0.138751,0.086031
1,float,uniform,GPU,"D | D",448,1,0.022528,0,0.034282,0.013312,0.118999,0.070122
1,float,uniform,GPU,"D | D",448,2,0.02048,0,0.026042,0.013312,0.107325,0.059834
1,float,uniform,GPU,"D | D",448,3,0.02048,0,0.025905,0.012288,0.104633,0.058673
1,float,uniform,GPU,"D | D",448,4,0.019456,0,0.025687,0.011264,0.104355,0.056407
1,float,uniform,GPU,"D | D",448,5,0.02048,0,0.025402,0.012288,0.104452,0.05817
1,float,uniform,GPU,"D | D",448,6,0.019456,0,0.026012,0.011264,0.103461,0.056732
1,float,uniform,GPU,"D | D",448,7,0.019456,0,0.025472,0.012288,0.103178,0.057216
1,float,uniform,GPU,"D | D",448,8,0.018432,0,0.02739,0.012288,0.114048,0.05811
1,float,uniform,GPU,"D | D",448,9,0.019456,0,0.025638,0.013312,0.104194,0.058406
1,float,uniform,GPU,"D | D",448,10,0.02048,0,0.025407,0.012288,0.103429,0.058175
1,float,uniform,GPU,"D | D",448,11,0.019456,0,0.025788,0.012288,0.103513,0.057532
1,float,uniform,GPU,"D | D",448,12,0.018432,0,0.025317,0.013312,0.103166,0.057061
1,float,uniform,GPU,"D | D",448,13,0.019456,0,0.025881,0.012288,0.104066,0.057625
1,float,uniform,GPU,"D | D",448,14,0.019456,0,0.025528,0.013312,0.103854,0.058296
1,float,uniform,GPU,"D | D",448,15,0.02048,0,0.025333,0.012288,0.104332,0.058101
1,float,uniform,GPU,"D | D",448,16,0.019456,0,0.025573,0.011264,0.104213,0.056293
1,float,uniform,GPU,"D | D",448,17,0.019456,0,0.025348,0.012288,0.10271,0.057092
1,float,uniform,GPU,"D | D",448,18,0.018432,0,0.025939,0.013312,0.103631,0.057683
1,float,uniform,GPU,"D | D",448,19,0.018432,0,0.025905,0.012288,0.104577,0.056625
1,float,uniform,GPU,"D | D",512,0,0.031744,0,0.034266,0.022528,0.141646,0.088538
1,float,uniform,GPU,"D | D",512,1,0.02048,0,0.026038,0.014336,0.110932,0.060854
1,float,uniform,GPU,"D | D",512,2,0.019456,0,0.024871,0.013312,0.104499,0.057639
1,float,uniform,GPU,"D | D",512,3,0.018432,0,0.024494,0.012288,0.102895,0.055214
1,float,uniform,GPU,"D | D",512,4,0.019456,0,0.023949,0.012288,0.102441,0.055693
1,float,uniform,GPU,"D | D",512,5,0.019456,0,0.024446,0.011264,0.102275,0.055166
1,float,uniform,GPU,"D | D",512,6,0.019456,0,0.024659,0.013312,0.102773,0.057427
