dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",64,0,0.706272,0,0.064211,8.12749,11.5902,8.89797
1,float,uniform,CPU,"P | P",128,5,0.026048,0,0.019645,0.02048,0.128534,0.066173
1,float,uniform,CPU,"P | P",128,6,0.026656,0,0.024389,0.022528,0.135554,0.073573
1,float,uniform,CPU,"P | P",128,7,0.026784,0,0.018898,0.021504,0.128593,0.067186
1,float,uniform,CPU,"P | P",128,8,0.026144,0,0.01951,0.022528,0.129428,0.068182
1,float,uniform,CPU,"P | P",128,9,0.028928,0,0.018945,0.021504,0.131937,0.069377
1,float,uniform,CPU,"P | P",128,10,0.025696,0,0.019762,0.02048,0.129675,0.065938
1,float,uniform,CPU,"P | P",128,11,0.02672,0,0.019341,0.021504,0.129209,0.067565
1,float,uniform,CPU,"P | P",128,12,0.02752,0,0.019565,0.021504,0.129958,0.068589
1,float,uniform,CPU,"P | P",128,13,0.026656,0,0.019261,0.021504,0.134581,0.067421
1,float,uniform,CPU,"P | P",128,14,0.02672,0,0.019552,0.0256,0.132287,0.071872
1,float,uniform,CPU,"P | P",128,15,0.026528,0,0.018845,0.021504,0.128639,0.066877
1,float,uniform,CPU,"P | P",128,16,0.0256,0,0.019976,0.02048,0.128546,0.066056
1,float,uniform,CPU,"P | P",128,17,0.026848,0,0.019273,0.021504,0.127996,0.067625
1,float,uniform,CPU,"P | P",128,18,0.026624,0,0.019626,0.02048,0.128951,0.06673
1,float,uniform,CPU,"P | P",128,19,0.0256,0,0.018899,0.026624,0.133239,0.071123
1,float,uniform,CPU,"P | P",192,0,0.034784,0,0.025971,0.034816,0.168438,0.095571
1,float,uniform,CPU,"P | P",192,1,0.029952,0,0.020641,0.026624,0.139704,0.077217
1,float,uniform,CPU,"P | P",192,2,0.027904,0,0.020635,0.023552,0.135436,0.072091
1,float,uniform,CPU,"P | P",192,3,0.031488,0,0.020773,0.02352,0.137381,0.075781
1,float,uniform,CPU,"P | P",192,4,0.02976,0,0.020474,0.023552,0.137725,0.073786
1,float,uniform,CPU,"P | P",192,5,0.026048,0,0.021769,0.022528,0.132297,0.070345
1,float,uniform,CPU,"P | P",192,6,0.02704,0,0.02053,0.021504,0.13094,0.069074
1,float,uniform,CPU,"P | P",192,7,0.026624,0,0.020047,0.022528,0.130937,0.069199
1,float,uniform,CPU,"P | P",192,8,0.027392,0,0.020488,0.022528,0.141163,0.070408
1,float,uniform,CPU,"P | P",192,9,0.026624,0,0.020562,0.026624,0.133372,0.07381
1,float,uniform,CPU,"P | P",192,10,0.026944,0,0.020111,0.022528,0.130864,0.069583
1,float,uniform,CPU,"P | P",192,11,0.026944,0,0.020531,0.022528,0.130385,0.070003
1,float,uniform,CPU,"P | P",192,12,0.026656,0,0.020437,0.02048,0.13021,0.067573
1,float,uniform,CPU,"P | P",192,13,0.026784,0,0.020015,0.022528,0.13049,0.069327
1,float,uniform,CPU,"P | P",192,14,0.026848,0,0.020623,0.024576,0.133794,0.072047
1,float,uniform,CPU,"P | P",192,15,0.02592,0,0.020048,0.021504,0.129455,0.067472
1,float,uniform,CPU,"P | P",192,16,0.026944,0,0.112622,0.022528,0.227973,0.162094
1,float,uniform,CPU,"P | P",192,17,0.026752,0,0.020869,0.022528,0.130321,0.070149
1,float,uniform,CPU,"P | P",192,18,0.026528,0,0.019698,0.021504,0.130114,0.06773
1,float,uniform,CPU,"P | P",192,19,0.025984,0,0.02009,0.022528,0.130601,0.068602
1,float,uniform,CPU,"P | P",256,0,0.039072,0,0.026752,0.04608,0.200776,0.111904
1,float,uniform,CPU,"P | P",256,1,0.029504,0,0.020544,0.045056,0.15828,0.095104
1,float,uniform,CPU,"P | P",256,2,0.028864,0,0.019689,0.024576,0.134143,0.073129
1,float,uniform,CPU,"P | P",256,3,0.0264,0,0.019302,0.021504,0.129737,0.067206
1,float,uniform,CPU,"P | P",256,4,0.026656,0,0.01965,0.024576,0.131005,0.070882
1,float,uniform,CPU,"P | P",256,5,0.02688,0,0.019978,0.022528,0.130583,0.069386
1,float,uniform,CPU,"P | P",256,6,0.02656,0,0.020409,0.022528,0.13357,0.069497
1,float,uniform,CPU,"P | P",256,7,0.026528,0,0.019411,0.022528,0.130956,0.068467
1,float,uniform,CPU,"P | P",256,8,0.026624,0,0.019412,0.021504,0.129893,0.06754
1,float,uniform,CPU,"P | P",256,9,0.026976,0,0.0191,0.028672,0.135054,0.074748
1,float,uniform,CPU,"P | P",256,10,0.027328,0,0.019459,0.021504,0.129812,0.068291
1,float,uniform,CPU,"P | P",256,11,0.025248,0,0.019572,0.022528,0.128861,0.067348
1,float,uniform,CPU,"P | P",256,12,0.027936,0,0.019435,0.022528,0.1315,0.069899
1,float,uniform,CPU,"P | P",256,13,0.02736,0,0.019288,0.024576,0.130026,0.071224
1,float,uniform,CPU,"P | P",256,14,0.026272,0,0.020061,0.021504,0.129465,0.067837
1,float,uniform,CPU,"P | P",256,15,0.027968,0,0.019711,0.021504,0.130124,0.069183
1,float,uniform,CPU,"P | P",256,16,0.026176,0,0.019343,0.021504,0.134302,0.067023
1,float,uniform,CPU,"P | P",256,17,0.025632,0,0.019399,0.021504,0.128671,0.066535
1,float,uniform,CPU,"P | P",256,18,0.02688,0,0.019341,0.021504,0.128392,0.067725
1,float,uniform,CPU,"P | P",256,19,0.026176,0,0.01968,0.023552,0.130526,0.069408
1,float,uniform,CPU,"P | P",320,0,0.033312,0,0.026203,0.033792,0.163963,0.093307
1,float,uniform,CPU,"P | P",320,1,0.029632,0,0.021076,0.0256,0.139563,0.076308
1,float,uniform,CPU,"P | P",320,2,0.02704,0,0.020702,0.023552,0.132718,0.071294
1,float,uniform,CPU,"P | P",320,3,0.02704,0,0.020319,0.021504,0.13275,0.068863
1,float,uniform,CPU,"P | P",320,4,0.026752,0,0.021348,0.023552,0.132694,0.071652
1,float,uniform,CPU,"P | P",320,5,0.02736,0,0.020023,0.022528,0.13178,0.069911
1,float,uniform,CPU,"P | P",320,6,0.026848,0,0.020306,0.023552,0.131568,0.070706
1,float,uniform,CPU,"P | P",320,7,0.02656,0,0.020088,0.02352,0.129745,0.070168
1,float,uniform,CPU,"P | P",320,8,0.025888,0,0.020058,0.022528,0.129987,0.068474
1,float,uniform,CPU,"P | P",320,9,0.0264,0,0.020411,0.023552,0.130848,0.070363
1,float,uniform,CPU,"P | P",320,10,0.1272,0,0.020806,0.021504,0.230361,0.16951
1,float,uniform,CPU,"P | P",320,11,0.026208,0,0.020962,0.022528,0.134377,0.069698
1,float,uniform,CPU,"P | P",320,12,0.02624,0,0.020691,0.021504,0.133648,0.068435
1,float,uniform,CPU,"P | P",320,13,0.026624,0,0.020551,0.02048,0.129791,0.067655
1,float,uniform,CPU,"P | P",320,14,0.028352,0,0.02031,0.023552,0.131548,0.072214
1,float,uniform,CPU,"P | P",320,15,0.027264,0,0.020512,0.022528,0.130787,0.070304
1,float,uniform,CPU,"P | P",320,16,0.028064,0,0.020646,0.02048,0.133659,0.06919
1,float,uniform,CPU,"P | P",320,17,0.02688,0,0.019932,0.022528,0.130162,0.06934
1,float,uniform,CPU,"P | P",320,18,0.026144,0,0.020585,0.023552,0.130535,0.070281
1,float,uniform,CPU,"P | P",320,19,0.033248,0,0.020295,0.021504,0.137384,0.075047
1,float,uniform,CPU,"P | P",384,0,0.035552,0,0.027901,0.034816,0.173147,0.098269
1,float,uniform,CPU,"P | P",384,1,0.029376,0,0.021626,0.026624,0.140341,0.077626
1,float,uniform,CPU,"P | P",384,2,0.030112,0,0.021106,0.023552,0.136966,0.07477
1,float,uniform,CPU,"P | P",384,3,0.027232,0,0.020848,0.023552,0.132665,0.071632
1,float,uniform,CPU,"P | P",384,4,0.027712,0,0.02093,0.022528,0.13141,0.07117
1,float,uniform,CPU,"P | P",384,5,0.027168,0,0.021489,0.022528,0.133035,0.071185
1,float,uniform,CPU,"P | P",384,6,0.027456,0,0.021073,0.022528,0.132182,0.071057
1,float,uniform,CPU,"P | P",384,7,0.027488,0,0.020866,0.023552,0.13266,0.071906
1,float,uniform,CPU,"P | P",384,8,0.02752,0,0.020983,0.022528,0.131213,0.071031
1,float,uniform,CPU,"P | P",384,9,0.026976,0,0.020767,0.022528,0.13193,0.070271
1,float,uniform,CPU,"P | P",384,10,0.027616,0,0.02091,0.022528,0.131551,0.071054
1,float,uniform,CPU,"P | P",384,11,0.027712,0,0.020416,0.021504,0.134011,0.069632
1,float,uniform,CPU,"P | P",384,12,0.025984,0,0.021615,0.021504,0.13082,0.069103
1,float,uniform,CPU,"P | P",384,13,0.027744,0,0.020675,0.022528,0.130785,0.070947
1,float,uniform,CPU,"P | P",384,14,0.027456,0,0.021501,0.021504,0.131178,0.070461
1,float,uniform,CPU,"P | P",384,15,0.031456,0,0.020491,0.021504,0.135253,0.073451
1,float,uniform,CPU,"P | P",384,16,0.027744,0,0.021832,0.021504,0.131548,0.07108
1,float,uniform,CPU,"P | P",384,17,0.027392,0,0.021183,0.02048,0.131144,0.069055
1,float,uniform,CPU,"P | P",384,18,0.026976,0,0.02145,0.022528,0.130666,0.070954
1,float,uniform,CPU,"P | P",384,19,0.026976,0,0.021362,0.022528,0.131547,0.070866
1,float,uniform,CPU,"P | P",448,0,0.035232,0,0.027646,0.03584,0.173372,0.098718
1,float,uniform,CPU,"P | P",448,1,0.028192,0,0.02178,0.0256,0.13879,0.075572
1,float,uniform,CPU,"P | P",448,2,0.028192,0,0.021348,0.023552,0.13432,0.073092
1,float,uniform,CPU,"P | P",448,3,0.026976,0,0.021433,0.022528,0.136036,0.070937
1,float,uniform,CPU,"P | P",448,4,0.028256,0,0.020293,0.022528,0.132718,0.071077
1,float,uniform,CPU,"P | P",448,5,0.028512,0,0.020375,0.023552,0.131822,0.072439
1,float,uniform,CPU,"P | P",448,6,0.027648,0,0.020306,0.022528,0.1309,0.070482
1,float,uniform,CPU,"P | P",448,7,0.026816,0,0.021159,0.022528,0.13115,0.070503
1,float,uniform,CPU,"P | P",448,8,0.027456,0,0.020669,0.023552,0.131034,0.071677
1,float,uniform,CPU,"P | P",448,9,0.027328,0,0.020867,0.021504,0.129616,0.069699
1,float,uniform,CPU,"P | P",448,10,0.02672,0,0.021428,0.021504,0.137823,0.069652
1,float,uniform,CPU,"P | P",448,11,0.02656,0,0.0205,0.022528,0.131082,0.069588
1,float,uniform,CPU,"P | P",448,12,0.026688,0,0.020423,0.027648,0.136353,0.074759
1,float,uniform,CPU,"P | P",448,13,0.027872,0,0.020343,0.022528,0.131188,0.070743
1,float,uniform,CPU,"P | P",448,14,0.026176,0,0.020888,0.02048,0.131079,0.067544
1,float,uniform,CPU,"P | P",448,15,0.027008,0,0.020948,0.02048,0.130583,0.068436
1,float,uniform,CPU,"P | P",448,16,0.02672,0,0.021777,0.022528,0.138261,0.071025
1,float,uniform,CPU,"P | P",448,17,0.027584,0,0.021362,0.022528,0.223368,0.071474
1,float,uniform,CPU,"P | P",448,18,0.027488,0,0.020457,0.022528,0.132098,0.070473
1,float,uniform,CPU,"P | P",448,19,0.027744,0,0.020537,0.023552,0.132348,0.071833
1,float,uniform,CPU,"P | P",512,0,0.0392,0,0.027143,0.032768,0.17245,0.099111
1,float,uniform,CPU,"P | P",512,1,0.030752,0,0.021443,0.024576,0.141682,0.076771
1,float,uniform,CPU,"P | P",512,2,0.029088,0,0.02043,0.0256,0.136616,0.075118
1,float,uniform,CPU,"P | P",512,3,0.028672,0,0.020569,0.023552,0.133501,0.072793
1,float,uniform,CPU,"P | P",512,4,0.027808,0,0.020719,0.021504,0.13237,0.070031
1,float,uniform,CPU,"P | P",512,5,0.027616,0,0.020395,0.023552,0.133311,0.071563
1,float,uniform,CPU,"P | P",512,6,0.027456,0,0.020124,0.023552,0.133082,0.071132
1,float,uniform,CPU,"P | P",512,7,0.027584,0,0.020361,0.021504,0.133007,0.069449
1,float,uniform,CPU,"P | P",512,8,0.028,0,0.020311,0.021504,0.130413,0.069815
1,float,uniform,CPU,"P | P",512,9,0.026912,0,0.020033,0.022528,0.132031,0.069473
1,float,uniform,CPU,"P | P",512,10,0.02928,0,0.020053,0.022528,0.132924,0.071861
1,float,uniform,CPU,"P | P",512,11,0.028224,0,0.026059,0.021504,0.138368,0.075787
1,float,uniform,CPU,"P | P",512,12,0.028576,0,0.020365,0.021504,0.131965,0.070445
1,float,uniform,CPU,"P | P",512,13,0.02688,0,0.019797,0.022528,0.131132,0.069205
1,float,uniform,CPU,"P | P",512,14,0.02672,0,0.020119,0.023552,0.130114,0.070391
1,float,uniform,CPU,"P | P",512,15,0.032544,0,0.020421,0.021504,0.135741,0.074469
1,float,uniform,CPU,"P | P",512,16,0.027904,0,0.020185,0.023552,0.133097,0.071641
1,float,uniform,CPU,"P | P",512,17,0.027584,0,0.020265,0.023552,0.132059,0.071401
1,float,uniform,CPU,"P | P",512,18,0.027104,0,0.0207,0.021504,0.131966,0.069308
1,float,uniform,CPU,"P | P",512,19,0.026976,0,0.020076,0.021504,0.219538,0.068556
