dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"P | P | P | P",256,19,0.173792,0,0.02799,0.023776,0.284974,0.225558
2,float,uniform,CPU,"P | P | P | P",320,0,0.25952,0,0.039777,0.037888,0.408653,0.337185
2,float,uniform,CPU,"P | P | P | P",320,1,0.258848,0,0.033128,0.028192,0.383569,0.320168
2,float,uniform,CPU,"P | P | P | P",320,2,0.247584,0,0.032087,0.025408,0.367187,0.305079
2,float,uniform,CPU,"P | P | P | P",320,3,0.245568,0,0.032188,0.025984,0.365203,0.30374
2,float,uniform,CPU,"P | P | P | P",320,4,0.246176,0,0.032119,0.024864,0.365044,0.303159
2,float,uniform,CPU,"P | P | P | P",320,5,0.246304,0,0.032421,0.024544,0.364518,0.303269
2,float,uniform,CPU,"P | P | P | P",320,6,0.244192,0,0.031596,0.025632,0.362428,0.30142
2,float,uniform,CPU,"P | P | P | P",320,7,0.244864,0,0.032486,0.024832,0.362199,0.302182
2,float,uniform,CPU,"P | P | P | P",320,8,0.244608,0,0.032307,0.025536,0.364104,0.302451
2,float,uniform,CPU,"P | P | P | P",320,9,0.244416,0,0.031396,0.024832,0.362042,0.300644
2,float,uniform,CPU,"P | P | P | P",320,10,0.244896,0,0.031886,0.025312,0.363659,0.302094
2,float,uniform,CPU,"P | P | P | P",320,11,0.244032,0,0.031645,0.0248,0.361284,0.300477
2,float,uniform,CPU,"P | P | P | P",320,12,0.251808,0,0.031727,0.025696,0.370674,0.309231
2,float,uniform,CPU,"P | P | P | P",320,13,0.246496,0,0.032024,0.024608,0.365186,0.303128
2,float,uniform,CPU,"P | P | P | P",320,14,0.250816,0,0.031697,0.024096,0.369915,0.306609
2,float,uniform,CPU,"P | P | P | P",320,15,0.24912,0,0.031643,0.023552,0.366311,0.304315
2,float,uniform,CPU,"P | P | P | P",320,16,0.25088,0,0.032113,0.024032,0.369629,0.307025
2,float,uniform,CPU,"P | P | P | P",320,17,0.253632,0,0.032363,0.024832,0.372151,0.310827
2,float,uniform,CPU,"P | P | P | P",320,18,0.252576,0,0.031853,0.023456,0.370684,0.307885
2,float,uniform,CPU,"P | P | P | P",320,19,0.25184,0,0.031849,0.025216,0.369714,0.308905
2,float,uniform,CPU,"P | P | P | P",384,0,0.35312,0,0.045044,0.036448,0.508539,0.434612
2,float,uniform,CPU,"P | P | P | P",384,1,0.367968,0,0.037023,0.029568,0.498533,0.434559
2,float,uniform,CPU,"P | P | P | P",384,2,0.35104,0,0.0358,0.028416,0.570692,0.415256
2,float,uniform,CPU,"P | P | P | P",384,3,0.449312,0,0.035032,0.026688,0.572554,0.511032
2,float,uniform,CPU,"P | P | P | P",384,4,0.46352,0,0.035375,0.026016,0.586819,0.524911
2,float,uniform,CPU,"P | P | P | P",384,5,0.348736,0,0.035705,0.025856,0.471996,0.410297
2,float,uniform,CPU,"P | P | P | P",384,6,0.346976,0,0.036184,0.026144,0.470237,0.409304
2,float,uniform,CPU,"P | P | P | P",384,7,0.349408,0,0.035524,0.027008,0.473964,0.41194
2,float,uniform,CPU,"P | P | P | P",384,8,0.349184,0,0.034926,0.026208,0.473027,0.410318
2,float,uniform,CPU,"P | P | P | P",384,9,0.34928,0,0.035266,0.02496,0.472472,0.409506
2,float,uniform,CPU,"P | P | P | P",384,10,0.349088,0,0.03522,0.027008,0.472771,0.411316
2,float,uniform,CPU,"P | P | P | P",384,11,0.34848,0,0.034643,0.026528,0.472652,0.409651
2,float,uniform,CPU,"P | P | P | P",384,12,0.348832,0,0.034866,0.025216,0.471199,0.408914
2,float,uniform,CPU,"P | P | P | P",384,13,0.348928,0,0.034793,0.026624,0.471904,0.410345
2,float,uniform,CPU,"P | P | P | P",384,14,0.34592,0,0.035681,0.025312,0.469696,0.406913
2,float,uniform,CPU,"P | P | P | P",384,15,0.348064,0,0.035442,0.0256,0.472047,0.409106
2,float,uniform,CPU,"P | P | P | P",384,16,0.347328,0,0.035345,0.025408,0.470767,0.408081
2,float,uniform,CPU,"P | P | P | P",384,17,0.34864,0,0.035398,0.025408,0.471051,0.409446
2,float,uniform,CPU,"P | P | P | P",384,18,0.347392,0,0.035587,0.026816,0.470266,0.409795
2,float,uniform,CPU,"P | P | P | P",384,19,0.349696,0,0.034902,0.02752,0.47354,0.412118
2,float,uniform,CPU,"P | P | P | P",448,0,0.470272,0,0.044966,0.042336,0.628506,0.557574
2,float,uniform,CPU,"P | P | P | P",448,1,0.4968,0,0.04147,0.03056,0.634259,0.56883
2,float,uniform,CPU,"P | P | P | P",448,2,0.467072,0,0.03895,0.028032,0.59848,0.534054
2,float,uniform,CPU,"P | P | P | P",448,3,0.478048,0,0.039817,0.033696,0.635884,0.551561
