dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"P | P | P | P",448,10,0.746016,0,0.052065,0.028736,0.892628,0.826817
2,double,uniform,CPU,"P | P | P | P",448,11,0.751296,0,0.052816,0.032736,0.901756,0.836848
2,double,uniform,CPU,"P | P | P | P",448,12,0.744192,0,0.051733,0.030976,0.891666,0.826901
2,double,uniform,CPU,"P | P | P | P",448,13,0.739488,0,0.052775,0.029728,0.885486,0.821991
2,double,uniform,CPU,"P | P | P | P",448,14,0.743808,0,0.051702,0.028864,0.88938,0.824374
2,double,uniform,CPU,"P | P | P | P",448,15,0.752064,0,0.062679,0.027648,0.908285,0.842391
2,double,uniform,CPU,"P | P | P | P",448,16,0.74864,0,0.052166,0.029376,0.893897,0.830182
2,double,uniform,CPU,"P | P | P | P",448,17,0.736544,0,0.153439,0.031616,0.987012,0.921599
2,double,uniform,CPU,"P | P | P | P",448,18,0.740608,0,0.052077,0.029312,0.887293,0.821997
2,double,uniform,CPU,"P | P | P | P",448,19,0.739968,0,0.051969,0.02864,0.885245,0.820577
2,double,uniform,CPU,"P | P | P | P",512,0,1.03501,0,0.064443,0.044928,1.22333,1.14438
2,double,uniform,CPU,"P | P | P | P",512,1,1.0137,0,0.05965,0.036416,1.17915,1.10976
2,double,uniform,CPU,"P | P | P | P",512,2,1.01258,0,0.057846,0.032416,1.1684,1.10284
2,double,uniform,CPU,"P | P | P | P",512,3,1.00691,0,0.057185,0.03184,1.16132,1.09594
2,double,uniform,CPU,"P | P | P | P",512,4,1.00547,0,0.057392,0.033408,1.17306,1.09627
2,double,uniform,CPU,"P | P | P | P",512,5,1.01734,0,0.057095,0.033856,1.17348,1.1083
2,double,uniform,CPU,"P | P | P | P",512,6,1.01901,0,0.057368,0.034144,1.1768,1.11052
2,double,uniform,CPU,"P | P | P | P",512,7,1.15923,0,0.057323,0.03248,1.31525,1.24904
2,double,uniform,CPU,"P | P | P | P",512,8,1.1097,0,0.056551,0.032128,1.26311,1.19837
