dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,17,55.0542,0.003056,5.2589,1.91181,62.317,62.228
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,18,54.1955,0.003119,5.26852,1.91488,61.4673,61.382
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,19,53.8153,0.003065,5.2623,1.9159,61.0836,60.9966
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,0,93.1035,0.002967,9.53856,3.31366,106.05,105.959
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,1,93.3327,0.002969,9.51415,3.30854,106.249,106.158
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,2,93.1541,0.003267,9.51742,3.3239,106.089,105.999
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,3,92.6244,0.003042,9.51273,3.31571,105.544,105.456
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,4,92.7351,0.002923,9.51774,3.31264,105.655,105.568
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,5,92.5406,0.003322,9.51568,3.30342,105.456,105.363
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,6,92.2421,0.002857,9.51207,3.30342,105.148,105.06
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,7,92.3745,0.002893,9.51981,3.30854,105.294,105.206
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,8,93.0251,0.003001,9.52157,3.31059,105.95,105.86
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,9,93.1029,0.003374,9.51298,3.30752,106.024,105.927
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,10,93.2966,0.003296,9.52287,3.3065,106.219,106.129
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,11,92.9652,0.002964,9.518,3.30854,105.892,105.795
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,12,93.2941,0.002955,9.52118,3.3024,106.213,106.121
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,13,94.1309,0.002956,9.51811,3.30342,107.047,106.955
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,14,94.2012,0.002995,9.51424,3.31571,107.122,107.034
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,15,93.9739,0.003088,9.51159,3.2983,106.876,106.787
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,16,94.1842,0.002915,9.51599,3.31366,107.102,107.017
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,17,93.9526,0.00333,9.51887,3.30957,106.872,106.784
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,18,92.5924,0.003103,9.51243,3.31674,105.515,105.425
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,19,93.9522,0.003018,9.51686,3.31264,106.876,106.785
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,0,146.485,0.0028,15.0771,5.39136,167.049,166.957
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,1,145.84,0.002821,14.3609,5.38931,165.682,165.593
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,2,147.163,0.002845,14.3609,5.38624,167.004,166.913
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,3,147.6,0.002822,14.1167,5.3801,167.192,167.1
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,4,147.856,0.002842,14.1253,5.36166,167.434,167.346
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,5,146.569,0.00281,14.1084,5.3801,166.146,166.06
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,6,147.277,0.002846,14.1065,5.36986,166.848,166.757
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,7,147.458,0.002871,14.1286,5.36986,167.045,166.96
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,8,145.904,0.002841,14.1309,5.376,165.498,165.414
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,9,146.358,0.002794,14.1351,5.38214,165.967,165.878
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,10,146.88,0.003071,14.1182,5.38624,166.474,166.388
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,11,147.779,0.002808,14.1207,5.37907,167.37,167.282
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,12,147.624,0.002789,14.133,5.38112,167.234,167.141
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,13,146.063,0.002745,14.1185,5.38317,165.655,165.567
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,14,146.808,0.002853,14.1094,5.3801,166.386,166.3
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,15,146.48,0.002838,14.1272,5.36986,166.069,165.98
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,16,147.944,0.002847,14.1353,5.39238,167.564,167.475
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,17,146.286,0.002772,14.126,5.38214,165.885,165.797
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,18,148.4,0.00294,14.1121,5.376,167.98,167.891
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,19,146.779,0.002811,14.1267,5.376,166.371,166.284
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,0,220.006,0.00289,25.6823,7.55814,253.337,253.25
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,1,219.281,0.002892,25.7601,7.57146,252.703,252.616
