dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,7,0.62992,0,0.055659,0.01536,0.753829,0.700939
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,8,0.736544,0,0.055116,0.01536,0.860329,0.80702
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,9,0.722272,0,0.05571,0.01536,0.847301,0.793342
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,10,0.755872,0,0.055874,0.014336,0.880299,0.826082
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,11,0.62288,0,0.055351,0.01536,0.776352,0.693591
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,12,0.618528,0,0.055837,0.01536,0.743303,0.689725
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,13,0.61808,0,0.055748,0.01536,0.74254,0.689188
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,14,0.62512,0,0.05528,0.014336,0.749318,0.694736
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,15,0.630176,0,0.05647,0.01536,0.756586,0.702006
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,16,0.632032,0,0.055729,0.014336,0.757304,0.702097
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,17,0.617952,0,0.055331,0.016384,0.742321,0.689667
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,18,0.622752,0,0.056113,0.01536,0.747571,0.694225
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,19,0.618112,0,0.055571,0.01536,0.746757,0.689043
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,0,0.756544,0,0.074264,0.019456,0.914562,0.850264
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,1,0.762016,0,0.066004,0.017408,0.901356,0.845428
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,2,0.87088,0,0.063248,0.016384,1.00354,0.950512
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,3,0.856608,0,0.061942,0.01536,0.988943,0.93391
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,4,0.756768,0,0.063053,0.024576,0.898459,0.844397
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,5,0.756864,0,0.061803,0.01536,0.887975,0.834027
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,6,0.755584,0,0.062037,0.016384,0.946027,0.834005
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,7,0.76304,0,0.062362,0.01536,0.89532,0.840762
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,8,0.76384,0,0.062024,0.01536,0.894331,0.841224
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,9,0.762304,0,0.061394,0.016384,0.894368,0.840082
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,10,0.76224,0,0.061712,0.016384,0.893862,0.840336
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,11,0.764768,0,0.062206,0.016384,0.896346,0.843358
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,12,0.765728,0,0.061201,0.01536,0.896833,0.842289
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,13,0.842016,0,0.061165,0.01536,0.972744,0.918541
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,14,0.762496,0,0.060861,0.01536,0.893212,0.838717
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,15,0.761216,0,0.061563,0.016384,0.892674,0.839163
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,16,0.76512,0,0.062047,0.017408,0.898234,0.844575
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,17,0.75952,0,0.060916,0.01536,0.889399,0.835796
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,18,0.76464,0,0.061661,0.01536,0.894434,0.841661
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",448,19,0.755072,0,0.061438,0.016384,0.885978,0.832894
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,0,1.00419,0,0.082827,0.023552,1.1754,1.11057
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,1,0.988768,0,0.073218,0.018432,1.1377,1.08042
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,2,0.978656,0,0.071249,0.017408,1.12201,1.06731
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,3,0.98304,0,0.076932,0.018432,1.13308,1.0784
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,4,0.981856,0,0.069705,0.017408,1.12349,1.06897
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,5,0.989408,0,0.069633,0.016384,1.13057,1.07543
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,6,1.0855,0,0.070186,0.017408,1.22729,1.1731
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,7,0.990336,0,0.068965,0.017408,1.13208,1.07671
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,8,0.987808,0,0.068524,0.017408,1.13133,1.07374
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,9,0.991072,0,0.070087,0.017408,1.13194,1.07857
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,10,0.974528,0,0.069718,0.017408,1.11459,1.06165
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,11,0.973536,0,0.069713,0.016384,1.11478,1.05963
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,12,1.04032,0,0.068835,0.016384,1.17972,1.12554
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,13,1.08624,0,0.068208,0.017408,1.22527,1.17186
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,14,1.07229,0,0.070112,0.017408,1.21386,1.15981
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,15,0.9744,0,0.069309,0.016384,1.1202,1.06009
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,16,0.973536,0,0.072386,0.017408,1.11776,1.06333
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,17,0.983744,0,0.069324,0.016384,1.12403,1.06945
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,18,0.9792,0,0.068051,0.016384,1.11861,1.06363
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",512,19,0.986688,0,0.069041,0.016384,1.12609,1.07211
