dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",256,5,0.36544,0,3.55585,0.487424,4.53812,4.40871
3,float,uniform,GPU,"D | D | D | D | D | D",256,6,0.363392,0,3.54869,0.490496,4.53315,4.40257
3,float,uniform,GPU,"D | D | D | D | D | D",256,7,0.36656,0,3.55871,0.493568,4.54507,4.41884
3,float,uniform,GPU,"D | D | D | D | D | D",256,8,0.361792,0,3.55722,0.495616,4.54389,4.41463
3,float,uniform,GPU,"D | D | D | D | D | D",256,9,0.359008,0,3.5511,0.487424,4.52035,4.39753
3,float,uniform,GPU,"D | D | D | D | D | D",256,10,0.36352,0,3.55058,0.494592,4.53302,4.40869
3,float,uniform,GPU,"D | D | D | D | D | D",256,11,0.363584,0,3.55648,0.49152,4.54137,4.41159
3,float,uniform,GPU,"D | D | D | D | D | D",256,12,0.362048,0,3.55373,0.490496,4.52933,4.40627
3,float,uniform,GPU,"D | D | D | D | D | D",256,13,0.365472,0,3.55812,0.490496,4.54341,4.41409
3,float,uniform,GPU,"D | D | D | D | D | D",256,14,0.362304,0,3.55331,0.497664,4.53986,4.41328
3,float,uniform,GPU,"D | D | D | D | D | D",256,15,0.36368,0,3.55692,0.490496,4.5415,4.4111
3,float,uniform,GPU,"D | D | D | D | D | D",256,16,0.359872,0,3.55424,0.49664,4.53595,4.41075
3,float,uniform,GPU,"D | D | D | D | D | D",256,17,0.361216,0,3.55281,0.49152,4.53481,4.40555
3,float,uniform,GPU,"D | D | D | D | D | D",256,18,0.359104,0,3.55237,0.4864,4.52383,4.39787
3,float,uniform,GPU,"D | D | D | D | D | D",256,19,0.362976,0,3.55596,0.49152,4.53571,4.41045
3,float,uniform,GPU,"D | D | D | D | D | D",320,0,0.69424,0,19.0676,0.902144,20.7882,20.664
3,float,uniform,GPU,"D | D | D | D | D | D",320,1,0.689792,0,19.0741,0.900096,20.7925,20.664
3,float,uniform,GPU,"D | D | D | D | D | D",320,2,0.69312,0,19.0699,0.892928,20.7836,20.656
3,float,uniform,GPU,"D | D | D | D | D | D",320,3,0.690656,0,19.096,0.892928,20.8078,20.6796
3,float,uniform,GPU,"D | D | D | D | D | D",320,4,0.696224,0,19.1176,0.899072,20.84,20.7129
3,float,uniform,GPU,"D | D | D | D | D | D",320,5,0.69168,0,19.0681,0.904192,20.7907,20.664
3,float,uniform,GPU,"D | D | D | D | D | D",320,6,0.693312,0,19.0655,0.896,20.7846,20.6549
3,float,uniform,GPU,"D | D | D | D | D | D",320,7,0.69216,0,19.0681,0.896,20.7834,20.6563
3,float,uniform,GPU,"D | D | D | D | D | D",320,8,0.690336,0,19.0675,0.89088,20.7757,20.6487
3,float,uniform,GPU,"D | D | D | D | D | D",320,9,0.691808,0,19.0466,0.898048,20.7625,20.6364
3,float,uniform,GPU,"D | D | D | D | D | D",320,10,0.690624,0,19.0766,0.897024,20.7928,20.6642
3,float,uniform,GPU,"D | D | D | D | D | D",320,11,0.695072,0,19.0622,0.90112,20.7885,20.6584
3,float,uniform,GPU,"D | D | D | D | D | D",320,12,0.691072,0,19.1171,0.893952,20.8293,20.7021
3,float,uniform,GPU,"D | D | D | D | D | D",320,13,0.6912,0,19.0549,0.894976,20.7692,20.6411
3,float,uniform,GPU,"D | D | D | D | D | D",320,14,0.691296,0,19.1204,0.892928,20.8327,20.7046
3,float,uniform,GPU,"D | D | D | D | D | D",320,15,0.689984,0,19.0511,0.897024,20.769,20.6381
3,float,uniform,GPU,"D | D | D | D | D | D",320,16,0.692224,0,19.1237,0.892928,20.8347,20.7088
3,float,uniform,GPU,"D | D | D | D | D | D",320,17,0.690144,0,19.1329,0.896,20.8455,20.719
3,float,uniform,GPU,"D | D | D | D | D | D",320,18,0.69072,0,19.1164,0.893952,20.8295,20.7011
3,float,uniform,GPU,"D | D | D | D | D | D",320,19,0.690752,0,19.1032,0.897024,20.8177,20.691
3,float,uniform,GPU,"D | D | D | D | D | D",384,0,1.17766,0,8.84004,1.5616,11.7051,11.5793
3,float,uniform,GPU,"D | D | D | D | D | D",384,1,1.17645,0,8.82131,1.55341,11.6738,11.5512
3,float,uniform,GPU,"D | D | D | D | D | D",384,2,1.1785,0,8.82741,1.55955,11.6899,11.5655
3,float,uniform,GPU,"D | D | D | D | D | D",384,3,1.17702,0,8.82421,1.55955,11.6852,11.5608
3,float,uniform,GPU,"D | D | D | D | D | D",384,4,1.17805,0,8.82699,1.5657,11.6966,11.5707
