dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,0.106944,0.004094,0.355971,0.104448,0.709834,0.571457
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,0.107008,0.003946,0.362742,0.106496,0.714328,0.580192
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,0.107712,0.004114,0.351881,0.101376,0.693326,0.565083
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,0.106144,0.003978,0.353941,0.105472,0.703401,0.569535
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,0.106496,0.003963,0.354988,0.103424,0.70458,0.568871
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,0.314336,0.004263,1.15334,0.356352,1.96461,1.82829
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,0.3144,0.004037,1.10342,0.349184,1.92885,1.77104
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,0.313664,0.004711,1.10424,0.351232,1.91373,1.77385
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,0.313216,0.003923,1.1041,0.346112,1.90647,1.76735
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,0.312256,0.003927,1.10061,0.34816,1.90303,1.76495
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,0.312288,0.003658,1.107,0.349184,1.90702,1.77213
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,0.313312,0.004026,1.10504,0.34816,1.91096,1.77054
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,0.313152,0.004019,1.10249,0.351232,1.90943,1.7709
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,0.310304,0.004079,1.10058,0.350208,1.90646,1.76517
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,0.31328,0.00396,1.10903,0.350208,1.91358,1.77648
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,0.312192,0.003969,1.10413,0.351232,1.90881,1.77152
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,0.311168,0.003958,1.10759,0.351232,1.91118,1.77395
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,0.313312,0.004072,1.09875,0.350208,1.90279,1.76634
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,0.311232,0.003994,1.09987,0.356352,1.90961,1.77144
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,0.314784,0.003997,1.10361,0.349184,1.91155,1.77158
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,0.311136,0.004004,1.10514,0.350208,1.90847,1.77049
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,0.312256,0.003917,1.10346,0.350208,1.9067,1.76984
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,0.314336,0.003974,1.10394,0.350208,1.9088,1.77246
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,0.31104,0.003998,1.10084,0.34816,1.90278,1.76404
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,0.312736,0.004114,1.10718,0.350208,1.91323,1.77424
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,0,0.70288,0.003141,2.72788,0.789504,4.3573,4.2234
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,1,0.708512,0.002978,2.71031,0.784384,4.33415,4.20619
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,2,0.704256,0.002976,2.67656,0.785408,4.29699,4.1692
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,3,0.701664,0.003008,2.71237,0.78336,4.32731,4.2004
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,4,0.705312,0.002949,2.7229,0.78336,4.34119,4.21452
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,5,0.705792,0.00315,2.69133,0.784384,4.31306,4.18466
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,6,0.706208,0.002999,2.70979,0.784384,4.33133,4.20338
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,7,0.705568,0.003096,2.69389,0.780288,4.31196,4.18284
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,8,0.707072,0.002969,2.70816,0.78336,4.32851,4.20156
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,9,0.705056,0.003001,2.68733,0.782336,4.30613,4.17772
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,10,0.704896,0.002917,2.68985,0.78336,4.30942,4.18102
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,11,0.708864,0.002988,2.68876,0.784384,4.31267,4.185
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,12,0.708096,0.003057,2.72677,0.786432,4.35287,4.22436
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,13,0.704864,0.002954,2.69538,0.784384,4.3152,4.18758
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,14,0.702784,0.002955,2.69891,0.784384,4.31813,4.18903
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,15,0.7088,0.003086,2.70359,0.785408,4.32798,4.20089
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,16,0.704608,0.003127,2.69337,0.787456,4.31678,4.18856
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,17,0.707328,0.002967,2.69706,0.78336,4.3176,4.19071
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,18,0.704096,0.002986,2.69655,0.784384,4.31584,4.18801
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,19,0.70624,0.003288,2.71665,0.78848,4.34828,4.21465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,0,1.37062,0.003485,6.52421,1.51347,9.54094,9.41179
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,1,1.37011,0.002986,6.51505,1.51142,9.52849,9.39957
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,2,1.3673,0.002997,6.51091,1.51962,9.5298,9.40082
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,3,1.36762,0.0033,6.51747,1.51142,9.52867,9.39981
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,4,1.3713,0.003032,6.51543,1.51757,9.53578,9.40733
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,5,1.37046,0.002999,6.50569,1.51245,9.51937,9.39161
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,6,1.36234,0.003125,6.52059,1.52064,9.53793,9.40669
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,7,1.36973,0.003086,6.5075,1.51859,9.52838,9.39891
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,8,1.36816,0.002942,6.5135,1.51245,9.52584,9.39705
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,9,1.37238,0.002999,6.50606,1.51245,9.52244,9.39389
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,10,1.37059,0.002979,6.49208,1.51347,9.50901,9.37912
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,11,1.3703,0.002956,6.5047,1.52064,9.52606,9.3986
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,12,1.37018,0.003026,6.51747,1.51347,9.53281,9.40414
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,13,1.39069,0.003735,6.55499,1.51757,9.59735,9.46698
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,14,1.37011,0.00304,6.51612,1.5145,9.53358,9.40376
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,15,1.36416,0.00332,6.51341,1.51347,9.52325,9.39436
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,16,1.36806,0.003407,6.50747,1.52064,9.53062,9.39958
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,17,1.36586,0.003078,6.51183,1.5145,9.52548,9.39526
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,18,1.36944,0.003014,6.50403,1.51245,9.51643,9.38893
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,19,1.37005,0.003325,6.50898,1.5104,9.519,9.39275
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,0,2.43094,0.002859,11.6485,2.63373,16.8447,16.7161
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,1,2.41805,0.003287,11.6187,2.6368,16.8084,16.6768
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,2,2.42013,0.002807,11.6188,2.63987,16.8127,16.6817
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,3,2.42339,0.002823,11.6165,2.63475,16.8071,16.6774
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,4,2.4239,0.002769,11.6088,2.64294,16.805,16.6784
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,5,2.42326,0.002789,11.6166,2.6368,16.8082,16.6795
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,6,2.4217,0.002727,11.6337,2.64192,16.8295,16.7001
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,7,2.42256,0.002799,11.6119,2.64704,16.8121,16.6843
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,8,2.42163,0.002666,11.6222,2.63475,16.8099,16.6813
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,9,2.42659,0.002868,11.6127,2.63987,16.8096,16.682
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,10,2.42054,0.002812,11.6156,2.6368,16.8029,16.6757
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,11,2.42563,0.002759,11.6151,2.63987,16.8123,16.6834
