dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,2,1.87453,0.002781,15.6857,5.33402,23.0384,22.897
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,3,1.87309,0.002779,15.5293,5.33299,22.8795,22.7381
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,4,1.87699,0.002728,15.5821,5.33402,22.9365,22.7958
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,5,1.87472,0.002786,15.6876,5.33402,23.0394,22.8991
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,6,1.87235,0.002847,15.7666,5.33402,23.1177,22.9758
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,7,1.87571,0.002863,15.7992,5.33914,23.1589,23.0169
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,8,1.87402,0.002755,15.6155,5.34016,22.9727,22.8324
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,9,1.87418,0.002839,15.703,5.33197,23.0517,22.912
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,10,1.87158,0.002892,15.6848,5.30944,23.0108,22.8687
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,11,1.87453,0.002783,15.5801,5.33504,22.9344,22.7924
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,12,1.87488,0.002909,15.8089,5.3504,23.1767,23.0371
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,13,1.8761,0.002808,15.65,5.34938,23.0189,22.8783
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,14,1.87366,0.00322,15.7277,5.33811,23.0844,22.9427
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,15,1.87754,0.002832,15.636,5.34426,23.0004,22.8606
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,16,1.87299,0.002594,15.6966,5.33811,23.0536,22.9103
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,17,1.87443,0.003167,15.7711,5.33402,23.1267,22.9827
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,18,1.87622,0.003009,15.6947,5.33811,23.0564,22.9121
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,19,1.87664,0.002843,15.6044,5.33811,22.963,22.822
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,0,2.76234,0.002855,20.5492,7.48134,30.9334,30.7957
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,1,2.75229,0.002842,20.5961,7.47315,30.9631,30.8244
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,2,2.75693,0.002897,20.6652,7.48442,31.0479,30.9094
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,3,2.75571,0.002878,20.5837,7.49261,30.9735,30.8349
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,4,2.75654,0.003035,20.6462,7.48442,31.0295,30.8902
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,5,2.75418,0.002906,20.6351,7.4967,31.0286,30.8889
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,6,2.75632,0.002804,20.8186,7.48544,31.2009,31.0632
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,7,2.75542,0.002891,20.5278,7.48851,30.9131,30.7747
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,8,2.75734,0.003138,20.4117,7.4711,30.7797,30.6433
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,9,2.75923,0.003278,20.515,7.49978,30.9171,30.7773
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,10,2.75523,0.002916,20.4905,7.47622,30.868,30.7248
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,11,2.75795,0.002801,20.6707,7.47622,31.0436,30.9077
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,12,2.75565,0.002812,20.5926,7.47725,30.9669,30.8283
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,13,2.75562,0.002884,20.6748,7.51206,31.0844,30.9453
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,14,2.75722,0.002828,20.8706,7.49568,31.2651,31.1263
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,15,2.75526,0.002759,20.5807,7.47725,30.9557,30.816
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,16,2.75622,0.002828,20.7938,7.48339,31.1747,31.0362
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,17,2.75446,0.002804,20.5752,7.49056,30.963,30.823
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,18,2.75722,0.002832,20.3573,7.48646,30.743,30.6038
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",512,19,2.7559,0.002861,20.726,7.4793,31.1027,30.964
