dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",384,15,0.017696,0,0.035008,0.021504,0.175951,0.074208
2,float,uniform,GPU,"P | P | P | P",384,16,0.018432,0,0.034995,0.021504,0.176942,0.074931
2,float,uniform,GPU,"P | P | P | P",384,17,0.01872,0,0.034746,0.021504,0.177244,0.07497
2,float,uniform,GPU,"P | P | P | P",384,18,0.02,0,0.034664,0.022528,0.26779,0.077192
2,float,uniform,GPU,"P | P | P | P",384,19,0.017664,0,0.035001,0.021504,0.175819,0.074169
2,float,uniform,GPU,"P | P | P | P",448,0,0.024,0,0.044065,0.029696,0.226831,0.097761
2,float,uniform,GPU,"P | P | P | P",448,1,0.02272,0,0.03971,0.026624,0.208855,0.089054
2,float,uniform,GPU,"P | P | P | P",448,2,0.023872,0,0.039176,0.024576,0.206162,0.087624
2,float,uniform,GPU,"P | P | P | P",448,3,0.018976,0,0.038477,0.024576,0.200713,0.082029
2,float,uniform,GPU,"P | P | P | P",448,4,0.022368,0,0.038301,0.024576,0.203543,0.085245
2,float,uniform,GPU,"P | P | P | P",448,5,0.02384,0,0.038395,0.022528,0.202944,0.084763
2,float,uniform,GPU,"P | P | P | P",448,6,0.022272,0,0.038707,0.021504,0.203021,0.082483
2,float,uniform,GPU,"P | P | P | P",448,7,0.024032,0,0.038211,0.022528,0.204527,0.084771
2,float,uniform,GPU,"P | P | P | P",448,8,0.022944,0,0.038518,0.022528,0.203735,0.08399
2,float,uniform,GPU,"P | P | P | P",448,9,0.023264,0,0.038188,0.022528,0.203907,0.08398
2,float,uniform,GPU,"P | P | P | P",448,10,0.022944,0,0.038243,0.023552,0.203856,0.084739
2,float,uniform,GPU,"P | P | P | P",448,11,0.021216,0,0.038235,0.023552,0.202498,0.083003
2,float,uniform,GPU,"P | P | P | P",448,12,0.022432,0,0.038682,0.022528,0.202505,0.083642
2,float,uniform,GPU,"P | P | P | P",448,13,0.02336,0,0.038497,0.022528,0.203141,0.084385
2,float,uniform,GPU,"P | P | P | P",448,14,0.023296,0,0.03942,0.022528,0.203609,0.085244
2,float,uniform,GPU,"P | P | P | P",448,15,0.023392,0,0.038679,0.023552,0.205209,0.085623
2,float,uniform,GPU,"P | P | P | P",448,16,0.021888,0,0.038689,0.023552,0.203832,0.084129
2,float,uniform,GPU,"P | P | P | P",448,17,0.02368,0,0.037872,0.023552,0.203642,0.085104
2,float,uniform,GPU,"P | P | P | P",448,18,0.02176,0,0.040686,0.023552,0.20879,0.085998
2,float,uniform,GPU,"P | P | P | P",448,19,0.022336,0,0.038578,0.024576,0.207622,0.08549
2,float,uniform,GPU,"P | P | P | P",512,0,0.02144,0,0.044262,0.033792,0.241979,0.099494
2,float,uniform,GPU,"P | P | P | P",512,1,0.021376,0,0.038568,0.026624,0.226174,0.086568
2,float,uniform,GPU,"P | P | P | P",512,2,0.023328,0,0.038324,0.0256,0.235403,0.087252
2,float,uniform,GPU,"P | P | P | P",512,3,0.02368,0,0.037854,0.0256,0.225762,0.087134
2,float,uniform,GPU,"P | P | P | P",512,4,0.022528,0,0.038163,0.024576,0.223978,0.085267
2,float,uniform,GPU,"P | P | P | P",512,5,0.021824,0,0.038302,0.023552,0.225659,0.083678
2,float,uniform,GPU,"P | P | P | P",512,6,0.021952,0,0.037862,0.024576,0.224317,0.08439
2,float,uniform,GPU,"P | P | P | P",512,7,0.022592,0,0.038255,0.022528,0.223572,0.083375
2,float,uniform,GPU,"P | P | P | P",512,8,0.022464,0,0.037738,0.024576,0.223781,0.084778
2,float,uniform,GPU,"P | P | P | P",512,9,0.022656,0,0.037997,0.024576,0.223617,0.085229
2,float,uniform,GPU,"P | P | P | P",512,10,0.023008,0,0.038633,0.024576,0.234932,0.086217
2,float,uniform,GPU,"P | P | P | P",512,11,0.023648,0,0.155428,0.024576,0.342607,0.203652
2,float,uniform,GPU,"P | P | P | P",512,12,0.022368,0,0.037491,0.0256,0.25849,0.085459
2,float,uniform,GPU,"P | P | P | P",512,13,0.023424,0,0.038211,0.026624,0.307394,0.088259
2,float,uniform,GPU,"P | P | P | P",512,14,0.021856,0,0.037737,0.024576,0.223879,0.084169
2,float,uniform,GPU,"P | P | P | P",512,15,0.021152,0,0.037458,0.024576,0.222767,0.083186
2,float,uniform,GPU,"P | P | P | P",512,16,0.021856,0,0.038038,0.024576,0.223627,0.08447
2,float,uniform,GPU,"P | P | P | P",512,17,0.02112,0,0.037709,0.024576,0.222756,0.083405
2,float,uniform,GPU,"P | P | P | P",512,18,0.022048,0,0.037349,0.024576,0.223759,0.083973
2,float,uniform,GPU,"P | P | P | P",512,19,0.022048,0,0.037833,0.024576,0.223755,0.084457
