dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,10,107.827,0.002959,8.34069,3.43962,119.701,119.61
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,11,109.077,0.003406,8.35951,3.44064,120.975,120.881
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,12,106.572,0.003144,8.34137,3.43654,118.445,118.353
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,13,107.322,0.003293,8.35891,3.44371,119.223,119.128
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,14,107.531,0.00306,8.34569,3.44678,119.416,119.327
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,15,107.246,0.003094,8.35447,3.43552,119.128,119.039
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,16,107.577,0.003084,8.35688,3.43654,119.466,119.374
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,17,108.553,0.003293,8.35767,3.45088,120.459,120.365
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,18,109.328,0.003012,8.35376,3.44986,121.239,121.135
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,19,108.447,0.002827,8.35271,3.44064,120.331,120.243
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,0,230.111,0.003246,14.96,5.94944,251.129,251.023
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,1,227.601,0.003246,14.5421,5.94432,248.182,248.091
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,2,229.083,0.003485,14.1573,5.96173,249.298,249.206
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,3,230.025,0.003316,13.9824,5.96685,250.072,249.978
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,4,229.793,0.003171,13.7883,5.99245,249.668,249.577
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,5,229.641,0.003198,13.6594,5.9863,249.388,249.29
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,6,228.508,0.003173,13.649,5.98118,248.235,248.141
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,7,230.895,0.003103,13.6706,5.97914,250.644,250.548
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,8,229.628,0.003127,13.6607,5.98426,249.368,249.276
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,9,230.122,0.00311,13.6572,5.97914,249.856,249.762
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,10,229.52,0.003112,13.6444,5.98835,249.251,249.156
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,11,228.276,0.003129,13.6631,5.98323,248.018,247.925
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,12,230.633,0.003118,13.6535,5.99552,250.378,250.285
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,13,228.357,0.00305,13.6655,5.98221,248.1,248.007
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,14,227.591,0.003386,13.6287,6.00166,247.316,247.224
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,15,231.552,0.003125,13.6351,6.00781,251.292,251.198
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,16,229.317,0.00348,13.6336,5.98528,249.034,248.939
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,17,230.77,0.003088,13.6291,5.9945,250.49,250.396
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,18,230.959,0.003118,13.6387,5.98528,250.68,250.586
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",384,19,229.546,0.003115,13.637,5.98938,249.266,249.175
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,0,295.232,0.003146,31.6936,9.5529,336.577,336.482
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,1,298.887,0.003136,31.6724,9.5447,340.203,340.107
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,2,297.421,0.003444,31.683,9.52218,338.725,338.629
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,3,292.037,0.003505,31.6754,9.56314,333.374,333.279
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,4,296.882,0.003149,31.6864,9.54163,338.21,338.113
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,5,296.78,0.003517,31.6759,9.55699,338.113,338.016
