dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"P | P",192,9,0.019456,0,0.018396,0.018432,0.112443,0.056284
1,float,uniform,GPU,"P | P",192,10,0.018432,0,0.018988,0.018432,0.112753,0.055852
1,float,uniform,GPU,"P | P",192,11,0.017408,0,0.018675,0.018432,0.114814,0.054515
1,float,uniform,GPU,"P | P",192,12,0.019456,0,0.018498,0.0256,0.121176,0.063554
1,float,uniform,GPU,"P | P",192,13,0.019456,0,0.018915,0.017408,0.111546,0.055779
1,float,uniform,GPU,"P | P",192,14,0.018432,0,0.018737,0.018432,0.111874,0.055601
1,float,uniform,GPU,"P | P",192,15,0.02048,0,0.113705,0.019456,0.209597,0.153641
1,float,uniform,GPU,"P | P",192,16,0.019456,0,0.018468,0.018432,0.113029,0.056356
1,float,uniform,GPU,"P | P",192,17,0.018432,0,0.018805,0.018432,0.111276,0.055669
1,float,uniform,GPU,"P | P",192,18,0.018432,0,0.018467,0.018432,0.110891,0.055331
1,float,uniform,GPU,"P | P",192,19,0.019456,0,0.018668,0.017408,0.111836,0.055532
1,float,uniform,GPU,"P | P",256,0,0.031744,0,0.023449,0.026624,0.145862,0.081817
1,float,uniform,GPU,"P | P",256,1,0.021504,0,0.019068,0.02048,0.120975,0.061052
1,float,uniform,GPU,"P | P",256,2,0.02048,0,0.018619,0.018432,0.114876,0.057531
1,float,uniform,GPU,"P | P",256,3,0.018432,0,0.018581,0.018432,0.112202,0.055445
1,float,uniform,GPU,"P | P",256,4,0.02048,0,0.017967,0.019456,0.246774,0.057903
1,float,uniform,GPU,"P | P",256,5,0.018432,0,0.018723,0.019456,0.11149,0.056611
1,float,uniform,GPU,"P | P",256,6,0.018432,0,0.018059,0.019456,0.112242,0.055947
1,float,uniform,GPU,"P | P",256,7,0.019456,0,0.017905,0.019456,0.112336,0.056817
1,float,uniform,GPU,"P | P",256,8,0.019456,0,0.018351,0.018432,0.112002,0.056239
1,float,uniform,GPU,"P | P",256,9,0.019456,0,0.019895,0.019456,0.11537,0.058807
1,float,uniform,GPU,"P | P",256,10,0.019456,0,0.018489,0.018432,0.111768,0.056377
1,float,uniform,GPU,"P | P",256,11,0.018432,0,0.018333,0.018432,0.115846,0.055197
1,float,uniform,GPU,"P | P",256,12,0.018432,0,0.017876,0.018432,0.111343,0.05474
1,float,uniform,GPU,"P | P",256,13,0.018432,0,0.01782,0.019456,0.111101,0.055708
1,float,uniform,GPU,"P | P",256,14,0.019456,0,0.019071,0.019456,0.112828,0.057983
1,float,uniform,GPU,"P | P",256,15,0.017408,0,0.018174,0.018432,0.110543,0.054014
1,float,uniform,GPU,"P | P",256,16,0.019456,0,0.018197,0.019456,0.112375,0.057109
1,float,uniform,GPU,"P | P",256,17,0.018432,0,0.018645,0.017408,0.111102,0.054485
1,float,uniform,GPU,"P | P",256,18,0.019456,0,0.018362,0.019456,0.111397,0.057274
1,float,uniform,GPU,"P | P",256,19,0.018432,0,0.018081,0.019456,0.110961,0.055969
1,float,uniform,GPU,"P | P",320,0,0.039936,0,0.025608,0.033792,0.170783,0.099336
1,float,uniform,GPU,"P | P",320,1,0.02048,0,0.019403,0.019456,0.119167,0.059339
1,float,uniform,GPU,"P | P",320,2,0.02048,0,0.019254,0.019456,0.114819,0.05919
1,float,uniform,GPU,"P | P",320,3,0.018432,0,0.018827,0.017408,0.112321,0.054667
1,float,uniform,GPU,"P | P",320,4,0.021504,0,0.018473,0.018432,0.113995,0.058409
1,float,uniform,GPU,"P | P",320,5,0.018432,0,0.018534,0.019456,0.112131,0.056422
1,float,uniform,GPU,"P | P",320,6,0.019456,0,0.018785,0.018432,0.112053,0.056673
1,float,uniform,GPU,"P | P",320,7,0.019456,0,0.018906,0.024576,0.117987,0.062938
1,float,uniform,GPU,"P | P",320,8,0.021504,0,0.019037,0.019456,0.115413,0.059997
1,float,uniform,GPU,"P | P",320,9,0.018432,0,0.01873,0.019456,0.112068,0.056618
1,float,uniform,GPU,"P | P",320,10,0.018432,0,0.018588,0.018432,0.111445,0.055452
1,float,uniform,GPU,"P | P",320,11,0.019456,0,0.018965,0.017408,0.112148,0.055829
1,float,uniform,GPU,"P | P",320,12,0.019456,0,0.019053,0.019456,0.112719,0.057965
1,float,uniform,GPU,"P | P",320,13,0.019456,0,0.01852,0.018432,0.111921,0.056408
1,float,uniform,GPU,"P | P",320,14,0.019456,0,0.01827,0.018432,0.111654,0.056158
1,float,uniform,GPU,"P | P",320,15,0.019456,0,0.018361,0.018432,0.11231,0.056249
1,float,uniform,GPU,"P | P",320,16,0.019456,0,0.018897,0.018432,0.112376,0.056785
1,float,uniform,GPU,"P | P",320,17,0.021504,0,0.019325,0.018432,0.116276,0.059261
1,float,uniform,GPU,"P | P",320,18,0.017408,0,0.018574,0.018432,0.111925,0.054414
1,float,uniform,GPU,"P | P",320,19,0.019456,0,0.018778,0.017408,0.114234,0.055642
1,float,uniform,GPU,"P | P",384,0,0.03072,0,0.024482,0.027648,0.145686,0.08285
1,float,uniform,GPU,"P | P",384,1,0.021504,0,0.020898,0.022528,0.122443,0.06493
1,float,uniform,GPU,"P | P",384,2,0.02048,0,0.019413,0.019456,0.115298,0.059349
1,float,uniform,GPU,"P | P",384,3,0.033792,0,0.020122,0.019456,0.128813,0.07337
1,float,uniform,GPU,"P | P",384,4,0.02048,0,0.019928,0.018432,0.114198,0.05884
1,float,uniform,GPU,"P | P",384,5,0.019456,0,0.019615,0.019456,0.112442,0.058527
1,float,uniform,GPU,"P | P",384,6,0.019456,0,0.019711,0.017408,0.110977,0.056575
1,float,uniform,GPU,"P | P",384,7,0.017408,0,0.019858,0.017408,0.111638,0.054674
1,float,uniform,GPU,"P | P",384,8,0.018432,0,0.019391,0.017408,0.11266,0.055231
1,float,uniform,GPU,"P | P",384,9,0.018432,0,0.019146,0.017408,0.111223,0.054986
