dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,14,0.618816,0,0.053623,0.01536,0.741294,0.687799
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,15,0.622176,0,0.05363,0.015392,0.743693,0.691198
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,16,0.629888,0,0.053984,0.016384,0.75322,0.700256
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,17,0.629536,0,0.053865,0.01536,0.752507,0.698761
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,18,0.6192,0,0.057785,0.01536,0.745077,0.692345
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,19,0.627488,0,0.054192,0.01536,0.750159,0.69704
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,0,0.756416,0,0.074039,0.022528,0.916765,0.852983
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,1,0.750368,0,0.065644,0.018432,0.891157,0.834444
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,2,0.8472,0,0.063355,0.017408,0.982537,0.927963
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,3,0.78576,0,0.060703,0.018432,0.917389,0.864895
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,4,0.7368,0,0.061139,0.022528,0.874469,0.820467
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,5,0.738848,0,0.061007,0.01536,0.870211,0.815215
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,6,0.737728,0,0.067947,0.01536,0.876351,0.821035
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,7,0.750848,0,0.061077,0.016384,0.883074,0.828309
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,8,0.73792,0,0.061558,0.016384,0.869634,0.815862
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,9,0.74816,0,0.060562,0.016384,0.879459,0.825106
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,10,0.738464,0,0.062496,0.017408,0.871074,0.818368
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,11,0.74272,0,0.060713,0.016384,0.873208,0.819817
