dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,0,28.0408,0.003824,0.866102,0.356352,30.4348,29.267
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,1,28.3069,0.004411,0.821985,0.364544,30.7275,29.4979
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,2,28.2643,0.004354,0.828283,0.344064,30.6035,29.441
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,3,28.5162,0.004496,0.820099,0.351232,30.8561,29.692
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,4,28.511,0.004382,0.827073,0.361472,30.9161,29.7039
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,5,28.5616,0.004675,0.823516,0.360448,30.9382,29.7502
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,6,28.4131,0.004404,0.82808,0.355328,30.8122,29.6009
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,7,28.4798,0.00461,0.826334,0.3584,30.8646,29.6692
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,8,28.2228,0.004431,0.825429,0.359424,30.5895,29.4121
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,9,28.0533,0.003851,0.826482,0.3584,30.428,29.242
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,10,28.4196,0.004421,0.824859,0.3584,30.7832,29.6073
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,11,28.2428,0.004442,0.824812,0.3584,30.6472,29.4305
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,12,28.2788,0.00447,0.821529,0.360448,30.6586,29.4653
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,13,28.5419,0.004637,0.823193,0.365568,30.954,29.7353
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,14,28.2692,0.004374,0.826089,0.359424,30.6691,29.4591
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,15,28.428,0.004497,0.828695,0.352256,30.7886,29.6134
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,16,28.372,0.00377,0.821269,0.359424,30.7717,29.5565
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,17,28.2526,0.004178,0.820791,0.3584,30.6465,29.436
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,18,28.5322,0.004375,0.819705,0.354304,30.8832,29.7106
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,19,28.522,0.004424,0.8228,0.355328,30.875,29.7046
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,0,54.5094,0.003204,2.15202,0.565248,59.2839,57.2299
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,1,54.0535,0.003321,2.12605,0.579584,58.804,56.7624
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,2,54.3251,0.003261,2.12832,0.571392,59.0906,57.0281
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,3,54.882,0.00328,2.12982,0.56832,59.6621,57.5834
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,4,54.3454,0.00322,2.1591,0.582656,59.1727,57.0904
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,5,54.3014,0.003566,2.13803,0.57344,59.0655,57.0164
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,6,54.2228,0.003111,2.13029,0.56832,58.9793,56.9245
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,7,53.6171,0.003191,2.13003,0.570368,58.3783,56.3207
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,8,54.0298,0.003232,2.12523,0.57856,58.8124,56.7368
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,9,54.4558,0.003225,2.13282,0.576512,59.236,57.1683
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,10,54.3457,0.003224,2.14005,0.576512,59.12,57.0655
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,11,54.4493,0.003078,2.13291,0.567296,59.2037,57.1526
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,12,54.3255,0.003156,2.13385,0.579584,59.0969,57.0421
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,13,54.0235,0.003272,2.12857,0.565248,58.7993,56.7205
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,14,53.96,0.003566,2.13243,0.576512,58.7367,56.6725
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,15,53.7157,0.00317,2.12983,0.569344,58.4763,56.418
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,16,54.6805,0.003152,2.12628,0.565248,59.4323,57.3752
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,17,53.628,0.003318,2.13949,0.572416,58.4004,56.3432
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,18,53.7197,0.003136,2.12521,0.580608,58.4828,56.4287
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,19,53.8344,0.003409,2.13012,0.56832,58.617,56.5363
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,0,92.7667,0.003139,3.60065,1.10694,101.191,97.4774
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,1,92.3697,0.003657,3.55931,1.08442,100.752,97.0171
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,2,92.7799,0.003157,3.55905,1.09056,101.152,97.4327
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,3,92.9487,0.003225,3.55809,1.0752,101.303,97.5852
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,4,92.0393,0.003188,3.56016,1.09568,100.426,96.6983
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,5,92.2014,0.003233,3.56479,1.07827,100.586,96.8477
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,6,92.3744,0.003489,3.55201,1.13971,100.806,97.0696
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,7,92.8053,0.003119,3.55827,1.0711,101.133,97.4378
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,8,92.6025,0.003429,3.56245,1.11616,101.029,97.2845
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,9,92.6049,0.003168,3.55479,1.07725,100.95,97.2401
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,10,93.7172,0.003226,3.55951,1.07725,102.065,98.3572
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,11,93.7001,0.003308,3.5603,1.07418,102.081,98.3379
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,12,93.9427,0.003076,3.56255,1.07827,102.308,98.5866
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,13,93.9451,0.003176,3.56032,1.08237,102.321,98.5909
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,14,93.6272,0.0036,3.56508,1.08339,101.991,98.2793
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,15,92.7664,0.003291,3.56017,1.06394,101.166,97.3938
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,16,93.6754,0.00321,3.56012,1.08442,102.105,98.3232
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,17,94.4071,0.003178,3.56662,1.07418,102.811,99.0511
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,18,94.3038,0.003229,3.55937,1.09056,102.696,98.957
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,19,93.4901,0.003153,3.55635,1.11002,101.893,98.1596
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,0,147.829,0.003279,5.35044,1.99885,161.322,155.181
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,1,146.313,0.003194,5.33412,1.9415,159.744,153.592
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,2,145.211,0.003242,5.33089,1.93843,158.651,152.484
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,3,149.18,0.003192,5.34536,1.98554,162.674,156.514
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,4,144.881,0.003157,5.34664,1.91898,158.264,152.15
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,5,146.293,0.00323,5.28,1.89645,159.649,153.472
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,6,146.033,0.003303,5.26928,1.8903,159.456,153.196
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,7,145.701,0.00346,5.28212,1.92205,159.079,152.908
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,8,146.9,0.003196,5.15272,1.86163,160.08,153.918
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,9,147.928,0.003234,5.14644,1.85446,161.077,154.932
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,10,146.408,0.003197,5.16554,1.89952,159.699,153.476
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,11,146.726,0.003241,5.02418,1.85549,159.769,153.609
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,12,147.94,0.003534,5.03833,1.79712,160.869,154.779
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,13,147.58,0.003309,5.01514,1.85754,160.543,154.456
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,14,147.807,0.003226,5.00012,1.82272,160.745,154.634
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,15,146.439,0.0036,4.98663,1.79814,159.349,153.228
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,16,146.711,0.003157,4.99494,1.81965,159.677,153.529
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,17,148.216,0.003235,4.9847,1.84422,161.135,155.049
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,18,148.523,0.003303,4.99907,1.85651,161.434,155.382
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,19,147.171,0.003123,4.97684,1.82477,160.084,153.976
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,0,220.751,0.003155,7.45338,2.4832,239.253,230.69
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,1,221.677,0.003496,7.43982,2.47194,240.162,231.592
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,2,218.171,0.003204,7.42548,2.44941,236.464,228.049
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,3,219.269,0.003214,7.42821,2.4791,237.711,229.18
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,4,219.924,0.003331,7.42632,2.44531,238.369,229.799
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,5,223.183,0.00356,7.4318,2.44429,241.601,233.062
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,6,221.586,0.00322,7.42154,2.43917,239.954,231.45
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,7,220.398,0.003273,7.43683,2.44736,238.798,230.286
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,8,221.919,0.003281,7.43553,2.47603,240.428,231.834
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,9,221.372,0.00332,7.42936,2.42688,239.835,231.232
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,10,220.526,0.003452,7.4305,2.45453,238.954,230.414
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,11,221.982,0.003184,7.44977,2.45248,240.394,231.887
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,12,222.155,0.003233,7.43187,2.47808,240.665,232.068
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,13,219.958,0.003312,7.43278,2.42688,238.339,229.821
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,14,221.385,0.00329,7.43619,2.43507,239.688,231.259
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,15,220.544,0.003729,7.44258,2.49037,238.975,230.481
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,16,219.24,0.004599,7.45952,2.49754,237.883,229.202
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,17,219.922,0.003323,7.43454,2.46272,238.332,229.822
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,18,219.171,0.003147,7.43126,2.44122,237.645,229.047
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,19,220.229,0.003325,7.42642,2.432,238.615,230.091
