dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,7,108.15,0.003198,8.94302,3.44269,120.635,120.539
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,8,107.596,0.003059,8.9444,3.456,120.094,120
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,9,108.036,0.003249,8.94303,3.43347,120.512,120.416
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,10,108.206,0.003201,8.94119,3.43757,120.679,120.587
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,11,108.293,0.003145,8.94164,3.43347,120.762,120.671
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,12,107.551,0.003107,8.93788,3.44474,120.03,119.937
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,13,107.23,0.003907,8.95029,3.44474,119.72,119.629
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,14,106.596,0.00309,8.94506,3.44269,119.084,118.987
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,15,106.749,0.00443,8.98236,3.44986,119.28,119.186
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,16,108.081,0.003105,8.94799,3.43962,120.575,120.471
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,17,108.178,0.003144,8.94286,3.44474,120.661,120.569
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,18,107.551,0.003206,8.95113,3.4345,120.035,119.94
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,19,107.745,0.003189,8.93875,3.44883,120.232,120.136
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,0,228.061,0.003283,14.9364,5.99552,249.084,248.997
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,1,231.308,0.003177,14.9136,5.98938,252.304,252.214
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,2,229.302,0.003075,14.8772,5.97811,250.247,250.16
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,3,229.245,0.003637,14.8768,5.9904,250.212,250.116
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,4,229.741,0.003363,14.8778,5.99142,250.702,250.614
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,5,229.533,0.003084,14.8711,5.97197,250.47,250.379
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,6,228.126,0.003055,14.874,5.98938,249.081,248.993
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,7,228.99,0.002948,14.8741,5.97709,249.93,249.844
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,8,227.773,0.002916,14.8711,5.98118,248.716,248.628
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,9,229.489,0.003038,14.8835,5.99552,250.461,250.371
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,10,229.078,0.003018,14.8781,5.97094,250.022,249.931
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,11,227.552,0.002967,14.8793,5.97709,248.5,248.411
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,12,228.203,0.003277,14.8606,5.97094,249.126,249.038
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,13,230.208,0.00303,14.8573,5.97811,251.134,251.046
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,14,229.641,0.002984,14.8618,6.00269,250.597,250.508
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,15,229.583,0.003672,14.8554,5.97709,250.509,250.42
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,16,231.088,0.002968,14.8594,5.97914,252.019,251.929
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,17,230.746,0.003004,14.8559,5.97094,251.664,251.576
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,18,229.221,0.003045,14.8599,5.98221,250.155,250.066
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",384,19,228.471,0.003243,14.8545,5.9904,249.41,249.319
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,0,294.686,0.003096,33.235,9.56416,337.576,337.488
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,1,295.368,0.002973,33.2367,9.55187,338.25,338.16
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,2,294.591,0.002987,33.2285,9.55494,337.465,337.378
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,3,295.143,0.003149,33.2267,9.56723,338.034,337.94
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,4,292.594,0.002973,33.2262,9.54368,335.455,335.367
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,5,298.187,0.003222,33.2255,9.56723,341.071,340.983
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,6,295.556,0.003195,33.2326,9.54675,338.429,338.339
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,7,298.267,0.003215,33.234,9.56723,341.16,341.072
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,8,295.434,0.003013,33.2234,9.56109,338.308,338.221
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,9,297.871,0.002987,33.2199,9.55187,340.735,340.646
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,10,293.405,0.002996,33.2325,9.55494,336.291,336.195
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,11,298.377,0.002938,33.2342,9.57133,341.274,341.186
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,12,295.687,0.002954,33.2222,9.55187,338.558,338.464
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,13,295.86,0.002915,33.2332,9.5488,338.735,338.645
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,14,291.558,0.002997,33.2179,9.5447,334.422,334.323
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,15,296.206,0.003121,33.2195,9.57542,339.095,339.005
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,16,294.948,0.003118,33.2271,9.56211,337.831,337.74
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,17,296.593,0.003302,33.2405,9.56314,339.488,339.4
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,18,296.707,0.003243,33.2388,9.56314,339.6,339.512
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",448,19,296.819,0.002897,33.2197,9.56928,339.695,339.611
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,0,449.166,0.003446,55.2719,14.2889,518.821,518.73
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,1,441.576,0.003368,55.32,14.3043,511.291,511.203
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,2,440.949,0.002931,55.5595,14.295,510.895,510.806
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,3,438.708,0.003377,55.5171,14.2971,508.615,508.526
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,4,442.858,0.002957,55.3089,14.2735,512.53,512.444
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,5,437.93,0.003269,55.3109,14.2612,507.596,507.505
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,6,442.968,0.00295,55.2721,14.293,512.625,512.536
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,7,438.881,0.003014,55.4449,14.2438,508.661,508.573
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,8,438.905,0.002996,55.134,14.2541,508.386,508.297
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,9,444.883,0.003096,55.192,14.336,514.505,514.414
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,10,445.498,0.002944,55.1481,14.2469,514.983,514.896
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,11,441.127,0.003138,55.5451,14.2449,511.008,510.92
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,12,443.145,0.00299,55.1013,14.3053,512.642,512.555
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,13,445.406,0.002984,55.4144,14.2674,515.182,515.091
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,14,443.187,0.003079,55.5276,14.3319,513.137,513.049
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,15,447.981,0.002947,55.4019,14.2899,517.764,517.676
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,16,443.836,0.002995,55.1686,14.2879,513.385,513.296
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,17,437.131,0.002921,55.2777,14.338,506.836,506.75
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,18,442.699,0.003076,55.5325,14.2592,512.582,512.494
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",512,19,441.037,0.003034,55.394,14.2971,510.821,510.731
