dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | N",64,0,0.072704,0,0.04434,0.367616,0.574302,0.48466
1,float,uniform,GPU,"N | N",128,16,0.02048,0,0.027713,0.012288,0.105383,0.060481
1,float,uniform,GPU,"N | N",128,17,0.019456,0,0.027321,0.012288,0.105289,0.059065
1,float,uniform,GPU,"N | N",128,18,0.02048,0,0.028686,0.013312,0.113212,0.062478
1,float,uniform,GPU,"N | N",128,19,0.019456,0,0.03056,0.012288,0.10881,0.062304
1,float,uniform,GPU,"N | N",192,0,0.036864,0,0.0499,0.034816,0.18243,0.12158
1,float,uniform,GPU,"N | N",192,1,0.023552,0,0.028055,0.01536,0.114288,0.066967
1,float,uniform,GPU,"N | N",192,2,0.021504,0,0.027703,0.013312,0.108793,0.062519
1,float,uniform,GPU,"N | N",192,3,0.02048,0,0.027007,0.011264,0.107263,0.058751
1,float,uniform,GPU,"N | N",192,4,0.019456,0,0.02679,0.012288,0.105828,0.058534
1,float,uniform,GPU,"N | N",192,5,0.02048,0,0.026685,0.013312,0.106217,0.060477
1,float,uniform,GPU,"N | N",192,6,0.019456,0,0.026948,0.012288,0.105459,0.058692
1,float,uniform,GPU,"N | N",192,7,0.023552,0,0.029248,0.011264,0.112918,0.064064
1,float,uniform,GPU,"N | N",192,8,0.019456,0,0.027078,0.013312,0.105126,0.059846
1,float,uniform,GPU,"N | N",192,9,0.019456,0,0.026812,0.011264,0.105172,0.057532
1,float,uniform,GPU,"N | N",192,10,0.019456,0,0.026831,0.011264,0.104555,0.057551
1,float,uniform,GPU,"N | N",192,11,0.019456,0,0.027317,0.012288,0.104957,0.059061
1,float,uniform,GPU,"N | N",192,12,0.02048,0,0.02642,0.013312,0.106466,0.060212
1,float,uniform,GPU,"N | N",192,13,0.019456,0,0.027632,0.011264,0.111857,0.058352
1,float,uniform,GPU,"N | N",192,14,0.019456,0,0.026801,0.013312,0.105826,0.059569
1,float,uniform,GPU,"N | N",192,15,0.019456,0,0.026638,0.012288,0.104733,0.058382
1,float,uniform,GPU,"N | N",192,16,0.021504,0,0.026728,0.029696,0.124363,0.077928
1,float,uniform,GPU,"N | N",192,17,0.019456,0,0.026579,0.013312,0.104814,0.059347
1,float,uniform,GPU,"N | N",192,18,0.018432,0,0.026665,0.012288,0.104271,0.057385
1,float,uniform,GPU,"N | N",192,19,0.02048,0,0.027578,0.012288,0.105717,0.060346
1,float,uniform,GPU,"N | N",256,0,0.032768,0,0.036964,0.017408,0.141518,0.08714
1,float,uniform,GPU,"N | N",256,1,0.021504,0,0.026524,0.013312,0.110273,0.06134
1,float,uniform,GPU,"N | N",256,2,0.019456,0,0.025692,0.012288,0.105968,0.057436
1,float,uniform,GPU,"N | N",256,3,0.021504,0,0.025254,0.013312,0.105872,0.06007
1,float,uniform,GPU,"N | N",256,4,0.019456,0,0.024871,0.012288,0.104043,0.056615
1,float,uniform,GPU,"N | N",256,5,0.019456,0,0.024881,0.013312,0.103886,0.057649
1,float,uniform,GPU,"N | N",256,6,0.02048,0,0.025419,0.012288,0.103936,0.058187
1,float,uniform,GPU,"N | N",256,7,0.019456,0,0.025372,0.012288,0.102869,0.057116
1,float,uniform,GPU,"N | N",256,8,0.021504,0,0.024788,0.012288,0.103222,0.05858
1,float,uniform,GPU,"N | N",256,9,0.02048,0,0.024935,0.012288,0.103543,0.057703
1,float,uniform,GPU,"N | N",256,10,0.027648,0,0.026835,0.011264,0.115913,0.065747
1,float,uniform,GPU,"N | N",256,11,0.019456,0,0.025408,0.012288,0.103144,0.057152
1,float,uniform,GPU,"N | N",256,12,0.018432,0,0.025036,0.011264,0.102999,0.054732
1,float,uniform,GPU,"N | N",256,13,0.02048,0,0.024648,0.012288,0.103921,0.057416
1,float,uniform,GPU,"N | N",256,14,0.019456,0,0.024801,0.012288,0.102968,0.056545
1,float,uniform,GPU,"N | N",256,15,0.02048,0,0.025531,0.012288,0.104648,0.058299
1,float,uniform,GPU,"N | N",256,16,0.02048,0,0.02605,0.012288,0.105177,0.058818
1,float,uniform,GPU,"N | N",256,17,0.019456,0,0.025337,0.013312,0.103555,0.058105
1,float,uniform,GPU,"N | N",256,18,0.019456,0,0.025084,0.011264,0.103825,0.055804
1,float,uniform,GPU,"N | N",256,19,0.019456,0,0.024759,0.012288,0.102765,0.056503
1,float,uniform,GPU,"N | N",320,0,0.033792,0,0.039079,0.017408,0.145126,0.090279
1,float,uniform,GPU,"N | N",320,1,0.024576,0,0.027955,0.014336,0.115455,0.066867
1,float,uniform,GPU,"N | N",320,2,0.021504,0,0.026789,0.013312,0.10976,0.061605
1,float,uniform,GPU,"N | N",320,3,0.021504,0,0.026463,0.012288,0.105945,0.060255
1,float,uniform,GPU,"N | N",320,4,0.019456,0,0.026251,0.013312,0.104592,0.059019
1,float,uniform,GPU,"N | N",320,5,0.019456,0,0.026403,0.012288,0.10516,0.058147
1,float,uniform,GPU,"N | N",320,6,0.019456,0,0.026198,0.012288,0.104147,0.057942
1,float,uniform,GPU,"N | N",320,7,0.018432,0,0.026429,0.012288,0.104315,0.057149
1,float,uniform,GPU,"N | N",320,8,0.019456,0,0.025995,0.012288,0.103561,0.057739
1,float,uniform,GPU,"N | N",320,9,0.02048,0,0.026194,0.012288,0.104905,0.058962
1,float,uniform,GPU,"N | N",320,10,0.018432,0,0.026351,0.013312,0.107031,0.058095
1,float,uniform,GPU,"N | N",320,11,0.019456,0,0.026429,0.012288,0.104355,0.058173
1,float,uniform,GPU,"N | N",320,12,0.02048,0,0.026805,0.012288,0.105904,0.059573
1,float,uniform,GPU,"N | N",320,13,0.019456,0,0.026128,0.013312,0.105252,0.058896
1,float,uniform,GPU,"N | N",320,14,0.02048,0,0.025873,0.013312,0.153658,0.059665
1,float,uniform,GPU,"N | N",320,15,0.019456,0,0.026664,0.012288,0.10435,0.058408
1,float,uniform,GPU,"N | N",320,16,0.019456,0,0.026074,0.011264,0.103938,0.056794
1,float,uniform,GPU,"N | N",320,17,0.019456,0,0.025786,0.012288,0.104546,0.05753
1,float,uniform,GPU,"N | N",320,18,0.021504,0,0.026707,0.012288,0.104877,0.060499
1,float,uniform,GPU,"N | N",320,19,0.02048,0,0.026089,0.012288,0.104243,0.058857
1,float,uniform,GPU,"N | N",384,0,0.028672,0,0.040357,0.016384,0.140517,0.085413
1,float,uniform,GPU,"N | N",384,1,0.021504,0,0.030555,0.014336,0.118034,0.066395
1,float,uniform,GPU,"N | N",384,2,0.02048,0,0.030495,0.013312,0.110558,0.064287
1,float,uniform,GPU,"N | N",384,3,0.02048,0,0.031552,0.013312,0.11419,0.065344
1,float,uniform,GPU,"N | N",384,4,0.019456,0,0.030024,0.012288,0.108553,0.061768
1,float,uniform,GPU,"N | N",384,5,0.019456,0,0.029786,0.011264,0.107316,0.060506
1,float,uniform,GPU,"N | N",384,6,0.0256,0,0.029272,0.013312,0.113455,0.068184
1,float,uniform,GPU,"N | N",384,7,0.019456,0,0.029385,0.012288,0.107796,0.061129
1,float,uniform,GPU,"N | N",384,8,0.02048,0,0.029217,0.012288,0.108155,0.061985
1,float,uniform,GPU,"N | N",384,9,0.019456,0,0.029777,0.012288,0.10771,0.061521
1,float,uniform,GPU,"N | N",384,10,0.018432,0,0.029156,0.012288,0.107207,0.059876
1,float,uniform,GPU,"N | N",384,11,0.019456,0,0.02998,0.012288,0.108231,0.061724
1,float,uniform,GPU,"N | N",384,12,0.019456,0,0.02925,0.011264,0.193057,0.05997
1,float,uniform,GPU,"N | N",384,13,0.019456,0,0.029793,0.011264,0.105992,0.060513
1,float,uniform,GPU,"N | N",384,14,0.019456,0,0.029401,0.012288,0.10759,0.061145
1,float,uniform,GPU,"N | N",384,15,0.018432,0,0.029864,0.017408,0.11297,0.065704
1,float,uniform,GPU,"N | N",384,16,0.019456,0,0.029662,0.012288,0.107261,0.061406
1,float,uniform,GPU,"N | N",384,17,0.019456,0,0.029124,0.013312,0.107009,0.061892
1,float,uniform,GPU,"N | N",384,18,0.019456,0,0.029367,0.013312,0.112657,0.062135
1,float,uniform,GPU,"N | N",384,19,0.019456,0,0.037712,0.012288,0.114711,0.069456
1,float,uniform,GPU,"N | N",448,0,0.027648,0,0.044246,0.016384,0.14224,0.088278
1,float,uniform,GPU,"N | N",448,1,0.02048,0,0.031598,0.013312,0.12008,0.06539
1,float,uniform,GPU,"N | N",448,2,0.02048,0,0.030994,0.012288,0.111714,0.063762
1,float,uniform,GPU,"N | N",448,3,0.019456,0,0.030903,0.012288,0.108554,0.062647
1,float,uniform,GPU,"N | N",448,4,0.018432,0,0.030535,0.011264,0.108105,0.060231
1,float,uniform,GPU,"N | N",448,5,0.018432,0,0.030905,0.011264,0.114518,0.060601
1,float,uniform,GPU,"N | N",448,6,0.019456,0,0.030223,0.012288,0.107464,0.061967
1,float,uniform,GPU,"N | N",448,7,0.019456,0,0.030542,0.011264,0.107569,0.061262
1,float,uniform,GPU,"N | N",448,8,0.019456,0,0.03076,0.011264,0.108127,0.06148
1,float,uniform,GPU,"N | N",448,9,0.019456,0,0.030379,0.011264,0.107093,0.061099
1,float,uniform,GPU,"N | N",448,10,0.02048,0,0.0307,0.011264,0.109905,0.062444
1,float,uniform,GPU,"N | N",448,11,0.019456,0,0.030687,0.012288,0.110506,0.062431
1,float,uniform,GPU,"N | N",448,12,0.019456,0,0.030646,0.013312,0.108038,0.063414
1,float,uniform,GPU,"N | N",448,13,0.019456,0,0.030771,0.012288,0.107949,0.062515
1,float,uniform,GPU,"N | N",448,14,0.019456,0,0.030973,0.012288,0.109045,0.062717
1,float,uniform,GPU,"N | N",448,15,0.019456,0,0.030352,0.012288,0.107733,0.062096
1,float,uniform,GPU,"N | N",448,16,0.02048,0,0.030514,0.011264,0.107773,0.062258
1,float,uniform,GPU,"N | N",448,17,0.02048,0,0.030983,0.011264,0.108269,0.062727
1,float,uniform,GPU,"N | N",448,18,0.02048,0,0.030815,0.012288,0.108302,0.063583
1,float,uniform,GPU,"N | N",448,19,0.018432,0,0.030262,0.012288,0.108523,0.060982
1,float,uniform,GPU,"N | N",512,0,0.032768,0,0.043496,0.02048,0.156903,0.096744
1,float,uniform,GPU,"N | N",512,1,0.022528,0,0.031041,0.014336,0.117354,0.067905
1,float,uniform,GPU,"N | N",512,2,0.02048,0,0.030541,0.012288,0.109032,0.063309
1,float,uniform,GPU,"N | N",512,3,0.019456,0,0.029675,0.012288,0.107615,0.061419
1,float,uniform,GPU,"N | N",512,4,0.019456,0,0.02974,0.012288,0.106791,0.061484
1,float,uniform,GPU,"N | N",512,5,0.019456,0,0.02961,0.012288,0.113125,0.061354
1,float,uniform,GPU,"N | N",512,6,0.019456,0,0.029565,0.011264,0.106818,0.060285
1,float,uniform,GPU,"N | N",512,7,0.018432,0,0.029481,0.011264,0.106371,0.059177
1,float,uniform,GPU,"N | N",512,8,0.02048,0,0.029447,0.011264,0.107279,0.061191
1,float,uniform,GPU,"N | N",512,9,0.019456,0,0.029432,0.012288,0.106424,0.061176
1,float,uniform,GPU,"N | N",512,10,0.019456,0,0.02991,0.012288,0.106506,0.061654
1,float,uniform,GPU,"N | N",512,11,0.018432,0,0.029066,0.011264,0.105791,0.058762
1,float,uniform,GPU,"N | N",512,12,0.018432,0,0.029563,0.012288,0.106232,0.060283
1,float,uniform,GPU,"N | N",512,13,0.019456,0,0.028993,0.011264,0.105149,0.059713
1,float,uniform,GPU,"N | N",512,14,0.019456,0,0.029366,0.013312,0.105763,0.062134
1,float,uniform,GPU,"N | N",512,15,0.018432,0,0.029498,0.011264,0.107239,0.059194
1,float,uniform,GPU,"N | N",512,16,0.02048,0,0.029768,0.012288,0.107899,0.062536
1,float,uniform,GPU,"N | N",512,17,0.019456,0,0.029487,0.012288,0.106901,0.061231
1,float,uniform,GPU,"N | N",512,18,0.018432,0,0.029249,0.012288,0.106666,0.059969
1,float,uniform,GPU,"N | N",512,19,0.018432,0,0.029222,0.011264,0.105168,0.058918
