dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,15,0.313952,0.004107,1.32762,0.751616,2.54274,2.3973
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,16,0.312992,0.004128,1.32876,0.753664,2.55014,2.39955
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,17,0.309728,0.007158,1.32842,0.754688,2.54459,2.4
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,18,0.314656,0.004477,1.32373,0.75776,2.54572,2.40063
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,19,0.31376,0.00433,1.32584,0.753664,2.54291,2.3976
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,0,0.70256,0.00305,3.22649,1.73568,5.80733,5.66778
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,1,0.700384,0.003041,3.19475,1.73056,5.7652,5.62874
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,2,0.702464,0.003076,3.19948,1.73056,5.77304,5.63558
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,3,0.705312,0.003419,3.21527,1.73056,5.79588,5.65456
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,4,0.705152,0.003296,3.20361,1.73158,5.78115,5.64364
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,5,0.704864,0.003098,3.20487,1.73056,5.77917,5.64339
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,6,0.701824,0.003051,3.21473,1.72851,5.78451,5.64812
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,7,0.704448,0.003074,3.19924,1.73261,5.77656,5.63937
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,8,0.700576,0.003122,3.20435,1.72954,5.77615,5.63759
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,9,0.704736,0.003107,3.19507,1.72749,5.76814,5.6304
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,10,0.706912,0.003088,3.2219,1.73056,5.80089,5.66246
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,11,0.702016,0.003554,3.19624,1.73261,5.77468,5.63442
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,12,0.704672,0.003052,3.20378,1.73056,5.77909,5.64207
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,13,0.70896,0.003191,3.21868,1.72851,5.80215,5.65934
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,14,0.705824,0.003023,3.19486,1.73158,5.77151,5.63529
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,15,0.70464,0.003058,3.19552,1.72749,5.76746,5.63071
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,16,0.704512,0.003107,3.21388,1.73158,5.79087,5.65308
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,17,0.702752,0.003159,3.21132,1.73261,5.78642,5.64984
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,18,0.703392,0.003102,3.20941,1.72954,5.78344,5.64544
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",256,19,0.705184,0.003072,3.21835,1.73158,5.79663,5.65819
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,0,1.36416,0.003382,7.01818,3.47034,12.0002,11.8561
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,1,1.36406,0.003053,6.99251,3.46522,11.9628,11.8248
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,2,1.3625,0.003029,7.00017,3.45702,11.9624,11.8227
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,3,1.36493,0.003111,7.00079,3.44883,11.9571,11.8177
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,4,1.36282,0.003315,6.99325,3.46931,11.9663,11.8287
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,5,1.36307,0.003116,6.99787,3.45702,11.9588,11.8211
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,6,1.36355,0.003029,7.00128,3.46829,11.9762,11.8362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,7,1.36963,0.003026,7.58278,3.4304,12.5255,12.3858
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,8,1.37133,0.003078,7.55171,3.43245,12.5001,12.3586
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,9,1.36781,0.003087,7.5318,3.43962,12.4829,12.3423
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,10,1.37002,0.003031,7.54129,3.43245,12.4851,12.3468
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,11,1.37046,0.0031,7.53828,3.44474,12.4944,12.3566
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,12,1.3712,0.003063,7.53785,3.4304,12.4838,12.3425
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,13,1.37117,0.003127,7.53345,3.43962,12.4876,12.3474
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,14,1.36944,0.003247,7.53996,3.4345,12.4862,12.3471
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,15,1.3671,0.003084,7.54034,3.43142,12.4829,12.342
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,16,1.37018,0.003085,7.5379,3.42733,12.4791,12.3385
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,17,1.37114,0.003112,7.54669,3.43347,12.4937,12.3544
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,18,1.3727,0.003426,7.53712,3.44576,12.4991,12.359
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",320,19,1.37232,0.003119,7.54785,3.43654,12.4996,12.3598
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,0,2.41837,0.00293,13.2449,5.98323,21.7896,21.6494
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,1,2.41373,0.002943,13.1461,6.00269,21.7069,21.5655
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,2,2.4105,0.002883,13.1937,5.9607,21.7079,21.5678
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,3,2.41296,0.002957,13.217,5.98221,21.757,21.6152
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,4,2.41578,0.003618,13.2855,5.98835,21.8523,21.6932
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,5,2.4144,0.002927,13.3279,5.97811,21.8655,21.7233
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,6,2.41283,0.00298,13.2725,5.95968,21.7898,21.648
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,7,2.41427,0.002889,13.2177,5.96685,21.7436,21.6018
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,8,2.41485,0.002908,13.2007,5.96787,21.7282,21.5864
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,9,2.41533,0.002872,13.1987,5.96582,21.7225,21.5828
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,10,2.41686,0.002902,13.2749,5.96685,21.8028,21.6615
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,11,2.41555,0.002923,13.1541,5.95866,21.6725,21.5313
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,12,2.41552,0.002944,13.2215,5.97299,21.7561,21.613
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,13,2.41888,0.002896,13.2024,5.96685,21.7327,21.591
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,14,2.41498,0.002952,13.1895,5.97504,21.7261,21.5825
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,15,2.41264,0.002917,13.1669,5.98118,21.7036,21.5636
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,16,2.4127,0.002937,13.2734,5.97709,21.808,21.6661
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,17,2.41594,0.002907,13.2322,5.99245,21.7867,21.6435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,18,2.41133,0.002888,13.2238,5.97402,21.7544,21.6121
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",384,19,2.41552,0.002934,13.2863,5.97197,21.8206,21.6767
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,0,3.76525,0.002811,30.3919,9.53958,43.8372,43.6996
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,1,3.76179,0.0035,30.3848,9.53958,43.831,43.6897
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,2,3.76029,0.002857,30.3826,9.54573,43.8275,43.6915
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,3,3.75974,0.002898,30.3762,9.51398,43.7907,43.6529
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,4,3.75808,0.002813,30.388,9.5447,43.8308,43.6936
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,5,3.76486,0.002778,30.3806,9.53549,43.8215,43.6837
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,6,3.76077,0.002862,30.389,9.53754,43.8289,43.6902
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,7,3.76112,0.002895,30.3721,9.53856,43.8132,43.6747
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,8,3.76237,0.002837,30.3783,9.54163,43.8233,43.6851
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,9,3.7616,0.002823,30.3825,9.53344,43.8203,43.6804
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,10,3.75878,0.003155,30.3854,9.54266,43.8328,43.69
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,11,3.75856,0.002769,30.3794,9.53549,43.8138,43.6762
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,12,3.76042,0.003439,30.3016,9.53958,43.7447,43.605
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,13,3.75738,0.002809,30.3035,9.53344,43.7355,43.5971
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,14,3.76099,0.003148,30.2962,9.52013,43.7189,43.5805
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,15,3.75786,0.002791,30.2913,9.53549,43.7262,43.5874
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,16,3.75594,0.002787,30.2849,9.54061,43.7222,43.5842
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,17,3.75501,0.002804,30.2995,9.53139,43.7278,43.5887
