dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",64,0,1.09024,0.004136,0.127458,0.463872,1.80098,1.68571
3,double,uniform,CPU,"P | P | P | P | D | N",128,7,7.06285,0.003953,0.51142,0.24064,7.89697,7.81886
3,double,uniform,CPU,"P | P | P | P | D | N",128,8,6.99226,0.003821,0.508666,0.24064,7.82487,7.74538
3,double,uniform,CPU,"P | P | P | P | D | N",128,9,6.96362,0.004187,0.511454,0.242688,7.9037,7.72195
3,double,uniform,CPU,"P | P | P | P | D | N",128,10,7.14054,0.004086,0.508825,0.243712,7.97664,7.89717
3,double,uniform,CPU,"P | P | P | P | D | N",128,11,7.00554,0.004207,0.514909,0.24576,7.85357,7.77041
3,double,uniform,CPU,"P | P | P | P | D | N",128,12,7.02131,0.003946,0.512344,0.241664,7.86155,7.77927
3,double,uniform,CPU,"P | P | P | P | D | N",128,13,6.90762,0.004126,0.522365,0.24064,7.75742,7.67475
3,double,uniform,CPU,"P | P | P | P | D | N",128,14,6.96205,0.004213,0.523905,0.24576,7.8179,7.73593
3,double,uniform,CPU,"P | P | P | P | D | N",128,15,7.05469,0.004163,0.523906,0.242688,7.91061,7.82545
3,double,uniform,CPU,"P | P | P | P | D | N",128,16,7.14362,0.003846,0.525122,0.241664,7.9936,7.91425
3,double,uniform,CPU,"P | P | P | P | D | N",128,17,7.05331,0.004071,0.525442,0.241664,7.90481,7.82449
3,double,uniform,CPU,"P | P | P | P | D | N",128,18,7.10726,0.003973,0.523829,0.239616,7.95525,7.87468
3,double,uniform,CPU,"P | P | P | P | D | N",128,19,7.04736,0.00424,0.525737,0.241664,7.90285,7.819
3,double,uniform,CPU,"P | P | P | P | D | N",192,0,24.0504,0.004568,1.64961,0.751616,26.5542,26.4562
3,double,uniform,CPU,"P | P | P | P | D | N",192,1,23.7446,0.004105,1.61407,0.749568,26.2028,26.1124
3,double,uniform,CPU,"P | P | P | P | D | N",192,2,23.8683,0.003869,1.61393,0.754688,26.3637,26.2408
3,double,uniform,CPU,"P | P | P | P | D | N",192,3,24.129,0.004188,1.62841,0.751616,26.608,26.5132
3,double,uniform,CPU,"P | P | P | P | D | N",192,4,23.9956,0.004222,1.61117,0.749568,26.457,26.3605
3,double,uniform,CPU,"P | P | P | P | D | N",192,5,23.7673,0.004213,1.61052,0.75776,26.2375,26.1398
3,double,uniform,CPU,"P | P | P | P | D | N",192,6,24.0125,0.004247,1.61715,0.756736,26.4856,26.3907
3,double,uniform,CPU,"P | P | P | P | D | N",192,7,23.9619,0.004157,1.61546,0.750592,26.4274,26.3321
3,double,uniform,CPU,"P | P | P | P | D | N",192,8,23.2443,0.004159,1.61284,0.748544,25.7038,25.6099
3,double,uniform,CPU,"P | P | P | P | D | N",192,9,24.0241,0.004219,1.6148,0.75264,26.4897,26.3957
3,double,uniform,CPU,"P | P | P | P | D | N",192,10,23.7971,0.004289,1.61953,0.750592,26.2816,26.1715
3,double,uniform,CPU,"P | P | P | P | D | N",192,11,23.9186,0.004275,1.61633,0.753664,26.3865,26.2929
3,double,uniform,CPU,"P | P | P | P | D | N",192,12,23.7231,0.004244,1.6198,0.755712,26.1997,26.1029
3,double,uniform,CPU,"P | P | P | P | D | N",192,13,23.4586,0.004148,1.61809,0.749568,25.9259,25.8304
3,double,uniform,CPU,"P | P | P | P | D | N",192,14,23.7693,0.004193,1.61411,0.754688,26.2366,26.1423
3,double,uniform,CPU,"P | P | P | P | D | N",192,15,24.1447,0.004426,1.61689,0.753664,26.6146,26.5197
3,double,uniform,CPU,"P | P | P | P | D | N",192,16,23.5202,0.004269,1.61444,0.758784,25.9906,25.8977
3,double,uniform,CPU,"P | P | P | P | D | N",192,17,23.9521,0.004416,1.61528,0.750592,26.4237,26.3224
3,double,uniform,CPU,"P | P | P | P | D | N",192,18,23.7744,0.004195,1.61636,0.751616,26.2394,26.1466
3,double,uniform,CPU,"P | P | P | P | D | N",192,19,23.9383,0.004305,1.6175,0.751616,26.4216,26.3117
3,double,uniform,CPU,"P | P | P | P | D | N",256,0,55.8177,0.003099,3.9161,1.75923,61.5919,61.4961
3,double,uniform,CPU,"P | P | P | P | D | N",256,1,55.6883,0.003059,3.86506,1.75206,61.3964,61.3085
3,double,uniform,CPU,"P | P | P | P | D | N",256,2,56.1916,0.002959,3.87761,1.75309,61.9218,61.8253
3,double,uniform,CPU,"P | P | P | P | D | N",256,3,56.363,0.003237,3.87216,1.75206,62.0837,61.9905
3,double,uniform,CPU,"P | P | P | P | D | N",256,4,56.2281,0.00315,3.87726,1.75104,61.9462,61.8596
3,double,uniform,CPU,"P | P | P | P | D | N",256,5,56.9988,0.00317,3.86004,1.75309,62.7063,62.6151
3,double,uniform,CPU,"P | P | P | P | D | N",256,6,56.7477,0.003459,3.87486,1.75309,62.4732,62.3791
3,double,uniform,CPU,"P | P | P | P | D | N",256,7,55.7229,0.003519,3.86371,1.75514,61.434,61.3452
3,double,uniform,CPU,"P | P | P | P | D | N",256,8,55.2696,0.002936,3.86305,1.75411,60.9756,60.8897
3,double,uniform,CPU,"P | P | P | P | D | N",256,9,55.6795,0.003169,3.86398,1.75514,61.3959,61.3018
3,double,uniform,CPU,"P | P | P | P | D | N",256,10,55.5889,0.003021,3.86525,1.75206,61.2999,61.2093
3,double,uniform,CPU,"P | P | P | P | D | N",256,11,56.1738,0.003475,3.88113,1.75206,61.9133,61.8104
3,double,uniform,CPU,"P | P | P | P | D | N",256,12,55.8651,0.00318,3.87456,1.75002,61.5859,61.4929
3,double,uniform,CPU,"P | P | P | P | D | N",256,13,55.986,0.003469,3.86645,1.75411,61.7009,61.61
3,double,uniform,CPU,"P | P | P | P | D | N",256,14,56.0604,0.003185,3.85531,1.75718,61.7617,61.6761
3,double,uniform,CPU,"P | P | P | P | D | N",256,15,55.9039,0.003216,3.86147,1.75206,61.6247,61.5207
3,double,uniform,CPU,"P | P | P | P | D | N",256,16,57.017,0.003227,3.85595,1.75002,62.7253,62.6262
3,double,uniform,CPU,"P | P | P | P | D | N",256,17,55.899,0.004109,3.91449,1.76947,61.6901,61.5871
3,double,uniform,CPU,"P | P | P | P | D | N",256,18,56.0005,0.003092,3.87137,1.75309,61.7189,61.628
3,double,uniform,CPU,"P | P | P | P | D | N",256,19,56.0724,0.003213,3.87066,1.75411,61.79,61.7004
3,double,uniform,CPU,"P | P | P | P | D | N",320,0,106.615,0.003058,9.01468,3.4304,119.155,119.064
3,double,uniform,CPU,"P | P | P | P | D | N",320,1,105.958,0.002804,8.99689,3.43859,118.485,118.396
3,double,uniform,CPU,"P | P | P | P | D | N",320,2,107.404,0.003012,8.99507,3.43859,119.931,119.84
3,double,uniform,CPU,"P | P | P | P | D | N",320,3,107.911,0.003122,8.99879,3.42938,120.436,120.342
3,double,uniform,CPU,"P | P | P | P | D | N",320,4,107.13,0.002891,8.99724,3.41811,119.639,119.548
3,double,uniform,CPU,"P | P | P | P | D | N",320,5,107.52,0.0028,9.00328,3.42835,120.041,119.954
3,double,uniform,CPU,"P | P | P | P | D | N",320,6,108.533,0.002878,9.00303,3.42118,121.053,120.96
3,double,uniform,CPU,"P | P | P | P | D | N",320,7,106.99,0.003074,8.99224,3.43757,119.514,119.423
3,double,uniform,CPU,"P | P | P | P | D | N",320,8,108.274,0.00324,8.99739,3.44781,120.816,120.723
3,double,uniform,CPU,"P | P | P | P | D | N",320,9,106.927,0.00312,8.99419,3.4263,119.44,119.35
3,double,uniform,CPU,"P | P | P | P | D | N",320,10,107.39,0.00309,8.99541,3.4345,119.916,119.823
3,double,uniform,CPU,"P | P | P | P | D | N",320,11,106.172,0.002928,9.00248,3.42528,118.693,118.603
3,double,uniform,CPU,"P | P | P | P | D | N",320,12,107.757,0.00305,8.99861,3.42221,120.276,120.181
3,double,uniform,CPU,"P | P | P | P | D | N",320,13,106.384,0.003023,9.00954,3.4304,118.919,118.827
3,double,uniform,CPU,"P | P | P | P | D | N",320,14,108.052,0.002889,9.01098,3.44269,120.6,120.508
3,double,uniform,CPU,"P | P | P | P | D | N",320,15,107.79,0.002792,8.99466,3.43245,120.309,120.22
3,double,uniform,CPU,"P | P | P | P | D | N",320,16,106.587,0.003222,9.00494,3.42323,119.109,119.019
3,double,uniform,CPU,"P | P | P | P | D | N",320,17,107.003,0.002906,9.00014,3.42221,119.52,119.428
3,double,uniform,CPU,"P | P | P | P | D | N",320,18,107.079,0.002868,8.99532,3.42938,119.595,119.506
3,double,uniform,CPU,"P | P | P | P | D | N",320,19,106.901,0.002885,9.00046,3.42733,119.423,119.332
3,double,uniform,CPU,"P | P | P | P | D | N",384,0,231.047,0.00354,15.0034,5.98016,252.122,252.035
3,double,uniform,CPU,"P | P | P | P | D | N",384,1,229.057,0.002859,14.9571,5.97811,250.083,249.996
3,double,uniform,CPU,"P | P | P | P | D | N",384,2,227.598,0.003047,14.9593,5.98118,248.626,248.541
3,double,uniform,CPU,"P | P | P | P | D | N",384,3,230.736,0.003121,14.9539,5.95763,251.739,251.651
3,double,uniform,CPU,"P | P | P | P | D | N",384,4,229.182,0.002939,14.9512,5.96685,250.192,250.103
3,double,uniform,CPU,"P | P | P | P | D | N",384,5,229.408,0.002905,14.9599,5.9607,250.419,250.331
3,double,uniform,CPU,"P | P | P | P | D | N",384,6,230.852,0.002943,14.9615,5.97299,251.876,251.79
3,double,uniform,CPU,"P | P | P | P | D | N",384,7,232.04,0.002932,14.9241,5.98323,253.038,252.95
3,double,uniform,CPU,"P | P | P | P | D | N",384,8,229.523,0.002794,14.9187,5.98528,250.52,250.43
3,double,uniform,CPU,"P | P | P | P | D | N",384,9,230.188,0.002953,14.9264,5.97299,251.178,251.09
3,double,uniform,CPU,"P | P | P | P | D | N",384,10,230.18,0.003359,14.9257,5.96787,251.168,251.077
3,double,uniform,CPU,"P | P | P | P | D | N",384,11,227.666,0.002951,14.9193,5.97709,248.652,248.565
3,double,uniform,CPU,"P | P | P | P | D | N",384,12,228.357,0.002831,14.9231,5.9689,249.339,249.252
3,double,uniform,CPU,"P | P | P | P | D | N",384,13,230.148,0.003024,14.9125,5.96582,251.116,251.029
3,double,uniform,CPU,"P | P | P | P | D | N",384,14,230.701,0.002826,14.9207,5.97606,251.685,251.6
3,double,uniform,CPU,"P | P | P | P | D | N",384,15,229.183,0.002741,14.8953,5.97402,250.143,250.055
3,double,uniform,CPU,"P | P | P | P | D | N",384,16,228.695,0.002705,14.8974,5.9607,249.643,249.556
3,double,uniform,CPU,"P | P | P | P | D | N",384,17,229.84,0.002719,14.8988,5.98426,250.815,250.726
3,double,uniform,CPU,"P | P | P | P | D | N",384,18,228.65,0.002812,14.8983,5.97606,249.617,249.527
3,double,uniform,CPU,"P | P | P | P | D | N",384,19,227.025,0.002859,14.9055,5.98016,248.001,247.913
3,double,uniform,CPU,"P | P | P | P | D | N",448,0,293.299,0.003085,33.268,9.5232,336.182,336.094
3,double,uniform,CPU,"P | P | P | P | D | N",448,1,295.219,0.002931,33.2591,9.5191,338.086,338
3,double,uniform,CPU,"P | P | P | P | D | N",448,2,296.553,0.002801,33.2623,9.52525,339.433,339.344
3,double,uniform,CPU,"P | P | P | P | D | N",448,3,298.476,0.003024,33.2629,9.5273,341.353,341.269
3,double,uniform,CPU,"P | P | P | P | D | N",448,4,293.18,0.002808,33.2539,9.53446,336.058,335.971
3,double,uniform,CPU,"P | P | P | P | D | N",448,5,293.432,0.003131,33.2472,9.5191,336.288,336.201
3,double,uniform,CPU,"P | P | P | P | D | N",448,6,291.049,0.002724,33.255,9.51398,333.909,333.821
3,double,uniform,CPU,"P | P | P | P | D | N",448,7,296.171,0.003003,33.2643,9.50579,339.031,338.944
3,double,uniform,CPU,"P | P | P | P | D | N",448,8,293.099,0.003024,33.2538,9.51398,335.957,335.87
3,double,uniform,CPU,"P | P | P | P | D | N",448,9,295.686,0.003027,33.2613,9.50784,338.546,338.458
3,double,uniform,CPU,"P | P | P | P | D | N",448,10,293.129,0.002868,33.2498,9.49555,335.963,335.877
3,double,uniform,CPU,"P | P | P | P | D | N",448,11,298.015,0.003153,33.2658,9.51194,340.885,340.796
3,double,uniform,CPU,"P | P | P | P | D | N",448,12,294.543,0.002816,33.2457,9.53242,337.411,337.324
3,double,uniform,CPU,"P | P | P | P | D | N",448,13,297.171,0.003523,33.2623,9.53242,340.056,339.969
3,double,uniform,CPU,"P | P | P | P | D | N",448,14,298.623,0.00276,33.2451,9.51808,341.474,341.389
3,double,uniform,CPU,"P | P | P | P | D | N",448,15,295.052,0.003036,33.2612,9.5232,337.926,337.839
3,double,uniform,CPU,"P | P | P | P | D | N",448,16,294.482,0.002819,33.2368,9.50989,337.32,337.232
3,double,uniform,CPU,"P | P | P | P | D | N",448,17,293.489,0.002815,33.244,9.51296,336.335,336.249
3,double,uniform,CPU,"P | P | P | P | D | N",448,18,293.479,0.003043,33.2591,9.53139,336.359,336.272
3,double,uniform,CPU,"P | P | P | P | D | N",448,19,293.419,0.002741,33.2694,9.52627,336.3,336.217
3,double,uniform,CPU,"P | P | P | P | D | N",512,0,445.406,0.002771,55.554,14.249,515.3,515.212
3,double,uniform,CPU,"P | P | P | P | D | N",512,1,441.153,0.00285,55.4748,14.2111,510.93,510.842
3,double,uniform,CPU,"P | P | P | P | D | N",512,2,436.636,0.002786,55.6163,14.2715,506.613,506.527
3,double,uniform,CPU,"P | P | P | P | D | N",512,3,439.678,0.002785,55.3743,14.251,509.393,509.306
3,double,uniform,CPU,"P | P | P | P | D | N",512,4,438.03,0.002802,55.3385,14.2572,507.721,507.628
3,double,uniform,CPU,"P | P | P | P | D | N",512,5,438.553,0.002822,55.4633,14.2244,508.327,508.244
3,double,uniform,CPU,"P | P | P | P | D | N",512,6,437.773,0.003147,55.5063,14.2602,507.63,507.543
3,double,uniform,CPU,"P | P | P | P | D | N",512,7,444.655,0.002845,55.2679,14.2275,514.238,514.154
3,double,uniform,CPU,"P | P | P | P | D | N",512,8,440.168,0.002819,55.166,14.249,509.674,509.586
3,double,uniform,CPU,"P | P | P | P | D | N",512,9,437.552,0.002788,55.4996,14.2275,507.368,507.282
3,double,uniform,CPU,"P | P | P | P | D | N",512,10,441.85,0.002856,55.0124,14.2664,511.218,511.132
3,double,uniform,CPU,"P | P | P | P | D | N",512,11,436.82,0.002868,55.6108,14.251,506.772,506.685
3,double,uniform,CPU,"P | P | P | P | D | N",512,12,438.354,0.002796,55.3401,14.2418,508.027,507.939
3,double,uniform,CPU,"P | P | P | P | D | N",512,13,442.166,0.002907,55.3841,14.2541,511.894,511.807
3,double,uniform,CPU,"P | P | P | P | D | N",512,14,442.311,0.003006,55.5857,14.2387,512.232,512.138
3,double,uniform,CPU,"P | P | P | P | D | N",512,15,440.624,0.003085,55.4191,14.2418,510.372,510.287
3,double,uniform,CPU,"P | P | P | P | D | N",512,16,435.245,0.002793,55.2932,14.2428,504.87,504.784
3,double,uniform,CPU,"P | P | P | P | D | N",512,17,440.246,0.002824,55.215,14.2285,509.781,509.693
3,double,uniform,CPU,"P | P | P | P | D | N",512,18,437.425,0.002797,55.3167,14.2203,507.052,506.965
3,double,uniform,CPU,"P | P | P | P | D | N",512,19,436.176,0.002797,55.3372,14.2602,505.862,505.777
