dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"N | N | N | N",256,19,0.165952,0,0.048837,0.012288,0.281113,0.227077
2,float,uniform,CPU,"N | N | N | N",320,0,0.25616,0,0.09311,0.022528,0.433463,0.371798
2,float,uniform,CPU,"N | N | N | N",320,1,0.257536,0,0.060317,0.01536,0.389181,0.333213
2,float,uniform,CPU,"N | N | N | N",320,2,0.248128,0,0.05935,0.014336,0.376042,0.321814
2,float,uniform,CPU,"N | N | N | N",320,3,0.244512,0,0.060188,0.014336,0.370872,0.319036
2,float,uniform,CPU,"N | N | N | N",320,4,0.252192,0,0.059037,0.01536,0.378606,0.326589
2,float,uniform,CPU,"N | N | N | N",320,5,0.248128,0,0.15489,0.016384,0.471411,0.419402
2,float,uniform,CPU,"N | N | N | N",320,6,0.25248,0,0.059086,0.014336,0.378005,0.325902
2,float,uniform,CPU,"N | N | N | N",320,7,0.244576,0,0.05954,0.01536,0.370559,0.319476
2,float,uniform,CPU,"N | N | N | N",320,8,0.244064,0,0.059309,0.014336,0.369838,0.317709
2,float,uniform,CPU,"N | N | N | N",320,9,0.244768,0,0.059053,0.014336,0.36988,0.318157
2,float,uniform,CPU,"N | N | N | N",320,10,0.249696,0,0.058768,0.014336,0.374839,0.3228
2,float,uniform,CPU,"N | N | N | N",320,11,0.243776,0,0.059321,0.014336,0.370042,0.317433
2,float,uniform,CPU,"N | N | N | N",320,12,0.246208,0,0.060356,0.013312,0.373552,0.319876
2,float,uniform,CPU,"N | N | N | N",320,13,0.245792,0,0.05951,0.01536,0.372705,0.320662
2,float,uniform,CPU,"N | N | N | N",320,14,0.24576,0,0.058984,0.014336,0.37128,0.31908
2,float,uniform,CPU,"N | N | N | N",320,15,0.248864,0,0.060042,0.014336,0.375956,0.323242
2,float,uniform,CPU,"N | N | N | N",320,16,0.244128,0,0.05973,0.013312,0.370884,0.31717
2,float,uniform,CPU,"N | N | N | N",320,17,0.24528,0,0.059139,0.01536,0.376764,0.319779
2,float,uniform,CPU,"N | N | N | N",320,18,0.244224,0,0.060009,0.01536,0.377446,0.319593
2,float,uniform,CPU,"N | N | N | N",320,19,0.243488,0,0.059578,0.013312,0.36963,0.316378
2,float,uniform,CPU,"N | N | N | N",384,0,0.342656,0,0.133675,0.019456,0.562261,0.495787
2,float,uniform,CPU,"N | N | N | N",384,1,0.357056,0,0.122678,0.01536,0.551521,0.495094
2,float,uniform,CPU,"N | N | N | N",384,2,0.339328,0,0.122731,0.01536,0.531278,0.477419
2,float,uniform,CPU,"N | N | N | N",384,3,0.33472,0,0.120542,0.014336,0.528101,0.469598
2,float,uniform,CPU,"N | N | N | N",384,4,0.337312,0,0.121249,0.014336,0.526494,0.472897
2,float,uniform,CPU,"N | N | N | N",384,5,0.440288,0,0.120618,0.01536,0.628879,0.576266
2,float,uniform,CPU,"N | N | N | N",384,6,0.33392,0,0.121416,0.013312,0.523417,0.468648
2,float,uniform,CPU,"N | N | N | N",384,7,0.335744,0,0.120437,0.01536,0.524001,0.471541
2,float,uniform,CPU,"N | N | N | N",384,8,0.341408,0,0.120436,0.014336,0.529641,0.47618
2,float,uniform,CPU,"N | N | N | N",384,9,0.343872,0,0.121175,0.01536,0.532923,0.480407
