dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,0,0.691008,0.003069,5.49529,1.88314,8.20931,8.0725
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,1,0.694752,0.003254,5.47395,1.89235,8.20405,8.06431
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,2,0.689408,0.003102,5.48938,1.8944,8.21976,8.07629
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,3,0.688416,0.003062,5.48396,1.8944,8.20886,8.06983
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,4,0.690592,0.003107,5.49155,1.8944,8.21926,8.07965
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,5,0.696256,0.00311,5.49006,1.89235,8.22313,8.08178
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,6,0.721888,0.003805,5.50821,1.90874,8.27882,8.14264
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,7,0.69056,0.003149,5.48467,1.88928,8.20831,8.06766
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,8,0.689856,0.003088,5.48404,1.89338,8.21068,8.07036
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,9,0.695872,0.00317,5.49352,1.8903,8.22065,8.08286
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,10,0.695776,0.003451,5.48258,1.89542,8.21761,8.07723
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,11,0.690592,0.003422,5.48281,1.8985,8.21694,8.07532
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,12,0.69744,0.003548,5.49468,1.89338,8.23009,8.08905
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,13,0.689408,0.003068,5.48544,1.88826,8.20279,8.06617
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,14,0.694752,0.003125,5.48509,1.88109,8.20291,8.06405
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,15,0.692384,0.003172,5.48493,1.88928,8.20777,8.06976
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,16,0.693248,0.004035,5.47881,1.8985,8.21892,8.07459
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,17,0.689184,0.003169,5.48189,1.88826,8.20274,8.0625
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,18,0.695328,0.003401,5.48087,1.8903,8.20919,8.0699
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",320,19,0.69472,0.003192,5.47691,1.89235,8.20444,8.06717
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,0,1.18128,0.00336,9.97281,3.28294,14.5813,14.4404
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,1,1.1791,0.003167,9.95757,3.27578,14.5546,14.4156
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,2,1.18662,0.00309,9.94796,3.27885,14.557,14.4165
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,3,1.18672,0.003125,9.96433,3.26656,14.5617,14.4207
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,4,1.17939,0.00311,9.96587,3.27373,14.562,14.4221
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,5,1.17757,0.003167,9.96883,3.27475,14.5644,14.4243
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,6,1.18563,0.003297,9.95854,3.26554,14.5527,14.413
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,7,1.18694,0.004962,9.96964,3.26656,14.5729,14.4281
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,8,1.17994,0.003231,9.96807,3.27373,14.5649,14.425
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,9,1.17891,0.00316,9.93784,3.27578,14.5371,14.3957
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,10,1.18064,0.003104,9.95042,3.2727,14.5479,14.4069
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,11,1.18653,0.003124,9.96671,3.26554,14.5639,14.4219
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,12,1.18141,0.003118,9.96523,3.27373,14.5617,14.4235
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,13,1.18566,0.003142,9.96552,3.27373,14.5656,14.428
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,14,1.18707,0.003311,9.96818,3.27578,14.5738,14.4343
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,15,1.18016,0.003335,9.96265,3.27066,14.5565,14.4168
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,16,1.18246,0.003115,9.96776,3.27168,14.5639,14.425
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,17,1.18413,0.003141,9.96164,3.2768,14.5647,14.4257
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,18,1.18048,0.003115,9.97549,3.26656,14.5646,14.4256
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",384,19,1.1792,0.003199,9.95642,3.27782,14.5544,14.4166
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,0,1.89366,0.003876,16.5384,5.38317,23.9653,23.8191
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,1,1.88531,0.003744,16.4765,5.38522,23.8903,23.7508
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,2,1.88496,0.003195,16.4934,5.37498,23.8961,23.7565
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,3,1.88147,0.003136,16.4965,5.35962,23.879,23.7407
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,4,1.88362,0.003091,16.4942,5.37293,23.8932,23.7539
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,5,1.87792,0.003086,16.4824,5.35347,23.8567,23.7169
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,6,1.88538,0.003296,16.4957,5.36166,23.8863,23.746
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,7,1.88621,0.003173,16.4846,5.3719,23.8836,23.7459
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,8,1.88432,0.003126,16.4937,5.36474,23.8841,23.7459
