dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,4,93.5575,0.003163,7.78854,3.24813,104.685,104.597
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,5,92.7971,0.002923,7.82076,3.2553,103.965,103.876
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,6,92.905,0.003109,7.70399,3.25222,103.954,103.864
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,7,94.0399,0.003164,7.71475,3.2471,105.094,105.005
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,8,93.205,0.002917,7.78725,3.2512,104.336,104.246
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,9,93.3426,0.002933,7.75358,3.25018,104.44,104.349
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,10,94.2654,0.0029,7.75833,3.25018,105.367,105.277
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,11,93.8521,0.002919,7.82607,3.2471,105.019,104.928
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,12,93.4008,0.002899,7.75766,3.24915,104.496,104.411
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,13,92.6947,0.002923,7.79674,3.24506,103.829,103.739
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,14,92.7871,0.002907,7.77102,3.25325,103.9,103.814
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,15,92.6221,0.002843,7.71992,3.24915,103.68,103.594
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,16,93.3608,0.003054,7.76639,3.25939,104.479,104.39
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,17,93.6568,0.002881,7.75352,3.24915,104.752,104.662
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,18,93.3409,0.002881,7.78036,3.2471,104.461,104.371
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,19,92.8838,0.002913,7.77239,3.2512,104.001,103.91
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,0,147.321,0.002991,15.6841,5.31251,168.41,168.321
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,1,147.212,0.002967,15.7396,5.33709,168.38,168.292
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,2,146.074,0.003033,15.7358,5.33299,167.233,167.146
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,3,148.138,0.003011,15.5948,5.33094,169.155,169.067
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,4,146.599,0.002961,15.7862,5.33094,167.811,167.719
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,5,147.298,0.003094,15.76,5.33197,168.482,168.393
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,6,147.453,0.003094,15.6721,5.32582,168.542,168.454
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,7,147.83,0.003002,15.7495,5.32275,168.99,168.905
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,8,146.585,0.002977,15.5852,5.34016,167.607,167.513
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,9,147.282,0.002968,15.7287,5.34528,168.449,168.359
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,10,148.674,0.002962,15.6694,5.3289,169.767,169.675
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,11,145.761,0.003111,15.7365,5.33094,166.918,166.831
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,12,148.131,0.003235,15.659,5.32378,169.206,169.117
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,13,148.003,0.003289,15.7001,5.32173,169.118,169.028
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,14,145.783,0.002883,15.6577,5.32582,166.855,166.769
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,15,147.487,0.003177,15.7431,5.33094,168.652,168.564
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,16,146.648,0.003752,15.8234,5.3289,167.896,167.805
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,17,147.641,0.002915,15.6592,5.32173,168.713,168.625
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,18,149.425,0.00324,15.7343,5.33299,170.585,170.496
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",448,19,147.282,0.002945,15.8249,5.33504,168.535,168.445
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,0,218.47,0.002901,20.7991,7.48954,246.849,246.761
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,1,221.909,0.002898,20.6814,7.48134,250.161,250.074
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,2,223.304,0.002838,20.7094,7.47725,251.581,251.494
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,3,218.272,0.002998,20.8081,7.48954,246.666,246.573
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,4,221.827,0.002869,20.6274,7.48646,250.031,249.944
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,5,218.508,0.002883,20.7038,7.47827,246.782,246.693
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,6,220.424,0.002905,20.6955,7.48442,248.695,248.607
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,7,224.623,0.002972,20.5244,7.50387,252.744,252.655
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,8,220.098,0.002921,20.6861,7.49466,248.37,248.282
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,9,221.216,0.003202,20.501,7.4793,249.297,249.2
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,10,222.048,0.00305,20.6073,7.48339,250.228,250.142
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,11,221.768,0.003161,20.6628,7.48544,250.012,249.919
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,12,222.445,0.003186,20.5889,7.4967,250.622,250.534
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,13,218.826,0.002945,20.8277,7.48544,247.23,247.142
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,14,223.471,0.00298,20.4269,7.47725,251.466,251.378
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,15,221.122,0.002971,20.4646,7.50899,249.188,249.098
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,16,219.295,0.003027,20.4658,7.48954,247.338,247.253
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,17,219.578,0.002898,20.6229,7.47213,247.763,247.676
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,18,220.415,0.002892,20.3822,7.5049,248.393,248.305
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",512,19,220.399,0.003187,20.5469,7.50182,248.538,248.451
