dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,1,0.693568,0.003207,5.46867,1.92,8.2316,8.08545
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,2,0.694144,0.003192,5.47091,1.90874,8.21922,8.07699
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,3,0.69216,0.003156,5.46445,1.92,8.22482,8.07977
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,4,0.692928,0.003404,5.46335,1.90976,8.21323,8.06944
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,5,0.693504,0.003197,5.47846,1.91283,8.23252,8.08799
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,6,0.692864,0.0034,5.4643,1.91283,8.2151,8.07339
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,7,0.694112,0.003201,5.46923,1.91386,8.22336,8.08039
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,8,0.6944,0.003149,5.46557,1.90976,8.21868,8.07287
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,9,0.69104,0.003435,5.46209,1.91693,8.21411,8.07349
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,10,0.691872,0.00317,5.46979,1.90464,8.21294,8.06948
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,11,0.692352,0.003222,5.47196,1.91078,8.224,8.07832
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,12,0.694112,0.00351,5.47369,1.90566,8.22061,8.07697
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,13,0.694144,0.003277,5.47357,1.90976,8.2244,8.08075
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,14,0.693088,0.003214,5.47532,1.90874,8.22421,8.08036
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,15,0.693728,0.00393,5.49883,1.92205,8.26741,8.11854
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,16,0.693216,0.003159,5.46643,1.91693,8.22221,8.07973
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,17,0.691584,0.003236,5.47951,1.91181,8.22867,8.08614
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,18,0.693632,0.003415,5.47513,1.90771,8.22499,8.07989
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,19,0.692832,0.003189,5.46892,1.90259,8.21125,8.06753
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,0,1.1824,0.003148,10.1905,3.30445,14.8275,14.6805
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,1,1.18368,0.003226,10.113,3.30957,14.7507,14.6095
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,2,1.18387,0.003308,10.261,3.31264,14.9,14.7608
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,3,1.1807,0.00322,10.0858,3.30547,14.7138,14.5752
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,4,1.18086,0.003246,10.1186,3.29728,14.7395,14.5999
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,5,1.18333,0.003103,10.0568,3.30547,14.6898,14.5487
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,6,1.17968,0.003162,10.1385,3.30752,14.7707,14.6289
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,7,1.18349,0.003252,10.1764,3.31162,14.8155,14.6748
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,8,1.18246,0.00352,10.0982,3.30445,14.7285,14.5887
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,9,1.18237,0.003303,10.1684,3.31366,14.8065,14.6678
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,10,1.18157,0.003486,10.1476,3.30445,14.7769,14.6371
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,11,1.18467,0.003212,10.1188,3.30138,14.75,14.608
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,12,1.18189,0.003258,10.1034,3.29933,14.7297,14.5879
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,13,1.18141,0.003435,10.1439,3.29933,14.767,14.6281
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,14,1.18205,0.003172,10.1453,3.29933,14.7708,14.6299
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,15,1.18195,0.003182,10.3082,3.29933,14.9324,14.7927
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,16,1.18093,0.003428,10.1944,3.30342,14.8218,14.6822
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,17,1.17984,0.003148,10.2732,3.30445,14.9001,14.7606
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,18,1.18061,0.003171,10.0916,3.31469,14.7293,14.59
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",384,19,1.18173,0.003208,10.12,3.29731,14.7445,14.6022
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,0,1.88496,0.00313,16.3604,5.44461,23.8356,23.6931
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,1,1.88842,0.003136,16.3234,5.40467,23.7593,23.6196
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,2,1.88138,0.003144,16.3236,5.41594,23.766,23.6241
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,3,1.90611,0.003883,16.3415,5.42106,23.8124,23.6725
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,4,1.88496,0.003194,16.3114,5.41696,23.7575,23.6165
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,5,1.88157,0.003564,16.3204,5.42003,23.7653,23.6255
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,6,1.8783,0.003225,16.3197,5.41184,23.7561,23.613
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,7,1.88346,0.003198,16.322,5.40877,23.7564,23.6174
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,8,1.88035,0.003287,16.3178,5.40979,23.7522,23.6113
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,9,1.88624,0.003538,16.3186,5.42208,23.7735,23.6304
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,10,1.88381,0.003235,16.3193,5.41696,23.7647,23.6233
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,11,1.8833,0.003508,16.3166,5.42925,23.7738,23.6326
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,12,1.87635,0.003208,16.3197,5.42413,23.7635,23.6234
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,13,1.88205,0.003212,16.3108,5.4272,23.7634,23.6233
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,14,1.88032,0.003224,16.3196,5.41798,23.7614,23.6211
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,15,1.88432,0.003229,16.3308,5.41901,23.7778,23.6374
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,16,1.87853,0.003275,16.3214,5.40979,23.7542,23.613
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,17,1.8873,0.003244,16.3077,5.4313,23.77,23.6296
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,18,1.88339,0.00318,16.3328,5.42106,23.7815,23.6405
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",448,19,1.88035,0.003169,16.3337,5.41696,23.7743,23.6341
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,0,2.76234,0.003227,34.6423,7.61856,45.1703,45.0264
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,1,2.75827,0.00316,33.9646,7.5735,44.4455,44.2995
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,2,2.76157,0.00318,34.4415,7.5735,44.9296,44.7798
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,3,2.75376,0.003281,34.8094,7.58067,45.2919,45.1471
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,4,2.76262,0.003348,34.1363,7.5817,44.6294,44.484
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,5,2.75533,0.003197,34.2613,7.57146,44.7351,44.5913
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,6,2.75498,0.003296,34.7215,7.5479,45.1758,45.0276
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,7,2.75302,0.003185,34.7839,7.57043,45.2547,45.1105
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,8,2.75798,0.003308,33.9988,7.57146,44.4803,44.3315
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,9,2.75664,0.003194,34.4221,7.57248,44.8996,44.7544
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,10,2.75411,0.003176,34.5558,7.57658,45.0338,44.8897
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,11,2.76374,0.003253,34.1457,7.5735,44.6312,44.4862
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,12,2.75357,0.003511,34.709,7.58272,45.1912,45.0488
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,13,2.7624,0.003208,34.8304,7.55712,45.2985,45.1531
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,14,2.76266,0.003232,35.2384,7.56838,45.7174,45.5727
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,15,2.76144,0.003382,34.7786,7.54176,45.2289,45.0852
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,16,2.75443,0.003177,34.3471,7.5776,44.8257,44.6823
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,17,2.7528,0.003455,34.5373,7.57146,45.01,44.865
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,18,2.75962,0.003313,34.5739,7.57453,45.0564,44.9113
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",512,19,2.75248,0.0032,33.8963,7.5991,44.3985,44.2511
