dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,0.641536,0.004362,0.11086,0.380928,1.2455,1.13769
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,0.605504,0.003774,0.057122,0.016384,0.742103,0.682784
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,0.613696,0.00378,0.057439,0.014336,0.751238,0.689251
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,0.61312,0.003727,0.056707,0.01536,0.749622,0.688914
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,0.619264,0.003757,0.057556,0.01536,0.756481,0.695937
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,0.747008,0.003665,0.057054,0.01536,0.884336,0.823087
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,3.32662,0.004521,0.272274,0.070656,3.76777,3.67407
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,3.33869,0.0042,0.314217,0.063488,3.79154,3.72059
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,3.43898,0.004057,0.224281,0.06144,3.79761,3.72875
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,3.42336,0.004028,0.226857,0.062464,3.78277,3.71671
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,3.37072,0.003998,0.225183,0.062464,3.72773,3.66236
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,3.4192,0.004019,0.229627,0.062464,3.78402,3.71531
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,3.37002,0.004031,0.224001,0.062464,3.72714,3.66051
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,3.35523,0.003956,0.274486,0.060416,3.76108,3.69409
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,3.45011,0.004048,0.22723,0.06144,3.8083,3.74283
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,3.48378,0.004016,0.229513,0.062464,3.84752,3.77977
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,3.3633,0.004063,0.223762,0.065536,3.72164,3.65666
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,3.34787,0.004098,0.232174,0.06144,3.71241,3.64558
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,3.35347,0.004046,0.22353,0.06144,3.71659,3.64249
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,3.37347,0.003951,0.224019,0.06144,3.72883,3.66288
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,3.44771,0.004201,0.221278,0.06144,3.80059,3.73463
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,3.45891,0.004078,0.223619,0.060416,3.8136,3.74702
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,3.43818,0.00396,0.224432,0.060416,3.7972,3.72698
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,3.3449,0.004055,0.283049,0.060416,3.75944,3.69242
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,3.37286,0.00397,0.224121,0.06144,3.72853,3.6624
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,3.3792,0.003871,0.222392,0.06144,3.73344,3.6669
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,11.9857,0.004218,0.664583,0.223232,12.9677,12.8777
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,11.9055,0.004184,0.625141,0.224256,12.8417,12.7591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,11.8707,0.00426,0.622645,0.22016,12.8003,12.7177
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,11.9804,0.00443,0.631043,0.222208,12.9201,12.8381
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,11.8645,0.004365,0.628769,0.222208,12.8012,12.7199
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,11.947,0.004129,0.625369,0.222208,12.8771,12.7987
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,11.9406,0.00412,0.626077,0.222208,12.8739,12.793
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,12.0522,0.004342,0.620681,0.219136,12.9795,12.8964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,11.8828,0.004173,0.627606,0.223232,12.8194,12.7379
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,11.8069,0.004047,0.622246,0.221184,12.7339,12.6544
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,11.8976,0.004279,0.624565,0.223232,12.8293,12.7496
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,11.7526,0.004147,0.621261,0.222208,12.6803,12.6003
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,11.9633,0.004338,0.620187,0.223232,12.8955,12.8111
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,11.8127,0.004484,0.622971,0.222208,12.7426,12.6624
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,11.939,0.004252,0.623089,0.224256,12.8738,12.7906
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,12.228,0.004282,0.622693,0.222208,13.1583,13.0772
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,11.698,0.004206,0.625323,0.224256,12.6334,12.5518
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,11.825,0.004461,0.624182,0.226304,12.7738,12.6799
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,11.7746,0.004243,0.63361,0.22528,12.7166,12.6377
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,11.8344,0.00416,0.618832,0.221184,12.7666,12.6786
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,0,28.3682,0.004111,1.60627,0.520192,30.5895,30.4988
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,1,28.2624,0.004215,1.5563,0.507904,30.4162,30.3308
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,2,28.4981,0.003971,1.55475,0.508928,30.6537,30.5657
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,3,28.3102,0.012791,1.55567,0.508928,30.4753,30.3876
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,4,28.7137,0.004007,1.56384,0.509952,30.8794,30.7915
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,5,28.5378,0.003971,1.56484,0.513024,30.7066,30.6197
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,6,28.4394,0.004029,1.55551,0.510976,30.5965,30.5099
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,7,28.291,0.004329,1.5589,0.514048,30.4545,30.3683
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,8,28.2858,0.00439,1.56071,0.512,30.4493,30.3629
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,9,28.2691,0.003995,1.56039,0.507904,30.4272,30.3413
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,10,28.4965,0.00429,1.56294,0.510976,30.6656,30.5747
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,11,28.5613,0.003979,1.56144,0.512,30.7237,30.6387
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,12,28.4475,0.004009,1.5612,0.510976,30.6111,30.5236
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,13,27.9658,0.004019,1.56551,0.508928,30.1291,30.0443
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,14,28.5017,0.004197,1.55863,0.508928,30.6587,30.5734
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,15,28.2865,0.003908,1.56267,0.509952,30.4449,30.363
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,16,28.3588,0.003844,1.56358,0.507904,30.519,30.4341
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,17,29.63,0.003969,1.56444,0.509952,31.8101,31.7083
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,18,28.3858,0.005141,1.61632,0.533504,30.6325,30.5408
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",256,19,28.1551,0.004013,1.56327,0.510976,30.3182,30.2333
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,0,53.8275,0.003057,4.71078,0.929792,59.5526,59.4711
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,1,53.7156,0.002957,4.69001,0.93184,59.4305,59.3404
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,2,54.292,0.002949,4.68282,0.934912,59.9933,59.9126
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,3,54.2468,0.002936,4.68655,0.929792,59.9489,59.8661
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,4,53.6404,0.002995,4.69269,0.935936,59.3484,59.272
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,5,53.3862,0.003021,4.68394,0.93184,59.0934,59.005
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,6,53.7519,0.002973,4.68888,0.93184,59.4599,59.3756
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,7,54.0397,0.003238,4.68073,0.930816,59.7343,59.6545
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,8,53.5351,0.003123,4.68095,0.93184,59.2312,59.151
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,9,53.9497,0.003021,4.68013,0.929792,59.6381,59.5626
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,10,54.7872,0.002987,4.68892,0.940032,60.4974,60.4191
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,11,54.9132,0.00311,4.68159,0.93184,60.6079,60.5297
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,12,54.4751,0.002975,4.69052,0.927744,60.175,60.0964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,13,54.3962,0.003335,4.68387,0.932864,60.0947,60.0162
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,14,54.4559,0.003057,4.69112,0.92672,60.152,60.0768
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,15,53.4562,0.003022,4.67883,0.932864,59.1457,59.0709
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,16,54.8775,0.003018,4.68758,0.932864,60.5804,60.501
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,17,54.2759,0.003093,4.703,0.932864,59.9926,59.9149
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,18,53.8451,0.003238,4.68944,0.933888,59.5485,59.4716
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",320,19,54.0989,0.003095,4.70858,0.928768,59.8494,59.7394
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,0,92.2526,0.00309,8.50356,1.63635,102.486,102.396
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,1,92.5556,0.002975,8.44154,1.62509,102.709,102.625
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,2,92.9274,0.003301,8.44542,1.62406,103.081,103
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,3,93.0255,0.00292,8.45139,1.6169,103.178,103.097
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,4,93.0037,0.002946,8.45049,1.62202,103.158,103.079
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,5,92.8339,0.003096,8.46017,1.61792,102.999,102.915
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,6,92.1426,0.003321,8.46221,1.62714,102.317,102.235
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,7,92.3067,0.003105,8.45398,1.62406,102.472,102.388
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,8,93.1807,0.003287,8.45877,1.61894,103.345,103.262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,9,93.2632,0.002969,8.44585,1.62202,103.415,103.334
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,10,93.1698,0.003366,8.4457,1.61792,103.32,103.237
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,11,92.5266,0.003249,8.45743,1.61587,102.684,102.603
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,12,93.8895,0.003212,8.44763,1.62099,104.042,103.961
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,13,92.7073,0.002987,8.44927,1.6128,102.862,102.772
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,14,92.2743,0.003429,8.46193,2.11763,103.216,102.857
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,15,94.1165,0.003312,8.44871,1.61178,104.263,104.18
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,16,93.5088,0.002864,8.44703,1.62099,103.658,103.58
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,17,92.4901,0.003018,8.45545,1.6169,102.649,102.565
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,18,93.8913,0.002848,8.44989,1.61792,104.042,103.962
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,19,91.8345,0.002764,8.45023,1.62406,101.992,101.912
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,0,145.792,0.002885,13.9934,2.70029,162.571,162.489
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,1,147.74,0.00283,13.9782,2.66752,164.469,164.389
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,2,145.169,0.002843,13.9689,2.66445,161.886,161.806
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,3,148.166,0.002892,12.9822,2.62042,163.852,163.771
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,4,145.735,0.002913,12.9916,2.62144,161.433,161.351
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,5,146.881,0.002745,12.9906,2.62144,162.58,162.496
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,6,146.445,0.003141,12.9901,2.63475,162.156,162.073
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,7,148.06,0.002813,12.9807,2.63168,163.756,163.675
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,8,150.154,0.002826,12.9826,2.62963,165.851,165.769
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,9,146.729,0.00287,12.7297,2.61427,162.155,162.076
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,10,146.892,0.002862,12.7443,2.60301,162.323,162.242
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,11,146.806,0.002887,12.7325,2.60403,162.224,162.145
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,12,148.05,0.002943,12.7476,2.6071,163.494,163.407
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,13,147.817,0.002819,12.735,2.60301,163.242,163.158
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,14,146.598,0.002919,12.32,2.58662,161.587,161.508
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,15,146.708,0.002922,12.3048,2.57741,161.675,161.593
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,16,147.794,0.002937,12.3133,2.58765,162.785,162.698
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,17,146.787,0.002868,12.3229,2.58458,161.789,161.698
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,18,146.459,0.002846,12.3089,2.58867,161.44,161.359
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,19,147.95,0.002794,12.3141,2.58867,162.936,162.855
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,0,218.892,0.002854,21.4108,3.49594,243.879,243.801
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,1,221.595,0.00314,21.3785,3.51846,246.576,246.495
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,2,221.266,0.002837,21.385,3.5072,246.249,246.161
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,3,221.157,0.003257,21.318,3.5072,246.067,245.985
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,4,217.565,0.002755,21.3193,3.49491,242.46,242.382
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,5,221.785,0.002815,21.3223,3.51027,246.704,246.621
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,6,219.611,0.003104,21.3221,3.50618,244.522,244.443
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,7,218.302,0.002845,21.3164,3.49798,243.203,243.119
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,8,220.381,0.002878,21.3151,3.51642,245.297,245.216
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,9,219.984,0.002891,21.3242,3.51334,244.912,244.825
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,10,221.609,0.003099,21.3101,3.50618,246.509,246.429
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,11,217.368,0.002816,21.3236,3.50106,242.275,242.195
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,12,224.063,0.002821,21.318,3.50413,248.973,248.888
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,13,220.377,0.00317,21.3103,3.49696,245.268,245.187
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,14,221.763,0.002833,21.3136,3.51437,246.673,246.594
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,15,219.612,0.002864,21.3178,3.51027,244.519,244.443
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,16,218.822,0.003315,21.3222,3.50413,243.732,243.651
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,17,218.812,0.00283,21.315,3.51027,243.721,243.64
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,18,220.477,0.002816,21.3113,3.5113,245.386,245.303
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,19,218.705,0.003158,21.3289,3.5113,243.627,243.548
