dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ns",384,2,0.02048,0,0.025661,0.012288,0.105198,0.058429
1,double,uniform,GPU,"Ns | Ns",384,3,0.02048,0,0.025394,0.012288,0.104058,0.058162
1,double,uniform,GPU,"Ns | Ns",384,4,0.019456,0,0.024491,0.012288,0.101901,0.056235
1,double,uniform,GPU,"Ns | Ns",384,5,0.019456,0,0.02456,0.012288,0.105503,0.056304
1,double,uniform,GPU,"Ns | Ns",384,6,0.018432,0,0.024635,0.012288,0.101341,0.055355
1,double,uniform,GPU,"Ns | Ns",384,7,0.019456,0,0.025184,0.012288,0.102396,0.056928
1,double,uniform,GPU,"Ns | Ns",384,8,0.017408,0,0.024895,0.011264,0.099649,0.053567
1,double,uniform,GPU,"Ns | Ns",384,9,0.02048,0,0.024374,0.011264,0.104154,0.056118
1,double,uniform,GPU,"Ns | Ns",384,10,0.017408,0,0.023933,0.013312,0.100337,0.054653
1,double,uniform,GPU,"Ns | Ns",384,11,0.019456,0,0.025056,0.011264,0.101875,0.055776
1,double,uniform,GPU,"Ns | Ns",384,12,0.018432,0,0.024737,0.011264,0.101322,0.054433
1,double,uniform,GPU,"Ns | Ns",384,13,0.019456,0,0.024193,0.011264,0.10164,0.054913
1,double,uniform,GPU,"Ns | Ns",384,14,0.019456,0,0.024325,0.014336,0.105347,0.058117
1,double,uniform,GPU,"Ns | Ns",384,15,0.017408,0,0.024521,0.011264,0.101156,0.053193
1,double,uniform,GPU,"Ns | Ns",384,16,0.018432,0,0.024254,0.011264,0.100248,0.05395
1,double,uniform,GPU,"Ns | Ns",384,17,0.018432,0,0.024434,0.011264,0.100556,0.05413
1,double,uniform,GPU,"Ns | Ns",384,18,0.019456,0,0.024733,0.012288,0.102101,0.056477
1,double,uniform,GPU,"Ns | Ns",384,19,0.018432,0,0.024485,0.013312,0.102494,0.056229
1,double,uniform,GPU,"Ns | Ns",448,0,0.029696,0,0.031039,0.01536,0.129679,0.076095
1,double,uniform,GPU,"Ns | Ns",448,1,0.021504,0,0.024953,0.014336,0.108007,0.060793
1,double,uniform,GPU,"Ns | Ns",448,2,0.019456,0,0.023151,0.026624,0.12022,0.069231
1,double,uniform,GPU,"Ns | Ns",448,3,0.019456,0,0.022804,0.014336,0.100864,0.056596
