dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",64,0,0.039232,0.004044,0.106478,0.442368,0.740825,0.592122
3,double,uniform,GPU,"P | P | P | P | D | N",192,1,0.3136,0.004247,1.57269,0.75776,2.79749,2.64829
3,double,uniform,GPU,"P | P | P | P | D | N",192,2,0.306336,0.004008,1.57642,0.75264,2.7829,2.6394
3,double,uniform,GPU,"P | P | P | P | D | N",192,3,0.308736,0.004204,1.57526,0.755712,2.78938,2.64392
3,double,uniform,GPU,"P | P | P | P | D | N",192,4,0.312608,0.004282,1.5809,0.758784,2.80249,2.65658
3,double,uniform,GPU,"P | P | P | P | D | N",192,5,0.30544,0.004274,1.57691,0.75776,2.78997,2.64439
3,double,uniform,GPU,"P | P | P | P | D | N",192,6,0.313568,0.004232,1.58098,0.754688,2.80252,2.65347
3,double,uniform,GPU,"P | P | P | P | D | N",192,7,0.312832,0.004182,1.57872,0.75776,2.79954,2.65349
3,double,uniform,GPU,"P | P | P | P | D | N",192,8,0.313984,0.004279,1.57502,0.755712,2.79437,2.649
3,double,uniform,GPU,"P | P | P | P | D | N",192,9,0.314592,0.004137,1.5784,0.753664,2.79542,2.65079
3,double,uniform,GPU,"P | P | P | P | D | N",192,10,0.308096,0.004254,1.57465,0.753664,2.78514,2.64067
3,double,uniform,GPU,"P | P | P | P | D | N",192,11,0.314976,0.004304,1.57166,0.754688,2.79418,2.64563
3,double,uniform,GPU,"P | P | P | P | D | N",192,12,0.308832,0.00417,1.58071,0.754688,2.79663,2.6484
3,double,uniform,GPU,"P | P | P | P | D | N",192,13,0.3136,0.004887,1.57998,0.754688,2.79973,2.65315
3,double,uniform,GPU,"P | P | P | P | D | N",192,14,0.307104,0.004038,1.57413,0.753664,2.78237,2.63894
3,double,uniform,GPU,"P | P | P | P | D | N",192,15,0.313536,0.004254,1.57227,0.755712,2.79115,2.64577
3,double,uniform,GPU,"P | P | P | P | D | N",192,16,0.307712,0.004214,1.58099,0.753664,2.79627,2.64658
3,double,uniform,GPU,"P | P | P | P | D | N",192,17,0.314016,0.004173,1.5727,0.753664,2.7923,2.64455
3,double,uniform,GPU,"P | P | P | P | D | N",192,18,0.307168,0.004148,1.57653,0.756736,2.78889,2.64458
3,double,uniform,GPU,"P | P | P | P | D | N",192,19,0.308544,0.004354,1.57328,0.75264,2.78904,2.63882
3,double,uniform,GPU,"P | P | P | P | D | N",256,0,0.70656,0.003188,3.7706,1.73875,6.35763,6.2191
3,double,uniform,GPU,"P | P | P | P | D | N",256,1,0.702656,0.003063,3.7341,1.73261,6.31094,6.17243
3,double,uniform,GPU,"P | P | P | P | D | N",256,2,0.700064,0.003226,3.73594,1.72954,6.30837,6.16877
3,double,uniform,GPU,"P | P | P | P | D | N",256,3,0.69952,0.00318,3.74829,1.73158,6.32449,6.18258
3,double,uniform,GPU,"P | P | P | P | D | N",256,4,0.699616,0.003101,3.73747,1.73158,6.30961,6.17177
3,double,uniform,GPU,"P | P | P | P | D | N",256,5,0.70048,0.003168,3.73083,1.72851,6.30264,6.16299
3,double,uniform,GPU,"P | P | P | P | D | N",256,6,0.702144,0.003024,3.73721,1.72954,6.31077,6.17191
3,double,uniform,GPU,"P | P | P | P | D | N",256,7,0.700032,0.003468,3.72622,1.7367,6.30429,6.16642
3,double,uniform,GPU,"P | P | P | P | D | N",256,8,0.704576,0.003123,3.73287,1.73158,6.31199,6.17216
3,double,uniform,GPU,"P | P | P | P | D | N",256,9,0.699232,0.003416,3.73364,1.73158,6.30656,6.16787
3,double,uniform,GPU,"P | P | P | P | D | N",256,10,0.703072,0.003052,3.74702,1.73056,6.32253,6.1837
3,double,uniform,GPU,"P | P | P | P | D | N",256,11,0.701952,0.003141,3.73392,1.73158,6.30879,6.1706
3,double,uniform,GPU,"P | P | P | P | D | N",256,12,0.701856,0.003082,3.73786,1.73466,6.31402,6.17746
3,double,uniform,GPU,"P | P | P | P | D | N",256,13,0.7048,0.003062,3.73491,1.73261,6.31356,6.17538
3,double,uniform,GPU,"P | P | P | P | D | N",256,14,0.701952,0.003138,3.74451,1.72954,6.31735,6.17913
3,double,uniform,GPU,"P | P | P | P | D | N",256,15,0.703296,0.003066,3.74577,1.72851,6.31904,6.18065
3,double,uniform,GPU,"P | P | P | P | D | N",256,16,0.704192,0.00314,3.73822,1.73363,6.3177,6.17918
3,double,uniform,GPU,"P | P | P | P | D | N",256,17,0.700256,0.003037,3.73569,1.73056,6.3074,6.16954
3,double,uniform,GPU,"P | P | P | P | D | N",256,18,0.7024,0.003129,3.73927,1.72954,6.31328,6.17433
3,double,uniform,GPU,"P | P | P | P | D | N",256,19,0.700128,0.003061,3.73726,1.73261,6.31351,6.17305
3,double,uniform,GPU,"P | P | P | P | D | N",320,0,1.3727,0.003083,8.49851,3.46829,13.4901,13.3426
3,double,uniform,GPU,"P | P | P | P | D | N",320,1,1.36256,0.002979,8.45983,3.456,13.4241,13.2814
3,double,uniform,GPU,"P | P | P | P | D | N",320,2,1.36358,0.003002,8.46452,3.46522,13.4375,13.2963
3,double,uniform,GPU,"P | P | P | P | D | N",320,3,1.36912,0.003047,8.45462,3.46624,13.4344,13.293
3,double,uniform,GPU,"P | P | P | P | D | N",320,4,1.36394,0.003005,8.47333,3.46112,13.4416,13.3014
3,double,uniform,GPU,"P | P | P | P | D | N",320,5,1.36845,0.003069,8.46535,3.46317,13.4418,13.3
3,double,uniform,GPU,"P | P | P | P | D | N",320,6,1.36362,0.003032,8.47379,3.46419,13.4488,13.3046
3,double,uniform,GPU,"P | P | P | P | D | N",320,7,1.36944,0.003016,8.46589,3.46726,13.4493,13.3056
3,double,uniform,GPU,"P | P | P | P | D | N",320,8,1.36944,0.003018,8.47553,3.46419,13.454,13.3122
3,double,uniform,GPU,"P | P | P | P | D | N",320,9,1.36371,0.003018,8.46169,3.46317,13.4352,13.2916
3,double,uniform,GPU,"P | P | P | P | D | N",320,10,1.36682,0.003045,8.47076,3.456,13.4412,13.2966
3,double,uniform,GPU,"P | P | P | P | D | N",320,11,1.36288,0.003029,8.47436,3.45702,13.4407,13.2973
3,double,uniform,GPU,"P | P | P | P | D | N",320,12,1.37078,0.003272,8.47163,3.46419,13.4529,13.3099
3,double,uniform,GPU,"P | P | P | P | D | N",320,13,1.36582,0.002978,8.46801,3.46112,13.4398,13.2979
3,double,uniform,GPU,"P | P | P | P | D | N",320,14,1.36326,0.00307,8.45895,3.45907,13.4291,13.2844
3,double,uniform,GPU,"P | P | P | P | D | N",320,15,1.36144,0.003028,8.4709,3.46624,13.4455,13.3016
3,double,uniform,GPU,"P | P | P | P | D | N",320,16,1.36986,0.002976,8.47055,3.45293,13.4401,13.2963
3,double,uniform,GPU,"P | P | P | P | D | N",320,17,1.36352,0.002993,8.46444,3.46726,13.4425,13.2982
3,double,uniform,GPU,"P | P | P | P | D | N",320,18,1.36176,0.003038,8.45923,3.4519,13.4187,13.2759
3,double,uniform,GPU,"P | P | P | P | D | N",320,19,1.36934,0.003029,8.47863,3.46214,13.4542,13.3132
3,double,uniform,GPU,"P | P | P | P | D | N",384,0,2.42086,0.003072,14.9252,5.9648,23.4572,23.3139
3,double,uniform,GPU,"P | P | P | P | D | N",384,1,2.41738,0.003324,14.894,5.98016,23.4378,23.2948
3,double,uniform,GPU,"P | P | P | P | D | N",384,2,2.4185,0.003084,14.8901,5.95763,23.4151,23.2693
3,double,uniform,GPU,"P | P | P | P | D | N",384,3,2.41722,0.003064,14.894,5.96787,23.4279,23.2821
3,double,uniform,GPU,"P | P | P | P | D | N",384,4,2.4313,0.003833,14.9205,5.96582,23.4962,23.3215
3,double,uniform,GPU,"P | P | P | P | D | N",384,5,2.4177,0.003068,14.9201,5.98426,23.4678,23.3252
3,double,uniform,GPU,"P | P | P | P | D | N",384,6,2.41763,0.003045,14.9046,5.97811,23.4466,23.3034
3,double,uniform,GPU,"P | P | P | P | D | N",384,7,2.41661,0.003368,14.8997,5.96787,23.4334,23.2875
3,double,uniform,GPU,"P | P | P | P | D | N",384,8,2.41504,0.003038,14.899,5.9689,23.4296,23.286
3,double,uniform,GPU,"P | P | P | P | D | N",384,9,2.41443,0.003053,14.9059,5.95866,23.4237,23.282
3,double,uniform,GPU,"P | P | P | P | D | N",384,10,2.41584,0.003037,14.893,5.96787,23.4257,23.2797
3,double,uniform,GPU,"P | P | P | P | D | N",384,11,2.41747,0.00312,14.8901,5.99245,23.4461,23.3032
3,double,uniform,GPU,"P | P | P | P | D | N",384,12,2.41808,0.003223,14.9015,5.95661,23.43,23.2794
3,double,uniform,GPU,"P | P | P | P | D | N",384,13,2.41619,0.002985,14.8953,5.96378,23.4229,23.2782
3,double,uniform,GPU,"P | P | P | P | D | N",384,14,2.41661,0.00301,14.8953,5.95558,23.4153,23.2705
3,double,uniform,GPU,"P | P | P | P | D | N",384,15,2.4176,0.003094,14.8818,5.98528,23.4308,23.2878
3,double,uniform,GPU,"P | P | P | P | D | N",384,16,2.41866,0.003052,14.9089,5.96787,23.4418,23.2984
3,double,uniform,GPU,"P | P | P | P | D | N",384,17,2.4168,0.003055,14.893,5.96173,23.4202,23.2746
3,double,uniform,GPU,"P | P | P | P | D | N",384,18,2.41126,0.003026,14.8943,5.95661,23.4064,23.2652
3,double,uniform,GPU,"P | P | P | P | D | N",384,19,2.41632,0.003109,14.8953,5.97504,23.4344,23.2898
3,double,uniform,GPU,"P | P | P | P | D | N",448,0,3.76403,0.00308,33.4028,9.54982,46.8619,46.7197
3,double,uniform,GPU,"P | P | P | P | D | N",448,1,3.7591,0.003129,33.406,9.53754,46.8494,46.7057
3,double,uniform,GPU,"P | P | P | P | D | N",448,2,3.75725,0.003128,33.386,9.55597,46.8488,46.7023
3,double,uniform,GPU,"P | P | P | P | D | N",448,3,3.75395,0.003341,33.3921,9.53037,46.8194,46.6798
3,double,uniform,GPU,"P | P | P | P | D | N",448,4,3.75661,0.00309,33.4001,9.54675,46.8462,46.7066
3,double,uniform,GPU,"P | P | P | P | D | N",448,5,3.75584,0.003411,33.3984,9.52422,46.8196,46.6819
3,double,uniform,GPU,"P | P | P | P | D | N",448,6,3.75984,0.003321,33.4163,9.50682,46.8287,46.6862
3,double,uniform,GPU,"P | P | P | P | D | N",448,7,3.75626,0.003022,33.3917,9.53856,46.8277,46.6896
3,double,uniform,GPU,"P | P | P | P | D | N",448,8,3.75466,0.003106,33.3985,9.55187,46.8454,46.7082
3,double,uniform,GPU,"P | P | P | P | D | N",448,9,3.75587,0.003051,33.4083,9.54982,46.8566,46.717
3,double,uniform,GPU,"P | P | P | P | D | N",448,10,3.75482,0.003148,33.4119,9.53344,46.842,46.7033
3,double,uniform,GPU,"P | P | P | P | D | N",448,11,3.75898,0.003043,33.4012,9.5273,46.8291,46.6905
3,double,uniform,GPU,"P | P | P | P | D | N",448,12,3.75581,0.0034,33.4198,9.5529,46.8698,46.7319
3,double,uniform,GPU,"P | P | P | P | D | N",448,13,3.75802,0.00306,33.4031,9.54061,46.8454,46.7048
3,double,uniform,GPU,"P | P | P | P | D | N",448,14,3.7569,0.003103,33.3993,9.54368,46.842,46.703
3,double,uniform,GPU,"P | P | P | P | D | N",448,15,3.75699,0.003073,33.4042,9.53549,46.8412,46.6998
3,double,uniform,GPU,"P | P | P | P | D | N",448,16,3.75821,0.003124,33.4137,9.54266,46.8555,46.7177
3,double,uniform,GPU,"P | P | P | P | D | N",448,17,3.75638,0.003104,33.4125,9.51296,46.824,46.6849
3,double,uniform,GPU,"P | P | P | P | D | N",448,18,3.7544,0.003113,33.404,9.53344,46.835,46.695
3,double,uniform,GPU,"P | P | P | P | D | N",448,19,3.76102,0.003125,33.4172,9.53446,46.8536,46.7158
3,double,uniform,GPU,"P | P | P | P | D | N",512,0,5.54928,0.003099,55.5015,14.3043,75.4965,75.3581
3,double,uniform,GPU,"P | P | P | P | D | N",512,1,5.5313,0.003089,55.4662,14.3411,75.4778,75.3417
3,double,uniform,GPU,"P | P | P | P | D | N",512,2,5.55107,0.004078,55.4699,14.3022,75.4931,75.3272
3,double,uniform,GPU,"P | P | P | P | D | N",512,3,5.53958,0.003153,55.6768,14.3647,75.7234,75.5842
3,double,uniform,GPU,"P | P | P | P | D | N",512,4,5.53853,0.003167,55.6734,14.3002,75.6531,75.5152
3,double,uniform,GPU,"P | P | P | P | D | N",512,5,5.54608,0.003322,55.5082,14.3268,75.5215,75.3844
3,double,uniform,GPU,"P | P | P | P | D | N",512,6,5.536,0.003402,55.3492,14.3186,75.3408,75.2072
3,double,uniform,GPU,"P | P | P | P | D | N",512,7,5.5368,0.003188,55.562,14.3135,75.5545,75.4155
3,double,uniform,GPU,"P | P | P | P | D | N",512,8,5.53942,0.003084,55.3561,14.3012,75.3487,75.1998
3,double,uniform,GPU,"P | P | P | P | D | N",512,9,5.56445,0.005475,56.1017,14.2838,76.1118,75.9554
3,double,uniform,GPU,"P | P | P | P | D | N",512,10,5.53526,0.002932,55.4725,14.3544,75.5047,75.3652
3,double,uniform,GPU,"P | P | P | P | D | N",512,11,5.53555,0.002946,54.9921,14.3483,75.019,74.8789
3,double,uniform,GPU,"P | P | P | P | D | N",512,12,5.53984,0.002905,55.5368,14.3299,75.5489,75.4094
3,double,uniform,GPU,"P | P | P | P | D | N",512,13,5.53654,0.002931,54.6982,14.335,74.7124,74.5727
3,double,uniform,GPU,"P | P | P | P | D | N",512,14,5.53872,0.002905,55.0326,14.3462,75.0583,74.9205
3,double,uniform,GPU,"P | P | P | P | D | N",512,15,5.53536,0.002932,55.44,14.294,75.4099,75.2723
3,double,uniform,GPU,"P | P | P | P | D | N",512,16,5.54102,0.0029,55.3131,14.3299,75.3289,75.1869
3,double,uniform,GPU,"P | P | P | P | D | N",512,17,5.53402,0.00303,55.083,14.3084,75.0673,74.9284
3,double,uniform,GPU,"P | P | P | P | D | N",512,18,5.53939,0.003251,55.3473,14.3114,75.3388,75.2014
3,double,uniform,GPU,"P | P | P | P | D | N",512,19,5.53786,0.002926,55.3288,14.3145,75.3221,75.1841
