dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,14,3.75555,0,27.8995,4.35917,36.1377,36.0142
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,15,3.75277,0,27.8957,4.36224,36.1368,36.0107
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,16,3.75002,0,27.8999,4.3735,36.1501,36.0234
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,17,3.75194,0,27.8961,4.36531,36.1402,36.0134
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,18,3.75274,0,27.9078,4.36634,36.1517,36.0268
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,19,3.752,0,27.8996,4.35814,36.1338,36.0098
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,0,5.55424,0,45.8103,6.04365,57.5333,57.4082
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,1,5.53898,0,46.0366,6.02931,57.7297,57.6048
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,2,5.53702,0,45.9807,6.03443,57.6789,57.5522
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,3,5.5383,0,46.2716,6.03034,57.965,57.8403
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,4,5.53238,0,45.8553,6.02317,57.5354,57.4109
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,5,5.53878,0,45.9063,6.03443,57.6059,57.4795
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,6,5.53376,0,45.9664,6.02214,57.647,57.5223
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,7,5.53786,0,45.8834,6.03955,57.5867,57.4608
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,8,5.53238,0,45.8477,6.03955,57.5441,57.4197
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,9,5.53664,0,46.1225,6.02829,57.8125,57.6874
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,10,5.53827,0,46.1684,6.02112,57.853,57.7278
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,11,5.53632,0,45.7417,6.03341,57.4365,57.3115
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,12,5.53789,0,46.0762,6.03136,57.7697,57.6455
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,13,5.53712,0,45.9098,6.02931,57.603,57.4763
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,14,5.53546,0,45.9935,6.04774,57.7015,57.5767
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,15,5.53786,0,45.8121,6.03546,57.5121,57.3854
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,16,5.53498,0,46.055,6.03546,57.751,57.6255
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,17,5.5359,0,45.9747,6.0416,57.6761,57.5522
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,18,5.53811,0,46.2495,6.03546,57.9507,57.8231
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,19,5.53805,0,45.7864,6.01498,57.4649,57.3395
