dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,15,0.020224,0,0.046785,0.014336,0.192385,0.081345
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,16,0.019456,0,0.047649,0.013312,0.192399,0.080417
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,17,0.019968,0,0.047086,0.014336,0.192525,0.08139
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,18,0.019264,0,0.047515,0.014336,0.192374,0.081115
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,19,0.019808,0,0.046852,0.013312,0.183782,0.079972
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,0,0.020576,0,0.065973,0.02048,0.222124,0.107029
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,1,0.02688,0,0.054431,0.01536,0.21186,0.096671
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,2,0.025824,0,0.054695,0.01536,0.29178,0.095879
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,3,0.020832,0,0.052787,0.014336,0.203145,0.087955
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,4,0.020128,0,0.053409,0.01536,0.202213,0.088897
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,5,0.029472,0,0.054805,0.014336,0.21394,0.098613
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,6,0.020544,0,0.053796,0.016384,0.203749,0.090724
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,7,0.02032,0,0.052915,0.01536,0.201728,0.088595
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,8,0.02848,0,0.052827,0.014336,0.210676,0.095643
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,9,0.021568,0,0.052646,0.014336,0.202142,0.08855
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,10,0.020896,0,0.054007,0.014336,0.207788,0.089239
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,11,0.020448,0,0.052835,0.01536,0.20257,0.088643
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,12,0.020864,0,0.05276,0.014336,0.201295,0.08796
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,13,0.02672,0,0.052711,0.014336,0.200493,0.093767
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,14,0.020416,0,0.053041,0.01536,0.202207,0.088817
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,15,0.027648,0,0.058539,0.014336,0.21476,0.100523
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,16,0.028512,0,0.052804,0.014336,0.208932,0.095652
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,17,0.027808,0,0.052192,0.014336,0.207174,0.094336
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,18,0.020608,0,0.052568,0.013312,0.201333,0.086488
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",384,19,0.020672,0,0.052228,0.014336,0.201276,0.087236
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,0,0.028,0,0.073361,0.02048,0.216779,0.121841
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,1,0.0256,0,0.059716,0.016384,0.19364,0.1017
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,2,0.02848,0,0.058829,0.01536,0.194016,0.102669
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,3,0.028032,0,0.058545,0.014336,0.19259,0.100913
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,4,0.027264,0,0.058017,0.016384,0.192722,0.101665
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,5,0.027872,0,0.058892,0.01536,0.193633,0.102124
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,6,0.02592,0,0.058076,0.01536,0.190672,0.099356
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,7,0.029184,0,0.058319,0.01536,0.193711,0.102863
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,8,0.027904,0,0.058563,0.014336,0.192358,0.100803
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,9,0.028,0,0.058542,0.01536,0.192301,0.101902
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,10,0.027232,0,0.058756,0.014336,0.192757,0.100324
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,11,0.02688,0,0.058309,0.014336,0.191264,0.099525
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,12,0.028384,0,0.058437,0.01536,0.192606,0.102181
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,13,0.026912,0,0.05817,0.01536,0.19078,0.100442
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,14,0.027136,0,0.058652,0.016384,0.191892,0.102172
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,15,0.027008,0,0.058324,0.014336,0.191624,0.099668
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,16,0.025984,0,0.058597,0.01536,0.191648,0.099941
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,17,0.027072,0,0.058553,0.01536,0.191488,0.100985
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,18,0.028096,0,0.05873,0.01536,0.195722,0.102186
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",448,19,0.028768,0,0.058491,0.01536,0.194962,0.102619
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,0,0.032608,0,0.074882,0.023552,0.263055,0.131042
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,1,0.033536,0,0.066702,0.01536,0.246214,0.115598
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,2,0.031008,0,0.065887,0.017408,0.252378,0.114303
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,3,0.026144,0,0.066355,0.016384,0.239529,0.108883
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,4,0.030176,0,0.066734,0.016384,0.243151,0.113294
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,5,0.028,0,0.068058,0.018432,0.243678,0.11449
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,6,0.032064,0,0.066327,0.01536,0.244457,0.113751
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,7,0.03088,0,0.06538,0.017408,0.242594,0.113668
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,8,0.035424,0,0.065503,0.016384,0.245642,0.117311
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,9,0.030784,0,0.064659,0.01536,0.241459,0.110803
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,10,0.033376,0,0.065106,0.016384,0.243866,0.114866
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,11,0.03168,0,0.064876,0.01536,0.241963,0.111916
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,12,0.027776,0,0.065271,0.016384,0.237261,0.109431
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,13,0.026848,0,0.065507,0.017408,0.238396,0.109763
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,14,0.03248,0,0.066847,0.01536,0.25357,0.114687
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,15,0.030848,0,0.065779,0.016384,0.24263,0.113011
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,16,0.030304,0,0.065172,0.016384,0.241271,0.11186
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,17,0.034112,0,0.065727,0.016384,0.245792,0.116223
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,18,0.03024,0,0.06528,0.016384,0.241618,0.111904
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",512,19,0.031424,0,0.066207,0.01536,0.244657,0.112991
