dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,7,93.0815,0.003074,10.2075,3.31366,106.698,106.606
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,8,93.3956,0.003197,10.0696,3.30445,106.866,106.773
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,9,93.6845,0.002995,10.043,3.31674,107.136,107.047
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,10,93.0389,0.003247,10.1319,3.31776,106.583,106.492
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,11,95.9691,0.003042,10.1356,3.31264,109.512,109.42
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,12,93.801,0.003109,10.1799,3.30854,107.383,107.293
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,13,93.817,0.003105,10.009,3.3065,107.225,107.136
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,14,92.7949,0.002887,10.1724,3.31469,106.377,106.285
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,15,93.1231,0.002889,10.0631,3.30342,106.583,106.492
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,16,93.9103,0.002921,10.2508,3.30342,107.556,107.467
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,17,92.689,0.002925,10.1611,3.30445,106.256,106.157
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,18,92.9864,0.002918,10.0655,3.31162,106.455,106.366
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,19,93.2376,0.003224,10.0782,3.31059,106.723,106.63
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,0,146.205,0.003138,15.7754,5.4016,167.477,167.385
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,1,147.183,0.002994,15.2287,5.38419,167.89,167.799
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,2,147.377,0.003159,15.4987,5.35962,168.332,168.238
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,3,148.493,0.002948,15.0988,5.38214,169.07,168.977
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,4,147.702,0.002975,15.1787,5.36678,168.341,168.25
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,5,145.179,0.00327,15.2898,5.35654,165.92,165.829
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,6,145.897,0.002898,15.1477,5.37498,166.513,166.423
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,7,146.885,0.003448,15.0569,5.376,167.412,167.321
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,8,147.565,0.002934,15.4053,5.376,168.44,168.349
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,9,146.569,0.003181,15.1601,5.40058,167.223,167.133
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,10,146.997,0.002843,15.6228,5.37498,168.088,167.997
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,11,145.897,0.003182,15.393,5.36883,166.761,166.662
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,12,145.436,0.002863,15.4974,5.36064,166.385,166.297
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,13,147.542,0.002873,15.4265,5.37805,168.439,168.35
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,14,145.626,0.002879,14.9329,5.36474,166.014,165.927
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,15,148.043,0.002916,15.255,5.376,168.768,168.677
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,16,148.623,0.003058,15.5903,5.38317,169.689,169.599
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,17,149.529,0.003173,15.0459,5.3801,170.049,169.958
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,18,146.343,0.002954,15.5234,5.36781,167.333,167.237
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",448,19,146.801,0.002987,15.2941,5.37498,167.561,167.473
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,0,220.408,0.00294,33.8521,7.58272,261.94,261.846
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,1,220.01,0.003177,35.2879,7.58579,262.978,262.887
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,2,219.239,0.003098,34.79,7.55814,261.683,261.591
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,3,221.899,0.003249,34.5478,7.58477,264.127,264.035
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,4,222.138,0.002922,34.594,7.5817,264.405,264.317
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,5,218.978,0.002912,34.6513,7.57146,261.294,261.204
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,6,222.208,0.002964,34.4733,7.5735,264.351,264.258
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,7,221.945,0.00293,35.0913,7.56429,264.693,264.604
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,8,217.978,0.00295,33.2605,7.57965,258.908,258.821
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,9,220.186,0.002895,34.7534,7.59091,262.623,262.533
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,10,220.021,0.003285,34.6556,7.55917,262.33,262.239
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,11,221.215,0.003196,34.5942,7.59398,263.496,263.406
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,12,223.191,0.003305,33.9871,7.5735,264.846,264.755
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,13,221.269,0.003203,34.4542,7.56634,263.385,263.292
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,14,219.942,0.003141,34.7124,7.56429,262.318,262.221
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,15,221.446,0.003184,33.8607,7.57965,262.981,262.89
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,16,221.397,0.002953,34.6004,7.58682,263.675,263.587
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,17,217.912,0.003302,34.0024,7.58477,259.594,259.503
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,18,219.219,0.003098,33.8649,7.56122,260.742,260.649
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",512,19,221.596,0.002866,34.5695,7.55098,263.809,263.719
