dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,0.312928,0.004027,1.15934,0.361472,2.03875,1.83777
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,0.709504,0.003039,2.78632,0.799744,4.43295,4.29861
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,0.700768,0.003034,2.73374,0.796672,4.36595,4.23421
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,2,0.703488,0.003026,2.73696,0.80384,4.37669,4.24731
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,3,0.702752,0.003004,2.72781,0.797696,4.36267,4.23126
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,4,0.704064,0.003013,2.73955,0.796672,4.37343,4.2433
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,5,0.704832,0.003223,2.73228,0.79872,4.36459,4.23905
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,6,0.70256,0.002981,2.72679,0.79872,4.36155,4.23105
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,7,0.703648,0.003186,2.72969,0.799744,4.3657,4.23627
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,8,0.704768,0.002979,2.71608,0.799744,4.35101,4.22358
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,9,0.703648,0.003345,2.72639,0.79872,4.36169,4.23211
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,10,0.710496,0.003299,2.73514,0.799744,4.37887,4.24868
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,11,0.703808,0.002996,2.71096,0.799744,4.34557,4.2175
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,12,0.701568,0.002946,2.72417,0.797696,4.35708,4.22638
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,13,0.703072,0.002974,2.73152,0.796672,4.36519,4.23423
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,14,0.702464,0.003012,2.71878,0.79872,4.35258,4.22298
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,15,0.704704,0.003043,2.73792,0.800768,4.37705,4.24644
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,16,0.705664,0.003034,2.73182,0.796672,4.36725,4.23719
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,17,0.704448,0.003066,2.7249,0.797696,4.35984,4.23011
