dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,10,0.018496,0,0.035118,0.012288,0.121686,0.065902
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,11,0.012928,0,0.034131,0.012288,0.12069,0.059347
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,12,0.013216,0,0.033995,0.013312,0.115658,0.060523
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,13,0.013728,0,0.03559,0.013312,0.120457,0.06263
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,14,0.013248,0,0.034363,0.012288,0.115562,0.059899
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,15,0.0136,0,0.034286,0.013312,0.114993,0.061198
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,16,0.013984,0,0.034294,0.013312,0.114491,0.06159
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,17,0.013184,0,0.034434,0.013312,0.115814,0.06093
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,18,0.013568,0,0.034018,0.013312,0.115627,0.060898
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,19,0.012416,0,0.034981,0.012288,0.115825,0.059685
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,0,0.02656,0,0.047701,0.03072,0.180675,0.104981
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,1,0.018624,0,0.034317,0.01536,0.132536,0.068301
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,2,0.01536,0,0.033364,0.013312,0.126651,0.062036
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,3,0.014432,0,0.03306,0.013312,0.124937,0.060804
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,4,0.013568,0,0.033096,0.013312,0.124764,0.059976
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,5,0.01504,0,0.039348,0.013312,0.134407,0.0677
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,6,0.01536,0,0.033231,0.013312,0.125697,0.061903
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,7,0.014304,0,0.032833,0.013312,0.124994,0.060449
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,8,0.014048,0,0.034062,0.013312,0.127968,0.061422
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,9,0.0152,0,0.032746,0.013312,0.125715,0.061258
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,10,0.013984,0,0.035705,0.013312,0.127941,0.063001
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,11,0.013216,0,0.033199,0.013312,0.125573,0.059727
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,12,0.013632,0,0.033337,0.012288,0.125315,0.059257
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,13,0.013664,0,0.033308,0.013312,0.12517,0.060284
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,14,0.014336,0,0.033127,0.013312,0.124246,0.060775
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,15,0.013984,0,0.03327,0.01536,0.127891,0.062614
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,16,0.013792,0,0.033173,0.011264,0.124503,0.058229
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,17,0.01424,0,0.032981,0.013312,0.124274,0.060533
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,18,0.01392,0,0.032637,0.013312,0.124197,0.059869
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",256,19,0.01536,0,0.03307,0.013312,0.125981,0.061742
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,0,0.019872,0,0.051615,0.018432,0.170492,0.089919
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,1,0.018464,0,0.036687,0.01536,0.147257,0.070511
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,2,0.024768,0,0.036175,0.013312,0.158291,0.074255
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,3,0.025824,0,0.035551,0.013312,0.150999,0.074687
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,4,0.016064,0,0.034876,0.013312,0.141818,0.064252
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,5,0.023552,0,0.035662,0.01536,0.148121,0.074574
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,6,0.021248,0,0.034918,0.013312,0.146896,0.069478
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,7,0.022752,0,0.035548,0.013312,0.148002,0.071612
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,8,0.022592,0,0.035301,0.014336,0.151507,0.072229
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,9,0.015168,0,0.036213,0.014336,0.145181,0.065717
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,10,0.022432,0,0.035394,0.014336,0.147332,0.072162
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,11,0.02352,0,0.035287,0.013312,0.148006,0.072119
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,12,0.023648,0,0.035692,0.012288,0.148476,0.071628
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,13,0.023712,0,0.035125,0.016384,0.151828,0.075221
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,14,0.021152,0,0.035403,0.013312,0.147165,0.069867
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,15,0.023616,0,0.035271,0.013312,0.148508,0.072199
