dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",320,13,53.9125,0.003708,5.49489,1.8985,61.3972,61.3096
3,float,uniform,CPU,"P | P | P | P | D | N",320,14,54.3274,0.003338,5.5067,1.89338,61.8225,61.7308
3,float,uniform,CPU,"P | P | P | P | D | N",320,15,54.5979,0.003263,5.50135,1.88723,62.082,61.9897
3,float,uniform,CPU,"P | P | P | P | D | N",320,16,54.5522,0.003276,5.49681,1.89542,62.0383,61.9477
3,float,uniform,CPU,"P | P | P | P | D | N",320,17,53.7645,0.00336,5.49452,1.89338,61.2501,61.1557
3,float,uniform,CPU,"P | P | P | P | D | N",320,18,53.9676,0.003544,5.491,1.89747,61.4496,61.3597
3,float,uniform,CPU,"P | P | P | P | D | N",320,19,54.1365,0.003634,5.49259,1.8903,61.6174,61.5231
3,float,uniform,CPU,"P | P | P | P | D | N",384,0,92.05,0.003257,9.99969,3.28806,105.43,105.341
3,float,uniform,CPU,"P | P | P | P | D | N",384,1,91.9207,0.003306,9.96464,3.26963,105.248,105.158
3,float,uniform,CPU,"P | P | P | P | D | N",384,2,93.3229,0.00328,9.98109,3.27373,106.673,106.581
3,float,uniform,CPU,"P | P | P | P | D | N",384,3,93.4167,0.003257,9.98052,3.27066,106.765,106.671
3,float,uniform,CPU,"P | P | P | P | D | N",384,4,93.1265,0.003393,9.98315,3.27578,106.479,106.389
3,float,uniform,CPU,"P | P | P | P | D | N",384,5,93.2907,0.003336,9.97374,3.27066,106.633,106.538
3,float,uniform,CPU,"P | P | P | P | D | N",384,6,93.5089,0.003257,9.9951,3.26451,106.861,106.772
3,float,uniform,CPU,"P | P | P | P | D | N",384,7,91.9659,0.003315,9.98871,3.26963,105.321,105.228
3,float,uniform,CPU,"P | P | P | P | D | N",384,8,92.0478,0.003302,9.96111,3.27168,105.372,105.284
3,float,uniform,CPU,"P | P | P | P | D | N",384,9,92.157,0.003226,9.98205,3.27987,105.511,105.422
3,float,uniform,CPU,"P | P | P | P | D | N",384,10,93.0715,0.003239,9.98685,3.27987,106.434,106.341
3,float,uniform,CPU,"P | P | P | P | D | N",384,11,92.8301,0.003239,9.98591,3.26451,106.175,106.084
3,float,uniform,CPU,"P | P | P | P | D | N",384,12,92.8238,0.00311,9.98248,3.26963,106.167,106.079
3,float,uniform,CPU,"P | P | P | P | D | N",384,13,92.2428,0.003337,9.98817,3.27373,105.603,105.508
3,float,uniform,CPU,"P | P | P | P | D | N",384,14,94.096,0.00401,10.0128,3.28192,107.499,107.395
3,float,uniform,CPU,"P | P | P | P | D | N",384,15,93.1427,0.003305,9.97369,3.27885,106.491,106.398
3,float,uniform,CPU,"P | P | P | P | D | N",384,16,93.7819,0.003453,9.97753,3.27168,107.127,107.035
3,float,uniform,CPU,"P | P | P | P | D | N",384,17,94.022,0.00326,9.97983,3.27578,107.388,107.281
3,float,uniform,CPU,"P | P | P | P | D | N",384,18,93.9226,0.003299,9.97911,3.27066,107.265,107.176
3,float,uniform,CPU,"P | P | P | P | D | N",384,19,92.5035,0.003288,10.0076,3.26554,105.876,105.78
