dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,62,0.22688,0.00167,0.118128,0.02432,0.421885,0.370998
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,63,0.22496,0.00152,0.127388,0.022432,0.428776,0.3763
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,64,0.226336,0.00151,0.117668,0.021056,0.418055,0.36657
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,65,0.222112,0.001511,0.118329,0.02192,0.415225,0.363872
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,66,0.22464,0.001558,0.119299,0.02624,0.420366,0.371737
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,67,0.22576,0.00152,0.118379,0.02064,0.418805,0.366299
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,68,0.22512,0.00152,0.118509,0.020224,0.417906,0.365373
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,69,0.232896,0.00149,0.118597,0.025088,0.428995,0.378071
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,70,0.227808,0.00152,0.11849,0.021088,0.422305,0.368906
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,71,0.223392,0.001629,0.11849,0.023872,0.418875,0.367383
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,72,0.228576,0.0015,0.118968,0.023776,0.424545,0.37282
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,73,0.22624,0.00149,0.118628,0.02352,0.421626,0.369878
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,74,0.233632,0.00154,0.12077,0.022496,0.431415,0.378438
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,0,1.5807,0.00193,0.536464,0.10512,2.29591,2.22422
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,1,1.61693,0.001531,0.518395,0.10032,2.28578,2.23717
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,2,1.68416,0.001759,0.524315,0.100288,2.36556,2.31052
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,3,1.50176,0.00163,0.523383,0.096896,2.17772,2.12367
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,4,1.52058,0.00167,0.522354,0.097792,2.19663,2.14239
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,5,1.52938,0.001741,0.522493,0.096928,2.2055,2.15054
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,6,1.53325,0.001551,0.517743,0.099264,2.20107,2.15181
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,7,1.50202,0.001701,0.520724,0.096992,2.17469,2.12143
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,8,1.50374,0.001579,0.523245,0.095232,2.18263,2.1238
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,9,1.51907,0.001679,0.521565,0.096384,2.19581,2.1387
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,10,1.59206,0.0015,0.522594,0.095648,2.26931,2.21181
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,11,1.58394,0.00167,0.523664,0.095232,2.26038,2.2045
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,12,1.51814,0.001612,0.523364,0.098688,2.21793,2.14181
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,13,1.60451,0.002059,0.540393,0.104768,2.33064,2.25173
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,14,1.57216,0.00175,0.527025,0.100096,2.26139,2.20103
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,15,1.53478,0.00152,0.522435,0.097312,2.21032,2.15605
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,16,1.51722,0.0017,0.520475,0.096544,2.19204,2.13594
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,17,1.49741,0.001529,0.522354,0.096576,2.17088,2.11787
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,18,1.52582,0.00157,0.522245,0.0976,2.20132,2.14724
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,19,1.5247,0.00162,0.522145,0.09712,2.20416,2.14559
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,20,1.50381,0.00178,0.522774,0.095168,2.18139,2.12353
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,21,1.52365,0.001809,0.522534,0.096896,2.19849,2.14489
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,22,1.50835,0.0016,0.523754,0.096608,2.18302,2.13031
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,23,1.53104,0.00172,0.529484,0.098432,2.21658,2.16068
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,24,1.51037,0.001711,0.520783,0.098688,2.18538,2.13155
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,25,1.51226,0.00175,0.521875,0.095616,2.18662,2.1315
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,26,1.49888,0.00167,0.523225,0.096896,2.17373,2.12067
