dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | N",192,32,0.033728,0,0.01843,0.005568,0.096799,0.057726
1,float,uniform,CPU,"D | N",192,33,0.029216,0,0.01892,0.005152,0.09163,0.053288
1,float,uniform,CPU,"D | N",192,34,0.029632,0,0.01829,0.005536,0.091839,0.053458
1,float,uniform,CPU,"D | N",192,35,0.028064,0,0.018599,0.006144,0.091969,0.052807
1,float,uniform,CPU,"D | N",192,36,0.028224,0,0.01814,0.006304,0.091359,0.052668
1,float,uniform,CPU,"D | N",192,37,0.030464,0,0.01895,0.00544,0.093599,0.054854
1,float,uniform,CPU,"D | N",192,38,0.028448,0,0.01832,0.00544,0.089608,0.052208
1,float,uniform,CPU,"D | N",192,39,0.02768,0,0.01863,0.005504,0.090649,0.051814
1,float,uniform,CPU,"D | N",192,40,0.029664,0,0.018349,0.005856,0.094109,0.053869
1,float,uniform,CPU,"D | N",192,41,0.028832,0,0.01853,0.005408,0.090019,0.05277
1,float,uniform,CPU,"D | N",192,42,0.03264,0,0.01896,0.0056,0.095269,0.0572
1,float,uniform,CPU,"D | N",192,43,0.029472,0,0.0184,0.007712,0.092639,0.055584
1,float,uniform,CPU,"D | N",192,44,0.03168,0,0.01478,0.006624,0.084709,0.053084
1,float,uniform,CPU,"D | N",192,45,0.028128,0,0.01828,0.006976,0.093128,0.053384
1,float,uniform,CPU,"D | N",192,46,0.031328,0,0.01883,0.005376,0.095829,0.055534
1,float,uniform,CPU,"D | N",192,47,0.029632,0,0.01829,0.005568,0.091419,0.05349
1,float,uniform,CPU,"D | N",192,48,0.02896,0,0.01839,0.005344,0.091299,0.052694
1,float,uniform,CPU,"D | N",192,49,0.027328,0,0.01842,0.006848,0.090649,0.052596
1,float,uniform,CPU,"D | N",192,50,0.028,0,0.01819,0.005344,0.089129,0.051534
1,float,uniform,CPU,"D | N",192,51,0.031168,0,0.018219,0.005472,0.093279,0.054859
1,float,uniform,CPU,"D | N",192,52,0.030784,0,0.01839,0.006592,0.093839,0.055766
1,float,uniform,CPU,"D | N",192,53,0.02928,0,0.018338,0.00672,0.092729,0.054338
1,float,uniform,CPU,"D | N",192,54,0.030816,0,0.01856,0.005472,0.094469,0.054848
1,float,uniform,CPU,"D | N",192,55,0.029344,0,0.019468,0.007168,0.094849,0.05598
1,float,uniform,CPU,"D | N",192,56,0.028576,0,0.015078,0.0064,0.082389,0.050054
1,float,uniform,CPU,"D | N",192,57,0.027968,0,0.0185,0.005664,0.089549,0.052132
1,float,uniform,CPU,"D | N",192,58,0.029824,0,0.0185,0.006816,0.097069,0.05514
1,float,uniform,CPU,"D | N",192,59,0.034368,0,0.0184,0.00688,0.099528,0.059648
1,float,uniform,CPU,"D | N",192,60,0.029824,0,0.01907,0.00528,0.092659,0.054174
1,float,uniform,CPU,"D | N",192,61,0.029408,0,0.01813,0.005504,0.09157,0.053042
1,float,uniform,CPU,"D | N",192,62,0.028672,0,0.018199,0.007296,0.092539,0.054167
1,float,uniform,CPU,"D | N",192,63,0.030368,0,0.018269,0.006976,0.095269,0.055613
1,float,uniform,CPU,"D | N",192,64,0.028704,0,0.01875,0.00688,0.091589,0.054334
1,float,uniform,CPU,"D | N",192,65,0.028864,0,0.01848,0.006784,0.093699,0.054128
1,float,uniform,CPU,"D | N",192,66,0.028256,0,0.018699,0.005664,0.091359,0.052619
1,float,uniform,CPU,"D | N",192,67,0.030048,0,0.018811,0.007424,0.097209,0.056283
1,float,uniform,CPU,"D | N",192,68,0.032096,0,0.018539,0.00528,0.094259,0.055915
1,float,uniform,CPU,"D | N",192,69,0.032288,0,0.018479,0.00544,0.095259,0.056207
1,float,uniform,CPU,"D | N",192,70,0.031872,0,0.01487,0.007104,0.085169,0.053846
1,float,uniform,CPU,"D | N",192,71,0.03008,0,0.01838,0.00544,0.090299,0.0539
1,float,uniform,CPU,"D | N",192,72,0.02928,0,0.01849,0.006976,0.094939,0.054746
1,float,uniform,CPU,"D | N",192,73,0.029632,0,0.01828,0.00704,0.094759,0.054952
1,float,uniform,CPU,"D | N",192,74,0.030528,0,0.018719,0.005248,0.091599,0.054495
1,float,uniform,CPU,"D | N",256,0,0.05744,0,0.02221,0.01024,0.137349,0.08989
1,float,uniform,CPU,"D | N",256,1,0.0304,0,0.01905,0.005568,0.093819,0.055018
1,float,uniform,CPU,"D | N",256,2,0.029472,0,0.01891,0.00736,0.184178,0.055742
1,float,uniform,CPU,"D | N",256,3,0.029792,0,0.01839,0.005216,0.093839,0.053398
