dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,39,0.805664,0.00159,0.07844,0.029056,0.965729,0.91475
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,40,0.831904,0.00169,0.07843,0.028224,0.995029,0.940248
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,41,0.869824,0.00155,0.077808,0.030304,1.03291,0.979486
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,42,0.807136,0.001651,0.077209,0.03248,0.971349,0.918476
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,43,0.800384,0.001579,0.077239,0.031008,0.959699,0.91021
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,44,0.797472,0.001549,0.077089,0.028928,0.95614,0.905038
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,45,0.798016,0.00166,0.076788,0.028,0.9562,0.904464
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,46,0.868032,0.001601,0.076068,0.031456,1.02838,0.977157
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,47,0.805984,0.00164,0.075998,0.02976,0.963749,0.913382
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,48,0.85776,0.00159,0.07666,0.03056,1.01877,0.96657
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,49,0.781568,0.00184,0.077449,0.031424,0.950569,0.892281
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,50,0.789568,0.00152,0.075789,0.0296,0.949158,0.896477
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,51,0.79344,0.00169,0.079169,0.032128,0.958849,0.906427
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,52,0.795296,0.001619,0.07628,0.029792,0.955999,0.902987
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,53,0.784288,0.00158,0.079389,0.03136,0.949069,0.896617
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,54,0.800448,0.0016,0.078129,0.030816,0.963139,0.910993
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,55,0.792928,0.00166,0.074948,0.030816,0.949359,0.900352
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,56,0.800224,0.00154,0.076599,0.027712,0.957449,0.906075
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,57,0.943648,0.00158,0.07834,0.027424,1.10409,1.05099
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,58,0.791648,0.001661,0.077829,0.028928,0.953049,0.900066
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,59,0.791264,0.00154,0.077019,0.029248,0.954949,0.899071
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,60,0.791008,0.00161,0.077858,0.029088,0.951899,0.899564
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,61,0.792,0.0016,0.077369,0.02976,0.953439,0.900729
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,62,0.798688,0.001591,0.076589,0.02896,0.958478,0.905828
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,63,0.804576,0.001609,0.06967,0.031552,0.951719,0.907407
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,64,0.794848,0.00157,0.076249,0.028704,0.952509,0.901371
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,65,0.802112,0.00159,0.076639,0.031552,0.962689,0.911893
